sample_ID_full,nanodrop_ngul,wc_country
tLIMS12416s89MCQia35ctrl,NA,NA
tLIMS12416s8I003MS1,872.2,NA
tLIMS12416s9I003BS1,236.9,NA
tLIMS12651p1s10I027MS1,763.8,NA
tLIMS12651p1s11I028MS1,1305.7,NA
tLIMS12651p1s12I030MS1,1694.3,NA
tLIMS12651p1s13I031MS1,493.3,NA
tLIMS12651p1s15I034MS1,802.4,NA
tLIMS12651p1s16I035MS1,1091.4,NA
tLIMS12651p1s17I036MS1,456.2,NA
tLIMS12651p1s18I037MS1,188.7,NA
tLIMS12651p1s19BSctrl,NA,NA
tLIMS12651p1s1MSctrl,NA,NA
tLIMS12651p1s20I014BS1,185,NA
tLIMS12651p1s21I017BS1,81.7,NA
tLIMS12651p1s22I018BS1,222.7,NA
tLIMS12651p1s23I020BS1,214.1,NA
tLIMS12651p1s24I021BS1,73,NA
tLIMS12651p1s25I024BS1,212.9,NA
tLIMS12651p1s26I025BS1,32.5,NA
tLIMS12651p1s27I026BS1,22.9,NA
tLIMS12651p1s28I027BS1,49.3,NA
tLIMS12651p1s29I028BS1,61.8,NA
tLIMS12651p1s2I014MS1,741.7,NA
tLIMS12651p1s30I030BS1,88.9,NA
tLIMS12651p1s31I031BS1,273.2,NA
tLIMS12651p1s33I034BS1,35.1,NA
tLIMS12651p1s34I035BS1,240.4,NA
tLIMS12651p1s35I036BS1,151.1,NA
tLIMS12651p1s36I037BS1,131.7,NA
tLIMS12651p1s37I014BS2,31.5,NA
tLIMS12651p1s38I017BS2,18.6,NA
tLIMS12651p1s39I018BS2,66.1,NA
tLIMS12651p1s3I017MS1,132.6,NA
tLIMS12651p1s40I018BS2,18,NA
tLIMS12651p1s41I020BS2,90.3,NA
tLIMS12651p1s42I021BS2,32.8,NA
tLIMS12651p1s43I024BS2,69.6,NA
tLIMS12651p1s44I025BS2,8.1,NA
tLIMS12651p1s45I026BS2,153.7,NA
tLIMS12651p1s46I027BS2,19.4,NA
tLIMS12651p1s47I028BS2,16.3,NA
tLIMS12651p1s48I030BS2,26.5,NA
tLIMS12651p1s49I031BS2,19.7,NA
tLIMS12651p1s4I018MS1,770.3,NA
tLIMS12651p1s51I034BS2,21.1,NA
tLIMS12651p1s52I035BS2,376.8,NA
tLIMS12651p1s53I036BS2,10.3,NA
tLIMS12651p1s54I037BS2,68,NA
tLIMS12651p1s55I014BS3,66.3,NA
tLIMS12651p1s56I017BS3,8.8,NA
tLIMS12651p1s57I018BS3,17.6,NA
tLIMS12651p1s58I020BS3,109.2,NA
tLIMS12651p1s59I021BS3,107.6,NA
tLIMS12651p1s5I020MS1,762.7,NA
tLIMS12651p1s60I024BS3,66.6,NA
tLIMS12651p1s61I025BS3,61.8,NA
tLIMS12651p1s62I026BS3,37.4,NA
tLIMS12651p1s63I027BS3,94.6,NA
tLIMS12651p1s64I028BS3,85.4,NA
tLIMS12651p1s65I030BS3,198.9,NA
tLIMS12651p1s66I031BS3,33.6,NA
tLIMS12651p1s68I034BS3,37.1,NA
tLIMS12651p1s69I035BS3,30.7,NA
tLIMS12651p1s6I021MS1,143.5,NA
tLIMS12651p1s70I036BS3,41.5,NA
tLIMS12651p1s71I037BS3,44.3,NA
tLIMS12651p1s72I014BS5,164.3,NA
tLIMS12651p1s73I017BS5,31.5,NA
tLIMS12651p1s74I018BS5,60.2,NA
tLIMS12651p1s75I020BS5,159.7,NA
tLIMS12651p1s76I021BS5,259.8,NA
tLIMS12651p1s77I024BS5,197.8,NA
tLIMS12651p1s78I025BS5,45.9,NA
tLIMS12651p1s79I026BS5,152.6,NA
tLIMS12651p1s7I024MS1,321.4,NA
tLIMS12651p1s80I027BS5,148.8,NA
