sample_ID_full,input,filtered,denoised,merged,nonchimeric
tLIMS12651p1s13I031MS1,277211,210095,210095,187536,142686
tLIMS12651p1s15I034MS1,197005,151612,151612,143434,113723
tLIMS12651p1s16I035MS1,263599,201168,201168,184024,131086
tLIMS12651p1s17I036MS1,274470,200583,200583,180858,132291
tLIMS12651p1s18I037MS1,241972,190519,190519,178960,143401
tLIMS12651p1s19BSctrl,203869,167743,167743,166697,160888
tLIMS12651p1s1MSctrl,186184,145312,145312,144599,144114
tLIMS12651p1s20I014BS1,260179,210433,210433,205728,160097
tLIMS12651p1s21I017BS1,287221,232536,232536,228169,197744
tLIMS12651p1s22I018BS1,256287,204588,204588,197774,172889
tLIMS12651p1s23I020BS1,337382,263956,263956,259369,217517
tLIMS12651p1s24I021BS1,481104,394643,394643,388369,315338
tLIMS12651p1s25I024BS1,614716,490588,490588,484932,417900
tLIMS12651p1s26I025BS1,385424,301132,301132,293979,262797
tLIMS12651p1s27I026BS1,231689,185443,185443,183970,176759
tLIMS12651p1s28I027BS1,357472,269761,269761,261407,221470
tLIMS12651p1s29I028BS1,291721,229688,229688,228015,192979
tLIMS12651p1s2I014MS1,265656,198693,198693,186154,139410
tLIMS12651p1s30I030BS1,248081,202267,202267,198466,158712
tLIMS12651p1s31I031BS1,379620,295187,295187,293318,259731
tLIMS12651p1s33I034BS1,361843,286064,286064,283549,260715
tLIMS12651p1s34I035BS1,545011,438691,438691,426216,328084
tLIMS12651p1s35I036BS1,305823,243738,243738,241073,187957
tLIMS12651p1s36I037BS1,146296,120343,120343,118134,105264
tLIMS12651p1s37I014BS2,352869,278391,278391,276195,266939
tLIMS12651p1s38I017BS2,386291,318735,318735,316980,303427
tLIMS12651p1s39I018BS2,475994,364104,364104,347174,294847
tLIMS12651p1s3I017MS1,215426,158657,158657,141777,115751
tLIMS12651p1s40I018BS2,486767,379381,379381,364476,315264
tLIMS12651p1s41I020BS2,273709,212264,212264,206998,152821
tLIMS12651p1s42I021BS2,209468,169369,169369,167111,150199
tLIMS12651p1s43I024BS2,306706,241222,241222,238426,207773
tLIMS12651p1s44I025BS2,604930,493090,493090,489201,468623
tLIMS12651p1s45I026BS2,425054,355036,355036,353793,344587
tLIMS12651p1s46I027BS2,529633,415978,415978,412916,389252
tLIMS12651p1s47I028BS2,258145,207347,207347,204631,182473
tLIMS12651p1s48I030BS2,244682,193195,193195,191870,189470
tLIMS12651p1s49I031BS2,332938,257831,257831,255360,224658
tLIMS12651p1s4I018MS1,551313,423590,423590,403498,327787
tLIMS12651p1s51I034BS2,296209,230070,230070,228419,201159
tLIMS12651p1s52I035BS2,589168,479732,479732,477125,450058
tLIMS12651p1s53I036BS2,1330566,1092454,1092454,1085957,1024163
tLIMS12651p1s54I037BS2,319069,249429,249429,246492,221697
tLIMS12651p1s55I014BS3,311550,246558,246558,244044,228727
