"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Escherichia/Shigella",0.498729893406142,0.877819573383322,"Escherichia/Shigella","Escherichia/Shigella",93,86,97,0.958762886597938,0.88659793814433,0.117904329896907,0.108301017624751,60,59,61,0.983606557377049,0.967213114754098,0.165714098360656,0.148667507292583,0.649479113604598,0.0826585432076445,NA,NA,0.389919206722468,0,-0.024843670779111,-0.0806151766097685,FALSE,FALSE,1,1,50,"ns","ns",0.4925,0.109723021349858
"Streptococcus",0.396926974994932,0.701454958644166,"Streptococcus","Streptococcus",97,96,97,1,0.989690721649485,0.122737319587629,0.112057844869992,61,60,61,1,0.983606557377049,0.107344918032787,0.10807747595472,1,1,NA,NA,NA,NA,0,0.00608416427243541,FALSE,TRUE,2,1,50,"ns","ns",0.4925,0.109723021349858
"Staphylococcus",0.395222810111394,0.694813670498694,"Staphylococcus","Staphylococcus",87,30,97,0.896907216494845,0.309278350515464,0.00393278350515464,0.0147667312410835,54,23,61,0.885245901639344,0.377049180327869,0.0134832786885246,0.0658096614163734,0.798796617795379,0.392307197841866,0.938260560816408,0,0.858171995279081,0,0.0116613148555011,-0.0677708298124049,TRUE,FALSE,3,1,50,"ns","ns",0.4925,0.109723021349858
"Veillonella",0.385799612509877,0.679259328239812,"Veillonella","Veillonella",89,79,97,0.917525773195876,0.814432989690722,0.0859571134020619,0.11515643899314,54,47,61,0.885245901639344,0.770491803278688,0.0811455737704918,0.11945082135234,0.580702393365453,0.54516893620666,0.867819317339118,0,0.877217602526512,0,0.032279871556532,0.0439411864120332,TRUE,TRUE,4,1,50,"ns","ns",0.4925,0.109723021349858
"Klebsiella",0.384215123555595,0.678811333207745,"Klebsiella","Klebsiella",84,75,97,0.865979381443299,0.77319587628866,0.0428787628865979,0.109695253536576,51,41,61,0.836065573770492,0.672131147540984,0.0311724590163934,0.0904456980487139,0.646960144908114,0.196135127009738,0.908497224764585,0,0.762747716148979,0,0.0299138076728072,0.101064728747676,TRUE,TRUE,5,1,50,"ns","ns",0.4925,0.109723021349858
"Enterococcus",0.364976527303845,0.645481120943595,"Enterococcus","Enterococcus",76,60,97,0.783505154639175,0.618556701030928,0.0189880412371134,0.0373973359857573,54,43,61,0.885245901639344,0.704918032786885,0.0332747540983607,0.0701410356260052,0.134580090718543,0.305765868470396,0.621853969089626,0,0.823215799727989,0,-0.101740747000169,-0.0863613317559574,FALSE,FALSE,6,1,50,"ns","ns",0.4925,0.109723021349858
"Bifidobacterium",0.358442474220378,0.630540471466672,"Bifidobacterium","Bifidobacterium",97,96,97,1,0.989690721649485,0.456409072164948,0.216245451243501,61,59,61,1,0.967213114754098,0.423870163934426,0.215799188958098,1,0.559635075881146,NA,NA,NA,NA,0,0.0224776068953862,FALSE,TRUE,7,1,50,"ns","ns",0.4925,0.109723021349858
"Lactobacillus",0.313919994996623,0.575459950198549,"Lactobacillus","Lactobacillus",72,60,97,0.742268041237113,0.618556701030928,0.046940206185567,0.0995252875946127,45,36,61,0.737704918032787,0.590163934426229,0.0402111475409836,0.0908504755830216,1,0.740439546359403,1,0,0.905896406103904,0,0.0045631232043265,0.0283927666046984,TRUE,TRUE,8,1,50,"ns","ns",0.4925,0.109723021349858
"Rothia",0.312034127837181,0.548422766169946,"Rothia","Rothia",80,34,97,0.824742268041237,0.350515463917526,0.00263134020618557,0.00480903741859749,46,23,61,0.754098360655738,0.377049180327869,0.00382426229508197,0.00881657311715015,0.313056344762395,0.737147941133208,0.723347268916377,0,0.905896406103904,0,0.0706439073854994,-0.0265337164103431,TRUE,FALSE,9,1,50,"ns","ns",0.4925,0.109723021349858
"Dolosigranulum",0.284213607051197,0.515458952599534,"Dolosigranulum","Dolosigranulum",54,3,97,0.556701030927835,0.0309278350515464,0.000169896907216495,0.000311984557728693,26,1,61,0.426229508196721,0.0163934426229508,9.50819672131148e-05,0.000202143702604687,0.141330447520369,1,0.621853969089626,0,NA,NA,0.130471522731114,0.0145343924285956,TRUE,TRUE,10,1,50,"ns","ns",0.4925,0.109723021349858
