"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Senegalimassilia",0.082028579887561,0.145579535110511,"Senegalimassilia","Senegalimassilia",13,8,32,0.40625,0.25,0.00300125,0.00797045825776095,16,8,32,0.5,0.25,0.00223,0.00447542393018122,0.615929843454857,1,1,0,1,0,-0.09375,0,FALSE,FALSE,18,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Parabacteroides",0.0803949968956049,0.145717416497241,"Parabacteroides","Parabacteroides",10,8,32,0.3125,0.25,0.0146225,0.0401026874652496,14,10,32,0.4375,0.3125,0.03268625,0.0769758002085197,0.438969460739847,0.781564919378385,1,0,1,0,-0.125,-0.0625,FALSE,FALSE,19,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Prevotella_9",0.0774955546792688,0.138807541715729,"Prevotella_9","Prevotella_9",13,6,32,0.40625,0.1875,0.0553925,0.190057400752102,14,2,32,0.4375,0.0625,0.01682125,0.0928709422853442,1,0.256518623594273,1,0,1,0,-0.03125,0.125,FALSE,TRUE,20,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Enterobacter",0.0757803442632476,0.143779274036173,"Enterobacter","Enterobacter",11,4,32,0.34375,0.125,0.0021925,0.010846639735346,8,2,32,0.25,0.0625,0.000335,0.00131169429955454,0.584973346818932,0.67186652376983,1,0,1,0,0.09375,0.0625,TRUE,TRUE,21,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Micrococcus",0.0706224589775598,0.12374432395985,"Micrococcus","Micrococcus",10,0,32,0.3125,0,6.125e-05,0.000107515940303542,9,1,32,0.28125,0.03125,7.375e-05,0.00022145778014578,1,1,1,0,NA,NA,0.03125,-0.03125,TRUE,FALSE,22,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Negativicoccus",0.0705979076028403,0.124759171163919,"Negativicoccus","Negativicoccus",6,1,32,0.1875,0.03125,0.00014375,0.000489145073803066,10,1,32,0.3125,0.03125,0.00011875,0.000409119826283284,0.387032616408581,1,1,0,NA,NA,-0.125,0,FALSE,FALSE,23,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Dolosigranulum",0.0704727502966696,0.127375142590752,"Dolosigranulum","Dolosigranulum",11,1,32,0.34375,0.03125,0.00052625,0.00259422901717416,6,0,32,0.1875,0,2.875e-05,9.15722876801041e-05,0.257393537580051,1,1,0,NA,NA,0.15625,0.03125,TRUE,TRUE,24,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Enterorhabdus",0.0695438007423394,0.123497964282813,"Enterorhabdus","Enterorhabdus",1,0,32,0.03125,0,2.5e-06,1.4142135623731e-05,7,3,32,0.21875,0.09375,0.00283875,0.0107010110315229,0.0534212719907576,0.238095238095238,1,0,1,0,-0.1875,-0.09375,FALSE,FALSE,25,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Actinomyces",0.0686563104152144,0.124101763403228,"Actinomyces","Actinomyces",11,6,32,0.34375,0.1875,0.000515,0.00122699738412319,14,4,32,0.4375,0.125,0.0007325,0.00174685523893838,0.608843249519814,0.732280763795366,1,0,1,0,-0.09375,0.0625,FALSE,TRUE,26,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Prevotella",0.0684046387065703,0.121368816969972,"Prevotella","Prevotella",13,3,32,0.40625,0.09375,0.00019625,0.000400690935518202,13,2,32,0.40625,0.0625,0.00064875,0.00245674286075506,1,1,1,0,1,0,0,0.03125,FALSE,TRUE,27,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Lachnoclostridium",0.0669036370132757,0.123797941582251,"Lachnoclostridium","Lachnoclostridium",6,3,32,0.1875,0.09375,0.00125625,0.00414470960887919,2,0,32,0.0625,0,1.5e-05,6.24241475195968e-05,0.256518623594273,0.238095238095238,1,0,1,0,0.125,0.09375,TRUE,TRUE,28,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Haemophilus",0.0666021596599953,0.119959764971264,"Haemophilus","Haemophilus",13,5,32,0.40625,0.15625,0.0106625,0.0482287516308578,11,3,32,0.34375,0.09375,0.00031875,0.000705260189918495,0.796598489750303,0.707846071602086,1,0,1,0,0.0625,0.0625,TRUE,TRUE,29,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Atopobium",0.0656059854460043,0.11687748899996,"Atopobium","Atopobium",10,3,32,0.3125,0.09375,0.00063875,0.00256331407210628,11,0,32,0.34375,0,0.0001425,0.000278602503288663,1,0.238095238095238,1,0,1,0,-0.03125,0.09375,FALSE,TRUE,30,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Enhydrobacter",0.062518514849847,0.111588045037768,"Enhydrobacter","Enhydrobacter",11,2,32,0.34375,0.0625,0.00021375,0.000731422608522641,9,4,32,0.28125,0.125,0.00044625,0.00117206668862341,0.787875266151899,0.67186652376983,1,0,1,0,0.0625,-0.0625,TRUE,FALSE,31,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Citrobacter",0.0609470387859327,0.111352507148743,"Citrobacter","Citrobacter",1,1,32,0.03125,0.03125,0.01302125,0.0736593133962027,7,5,32,0.21875,0.15625,0.00531,0.0247297882280955,0.0534212719907576,0.196072983236084,1,0,1,0,-0.1875,-0.125,FALSE,FALSE,32,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Pseudomonas",0.0595648172592783,0.108552101900432,"Pseudomonas","Pseudomonas",6,1,32,0.1875,0.03125,0.000185,0.000917373530002031,10,5,32,0.3125,0.15625,0.00057625,0.00173786251729884,0.387032616408581,0.196072983236084,1,0,1,0,-0.125,-0.125,FALSE,FALSE,33,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Anaerococcus",0.0584464896477736,0.106591497659497,"Anaerococcus","Anaerococcus",8,0,32,0.25,0,3.375e-05,8.38489425174243e-05,11,0,32,0.34375,0,5.875e-05,0.000121913507150793,0.584973346818932,1,1,0,NA,NA,-0.09375,0,FALSE,FALSE,34,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Raoultella",0.0529910526728014,0.0967266998027723,"Raoultella","Raoultella",1,0,32,0.03125,0,2e-05,0.000113137084989848,6,4,32,0.1875,0.125,0.00334125,0.0170113707228714,0.104195609891637,0.113192818110851,1,0,1,0,-0.15625,-0.125,FALSE,FALSE,35,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Holdemanella",0.0525065904062074,0.0953522953796421,"Holdemanella","Holdemanella",8,4,32,0.25,0.125,0.0056875,0.0219392791071616,9,2,32,0.28125,0.0625,0.000115,0.000275400002342634,1,0.67186652376983,1,0,1,0,-0.03125,0.0625,FALSE,TRUE,36,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Clostridium_sensu_stricto_1",0.0516883367789246,0.0941807279914082,"Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1",10,4,32,0.3125,0.125,0.01949,0.0731228798755241,7,6,32,0.21875,0.1875,0.01810625,0.0468399461274862,0.572231300449338,0.732280763795366,1,0,1,0,0.09375,-0.0625,TRUE,FALSE,37,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0511662995475171,0.0900221206725367,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0,0,32,0,0,0,0,6,1,32,0.1875,0.03125,0.00016875,0.000636176836848007,0.0241733814948597,1,1,0,NA,NA,-0.1875,-0.03125,FALSE,FALSE,38,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Peptoniphilus",0.0492115300379124,0.0888587918606586,"Peptoniphilus","Peptoniphilus",8,0,32,0.25,0,2.875e-05,6.833267767847e-05,9,1,32,0.28125,0.03125,0.00017625,0.000762329832942112,1,1,1,0,NA,NA,-0.03125,-0.03125,FALSE,FALSE,39,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Lawsonella",0.0474177173492744,0.0901937544769523,"Lawsonella","Lawsonella",2,0,32,0.0625,0,2.625e-05,0.00013463810513684,7,0,32,0.21875,0,1.875e-05,4.87091433425111e-05,0.147716470949533,1,1,0,NA,NA,-0.15625,0,FALSE,FALSE,40,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Brevundimonas",0.0468948685604925,0.083726492451448,"Brevundimonas","Brevundimonas",3,0,32,0.09375,0,4e-05,0.000175094444561011,8,0,32,0.25,0,4.375e-05,0.000127044569268604,0.183638451505257,1,1,0,NA,NA,-0.15625,0,FALSE,FALSE,41,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Sphingobium",0.045747011324067,0.0814976688466014,"Sphingobium","Sphingobium",1,0,32,0.03125,0,3.75e-06,2.12132034355964e-05,6,3,32,0.1875,0.09375,0.00043,0.00140156594449715,0.104195609891637,0.238095238095238,1,0,1,0,-0.15625,-0.09375,FALSE,FALSE,42,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Catenibacterium",0.0452166712792202,0.0858459268618506,"Catenibacterium","Catenibacterium",3,1,32,0.09375,0.03125,0.00020875,0.00101766256528095,7,5,32,0.21875,0.15625,0.00224,0.00854224870296023,0.302017705609347,0.196072983236084,1,0,1,0,-0.125,-0.125,FALSE,FALSE,43,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Stenotrophomonas",0.0426692803332225,0.0758943615740892,"Stenotrophomonas","Stenotrophomonas",3,0,32,0.09375,0,3.875e-05,0.000145640963751895,6,5,32,0.1875,0.15625,0.000905,0.00273077089434822,0.474122928883754,0.0528233151183971,1,0,1,0,-0.09375,-0.15625,FALSE,FALSE,44,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Succinivibrio",0.0410925440910955,0.0729000464843392,"Succinivibrio","Succinivibrio",7,1,32,0.21875,0.03125,0.00020625,0.00104391864100238,9,3,32,0.28125,0.09375,0.00237875,0.00876101619897542,0.773534217884944,0.6128024980484,1,0,1,0,-0.0625,-0.0625,FALSE,FALSE,45,0,32,"ns","ns",0.589102564102564,0.112482487714399
