"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Bifidobacterium",0.11194964296737,0.195177619758509,"Bifidobacterium","Bifidobacterium",15,15,15,1,1,0.246277333333333,0.329555075810373,25,25,30,0.833333333333333,0.833333333333333,0.218312,0.21680338880161,0.152615204798982,0.152615204798982,0.836065573770492,0,0.839506172839506,0,0.166666666666667,0.166666666666667,TRUE,TRUE,1,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Bacteroides",0.105266250102224,0.184573384917956,"Bacteroides","Bacteroides",12,11,15,0.8,0.733333333333333,0.188018666666667,0.224846934534416,16,14,30,0.533333333333333,0.466666666666667,0.051372,0.0935101556129527,0.109731557278617,0.118479356160728,0.836065573770492,0,0.839506172839506,0,0.266666666666667,0.266666666666667,TRUE,TRUE,2,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Escherichia/Shigella",0.0980101375172553,0.174611570892166,"Escherichia/Shigella","Escherichia/Shigella",15,13,15,1,0.866666666666667,0.142714666666667,0.207144068494323,25,25,30,0.833333333333333,0.833333333333333,0.257609333333333,0.289774984224482,0.152615204798982,1,0.836065573770492,0,1,0,0.166666666666667,0.0333333333333333,TRUE,TRUE,3,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Sutterella",0.0922354813150095,0.155780649432046,"Sutterella","Sutterella",7,7,15,0.466666666666667,0.466666666666667,0.020568,0.0352378504290081,8,5,30,0.266666666666667,0.166666666666667,0.000645333333333333,0.00211011967847117,0.200408251944821,0.0702693495129692,0.836065573770492,0,0.839506172839506,0,0.2,0.3,TRUE,TRUE,4,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Veillonella",0.0771619395170391,0.144585626767934,"Veillonella","Veillonella",14,9,15,0.933333333333333,0.6,0.0756026666666667,0.123797236495043,29,20,30,0.966666666666667,0.666666666666667,0.124746666666667,0.184911191905612,1,0.746305167755864,1,0,1,0,-0.0333333333333333,-0.0666666666666667,FALSE,FALSE,5,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Acinetobacter",0.0748376434558293,0.137150481889009,"Acinetobacter","Acinetobacter",10,7,15,0.666666666666667,0.466666666666667,0.0301786666666667,0.111130803616193,23,12,30,0.766666666666667,0.4,0.0269373333333333,0.0852945667078804,0.495862833361012,0.754180057868785,0.907114624505929,0,1,0,-0.1,0.0666666666666667,FALSE,TRUE,6,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Streptococcus",0.0731881897107417,0.135937335185833,"Streptococcus","Streptococcus",15,13,15,1,0.866666666666667,0.031168,0.0478784966943855,30,26,30,1,0.866666666666667,0.05566,0.107786653514533,1,1,NA,NA,1,0,0,0,FALSE,FALSE,7,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Klebsiella",0.071481443539494,0.135979175997349,"Klebsiella","Klebsiella",11,9,15,0.733333333333333,0.6,0.0203946666666667,0.0637842109735929,21,17,30,0.7,0.566666666666667,0.0353213333333333,0.070846475673828,1,1,1,0,1,0,0.0333333333333333,0.0333333333333333,TRUE,TRUE,8,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Staphylococcus",0.0649942940162207,0.120280353641557,"Staphylococcus","Staphylococcus",15,7,15,1,0.466666666666667,0.0232,0.0411042020792452,28,16,30,0.933333333333333,0.533333333333333,0.0181186666666667,0.0364012542161084,0.545454545454546,0.757529692245078,0.907114624505929,0,1,0,0.0666666666666667,-0.0666666666666667,TRUE,FALSE,9,1,15,"ns","ns",0.496666666666667,0.180378701264338
"Rothia",0.0565295553559294,0.104760759919015,"Rothia","Rothia",10,4,15,0.666666666666667,0.266666666666667,0.00196266666666667,0.00420941710702947,22,9,30,0.733333333333333,0.3,0.00455333333333333,0.00898213450299454,0.73249864627319,1,1,0,1,0,-0.0666666666666667,-0.0333333333333333,FALSE,FALSE,10,1,15,"ns","ns",0.496666666666667,0.180378701264338
