feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g1165	country	Malawi	-0.00297361899323524	0.000508876957358414	341	341	1.20022070086959e-08	4.21111918322346e-07
g1450	country	Malawi	0.00377589007388508	0.000647104509074704	341	340	1.25673430285154e-08	4.33466831576759e-07
g308	country	Malawi	-0.00184934488810346	0.000317268673115741	341	341	1.29918971435673e-08	4.3375682246473e-07
g1486	country	Malawi	-0.00141040937353044	0.000241972021691869	341	217	1.30020472581565e-08	4.3375682246473e-07
g132	country	Malawi	-0.00157552551500203	0.00027097397605592	341	341	1.4069606753338e-08	4.61800802307143e-07
g1938	country	Malawi	-0.00179064890779671	0.000308445023505538	341	341	1.47663150826237e-08	4.76975415764115e-07
g577	country	Malawi	-0.00231142534074248	0.000398651527738422	341	341	1.5362662294561e-08	4.8848465264737e-07
g1545	country	Malawi	-0.00254308423081232	0.000439058446929733	341	341	1.58686860569207e-08	4.89284486755056e-07
g882	country	Malawi	0.00117892400572513	0.000203441511442938	341	241	1.56320296291567e-08	4.89284486755056e-07
g631	country	Malawi	-0.00330960876022745	0.000575659793377834	341	335	2.00068962502887e-08	6.07672147303546e-07
g1607	country	Malawi	0.00106056328926103	0.000184592491730963	341	56	2.042216287024e-08	6.11163256484388e-07
g424	country	Malawi	0.00167913797958113	0.000292661752073676	341	341	2.13161493618241e-08	6.28671941323363e-07
g1434	country	Malawi	0.00212737657841349	0.00037120618371196	341	336	2.20726837219879e-08	6.41684448203506e-07
g1820	country	Malawi	-0.00396716764848833	0.000694586268451045	341	320	2.4498846284273e-08	6.92432669284659e-07
g921	country	Malawi	-0.0033731973957056	0.000590508472992617	341	335	2.43932529536945e-08	6.92432669284659e-07
g49	country	Malawi	-0.00152644231697833	0.000267833688180619	341	341	2.61724964164503e-08	7.29603153527073e-07
g2043	country	Malawi	-0.0012722265454743	0.000223811347386263	341	341	2.8334610296834e-08	7.58696473079699e-07
g450	country	Malawi	-0.00300836948752883	0.000529009211732504	341	341	2.79692438631523e-08	7.58696473079699e-07
g1359	country	Malawi	0.00250758522365543	0.00044105072383357	341	331	2.81670891325982e-08	7.58696473079699e-07
g1375	country	Malawi	-0.00355810160300214	0.000628257402667659	341	321	3.16798364917892e-08	8.37252821568716e-07
g2061	country	Malawi	-0.00255014087493887	0.000451978353270822	341	341	3.54738854391648e-08	9.18669375019671e-07
g495	country	Malawi	-0.00206008085530885	0.000365186695626868	341	341	3.56633320032206e-08	9.18669375019671e-07
g932	country	Malawi	0.00197081372940974	0.000350328633099063	341	341	3.87308646732436e-08	9.69993572761717e-07
g302	country	Malawi	-0.00352775111901909	0.000627216162010977	341	336	3.89687723996417e-08	9.69993572761717e-07
