"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B1.F1",0.3194,0.3194,199,0.3669,0.359378151144745,50,"module2"
"B1.F2",0.3432,0.3432,199,0.3021,0.259284797697017,50,"module2"
"B1.F3",0.2978,0.2978,199,0.4205,0.373906461348063,50,"module2"
"B1.F4",0.354,0.354,200,0.1713,0.157916817676244,49,"module2"
"B1.F5",0.3374,0.3374,199,0.3038,0.260825592403668,50,"module2"
"B2.F1",0.2883,0.2883,199,0.4276,0.40845710223527,50,"module2"
"B2.F2",0.2874,0.2874,199,0.4484,0.403681299484466,50,"module2"
"B2.F3",0.3052,0.3052,200,0.4043,0.338604507737161,49,"module2"
"B2.F4",0.402,0.402,199,0.153,0.116386927441784,50,"module2"
"B2.F5",0.3545,0.3545,199,0.3147,0.288130400212033,50,"module2"
"B3.F1",0.3577,0.3577,199,0.2335,0.211725715887821,50,"module2"
"B3.F2",0.3199,0.3199,199,0.3851,0.355258072059993,50,"module2"
"B3.F3",0.4063,0.4063,199,0.1867,0.181819943192685,50,"module2"
"B3.F4",0.2695,0.2695,200,0.5252,0.52734744950074,49,"module2"
"B3.F5",0.2899,0.2899,199,0.4669,0.441394501466627,50,"module2"
"B4.F1",0.374,0.374,199,0.1954,0.162584812930697,50,"module2"
"B4.F2",0.3402,0.3402,199,0.3683,0.341002211987895,50,"module2"
"B4.F3",0.3013,0.3013,199,0.4181,0.354757576004546,50,"module2"
"B4.F4",0.2911,0.2911,200,0.4487,0.386060286423047,49,"module2"
"B4.F5",0.3261,0.3261,199,0.3804,0.36116875755654,50,"module2"
"B5.F1",0.3714,0.3714,199,0.2328,0.186415577473422,50,"module2"
"B5.F2",0.3293,0.3293,200,0.3628,0.311932410019975,49,"module2"
"B5.F3",0.3441,0.3441,199,0.3274,0.309868150914963,50,"module2"
"B5.F4",0.3303,0.3303,199,0.3104,0.257623972444061,50,"module2"
"B5.F5",0.259,0.259,199,0.5793,0.584509622608062,50,"module2"
"B6.F1",0.3281,0.3281,199,0.411,0.366253284875594,50,"module2"
"B6.F2",0.3315,0.3315,200,0.3138,0.28831785609521,49,"module2"
"B6.F3",0.3343,0.3343,199,0.3432,0.331939337956017,50,"module2"
"B6.F4",0.3712,0.3712,199,0.1983,0.171270747728241,50,"module2"
"B6.F5",0.2759,0.2759,199,0.5318,0.495620903881876,50,"module2"
"B7.F1",0.2953,0.2953,199,0.4811,0.449242372787299,50,"module2"
"B7.F2",0.3435,0.3435,200,0.3229,0.31421762456897,49,"module2"
"B7.F3",0.3691,0.3691,199,0.2286,0.188462314796048,50,"module2"
"B7.F4",0.3528,0.3528,199,0.2593,0.229037930931437,50,"module2"
"B7.F5",0.3027,0.3027,199,0.4296,0.348927290396678,50,"module2"
"B8.F1",0.3383,0.3383,200,0.3422,0.319215261012305,49,"module2"
"B8.F2",0.3172,0.3172,199,0.3654,0.347792660498543,50,"module2"
"B8.F3",0.3379,0.3379,199,0.2863,0.20398961028872,50,"module2"
"B8.F4",0.3375,0.3375,199,0.3433,0.342635373246104,50,"module2"
"B8.F5",0.3179,0.3179,199,0.3837,0.381409434718372,50,"module2"
