"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B1.F1",0.0024,0.0024,93,0.0075,0.0259155096111618,23,"module4_unexposed"
"B1.F2",9e-04,9e-04,93,0.0286,0.0194507494227684,23,"module4_unexposed"
"B1.F3",0.005,0.005,93,0.0057,9.86169952584948e-05,23,"module4_unexposed"
"B1.F4",0.0061,0.0061,92,0.0258,0.000988558352402746,24,"module4_unexposed"
"B1.F5",0.0091,0.0091,93,0.0343,0.0178412096570664,23,"module4_unexposed"
"B2.F1",0.0055,0.0055,93,0.0036,0.00948642068375372,23,"module4_unexposed"
"B2.F2",0.0032,0.0032,93,0.0098,0.00527750044449307,23,"module4_unexposed"
"B2.F3",0.0016,0.0016,93,0.019,0.0144346812097884,23,"module4_unexposed"
"B2.F4",0.0034,0.0034,92,0.0257,0.0435619897474843,24,"module4_unexposed"
"B2.F5",3e-04,3e-04,93,0.0016,0.000166662721986856,23,"module4_unexposed"
"B3.F1",0,0,93,0.0058,0.00777659950512549,23,"module4_unexposed"
"B3.F2",0.0074,0.0074,93,0.0481,0.0749571625906815,23,"module4_unexposed"
"B3.F3",0,0,93,0,0.00120805819191656,23,"module4_unexposed"
"B3.F4",5e-04,5e-04,92,0.021,0.029233244388636,24,"module4_unexposed"
"B3.F5",0.0146,0.0146,93,0.0032,0.00035318749266231,23,"module4_unexposed"
"B4.F1",0.0099,0.0099,92,0.1943,0.23773704195937,24,"module4_unexposed"
"B4.F2",0.0019,0.0019,93,0.0669,0.106245416987105,23,"module4_unexposed"
"B4.F3",0.0525,0.0525,93,0.0651,0.0457161125319693,23,"module4_unexposed"
"B4.F4",0.0081,0.0081,93,0.0079,0.000453593619367981,23,"module4_unexposed"
"B4.F5",0.0022,0.0022,93,0.0249,0.0187806205770278,23,"module4_unexposed"
"B5.F1",2e-04,2e-04,93,0.0367,0.00530108411082894,23,"module4_unexposed"
"B5.F2",0.0013,0.0013,93,0.0063,0.00273862965678822,23,"module4_unexposed"
"B5.F3",0.0021,0.0021,92,1e-04,0.0045614201632808,24,"module4_unexposed"
"B5.F4",0.0044,0.0044,93,0.0529,0.0638514299000232,23,"module4_unexposed"
"B5.F5",2e-04,2e-04,93,0.0193,0.0221888239331613,23,"module4_unexposed"
"B6.F1",0.0018,0.0018,93,0.0602,0.0287152461065504,23,"module4_unexposed"
"B6.F2",0.0019,0.0019,92,3e-04,0.011961458135561,24,"module4_unexposed"
"B6.F3",8e-04,8e-04,93,0.0079,0.00534690434157697,23,"module4_unexposed"
"B6.F4",0,0,93,0.0172,0.0355243381937755,23,"module4_unexposed"
