"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B1.F1",0.0442,0.0442,199,0.0268,0.0112931127118539,50,"module3"
"B1.F2",0.0132,0.0132,199,0.0013,0.00128167233855079,50,"module3"
"B1.F3",1e-04,1e-04,199,0.1697,0.145398534900622,50,"module3"
"B1.F4",0.0056,0.0056,199,0.0119,0.0277591319642114,50,"module3"
"B1.F5",0.0144,0.0144,200,0.1087,0.0951896988705171,49,"module3"
"B2.F1",0.0011,0.0011,199,0.0065,0.00742984477694266,50,"module3"
"B2.F2",0.0106,0.0106,199,0.0041,0.00184375122286384,50,"module3"
"B2.F3",0.0098,0.0098,200,0.015,0.0105520112733794,49,"module3"
"B2.F4",0.0419,0.0419,199,0.0454,0.0621431117901706,50,"module3"
"B2.F5",0.0012,0.0012,199,0.1023,0.0977361218657737,50,"module3"
"B3.F1",0.001,0.001,199,0.0056,0.00429527639453875,50,"module3"
"B3.F2",0.0023,0.0023,199,0.0084,0.00895471839529463,50,"module3"
"B3.F3",0.0084,0.0084,199,4e-04,0.000311424261538205,50,"module3"
"B3.F4",0.0055,0.0055,199,0.0261,0.0165993919657759,50,"module3"
"B3.F5",0.022,0.022,200,0.0014,1.58825298437017e-05,49,"module3"
"B4.F1",0.002,0.002,199,4e-04,3.05784871729894e-05,50,"module3"
"B4.F2",2e-04,2e-04,199,0.0034,0.000841613032433728,50,"module3"
"B4.F3",0.0013,0.0013,200,0.021,0.00604799672482233,49,"module3"
"B4.F4",0.0233,0.0233,199,0.0466,0.00994772630527432,50,"module3"
"B4.F5",0.0143,0.0143,199,0.0294,0.0311320069226283,50,"module3"
"B5.F1",0.0093,0.0093,199,0.014,0.014321705033852,50,"module3"
"B5.F2",0.001,0.001,200,0.0194,0.0113609437850425,49,"module3"
"B5.F3",0.0338,0.0338,199,0.018,0.0164706782064255,50,"module3"
"B5.F4",0.0053,0.0053,199,0.0098,0.0135515503326854,50,"module3"
"B5.F5",0.0035,0.0035,199,0.0239,0.0337487076215183,50,"module3"
"B6.F1",1e-04,1e-04,200,0.018,0.0133798440724604,49,"module3"
"B6.F2",3e-04,3e-04,199,0.0224,0.0105894723795881,50,"module3"
"B6.F3",0.0069,0.0069,199,3e-04,0.00283181130457496,50,"module3"
"B6.F4",0.0795,0.0795,199,0.0811,0.0793458271442525,50,"module3"
"B6.F5",2e-04,2e-04,199,0.0046,0.0117275285312242,50,"module3"
"B7.F1",0.0133,0.0133,199,0.0255,0.0165770418440658,50,"module3"
"B7.F2",0.0038,0.0038,200,0.0226,0.0111911341191529,49,"module3"
"B7.F3",0.0208,0.0208,199,0.0051,0.00606504705323775,50,"module3"
"B7.F4",0.0508,0.0508,199,0.0195,0.00880342677806523,50,"module3"
"B7.F5",0.0041,0.0041,199,0.0012,0.000258272539043099,50,"module3"
"B8.F1",0.0027,0.0027,200,0.0131,0.00905363657209564,49,"module3"
"B8.F2",0.0194,0.0194,199,0.016,0.010025949768025,50,"module3"
"B8.F3",5e-04,5e-04,199,0.0021,0.000827537931599153,50,"module3"
"B8.F4",2e-04,2e-04,199,0.0038,0.000219643887644842,50,"module3"
"B8.F5",0.0263,0.0263,199,0.0013,0.000973842664322699,50,"module3"
"B9.F1",0.0255,0.0255,200,0.0077,0.00498784729497549,49,"module3"
"B9.F2",0.008,0.008,199,0.006,0.00223186301937803,50,"module3"
"B9.F3",0.0085,0.0085,199,0.0152,0.0222843820208843,50,"module3"
