"","subset","crossval_q3","crossval_q1","crossval_median","comparison","country2","country1"
"1","BM1",0.95,0.9,0.95,"India-Malawi","Malawi","India"
"2","BM1",1,0.9,0.95,"India-UK","UK","India"
"3","BM1",0.9125,0.8,0.85,"Malawi-UK","UK","Malawi"
"4","BM1",0.75,0.55,0.65,"India (OPV)-India (IPV)","India (IPV)","India (OPV)"
"5","BM2",0.95,0.85,0.9,"India-Malawi","Malawi","India"
"6","BM2",0.9375,0.875,0.9375,"India-UK","UK","India"
"7","BM2",0.9375,0.8,0.857142857142857,"Malawi-UK","UK","Malawi"
"8","BM2",0.75,0.6,0.7,"India (OPV)-India (IPV)","India (IPV)","India (OPV)"
"9","BM3",0.95,0.85,0.9,"India-Malawi","Malawi","India"
"10","BM3",0.9375,0.866666666666667,0.901785714285714,"India-UK","UK","India"
"11","BM3",0.9375,0.8125,0.875,"Malawi-UK","UK","Malawi"
"12","BM3",0.8,0.65,0.75,"India (OPV)-India (IPV)","India (IPV)","India (OPV)"
