"","Estimate","Std.Error","pvalue","padj","method","genus","signif","pscale","n_tested","failed_convergence","nsamples_country1","nsamples_country2","ninfants_country1","ninfants_country2","comparison"
"Rheinheimera",-2.086,0.6,0.00057,0.00122444444444444,"zinb","Rheinheimera","IND",2.91206091492356,58,0,753,128,302,51,"IND-UK"
"Exiguobacterium",-2.607,0.549,3e-06,1.16e-05,"zinb","Exiguobacterium","IND",4.93554201077308,58,0,753,128,302,51,"IND-UK"
"Actinomyces",0.263,0.268,0.33,0.455714285714286,"zinb","Actinomyces","ns",0.341307356957076,58,0,753,128,302,51,"IND-UK"
"Alishewanella",-2.766,0.699,9.2e-05,0.000254095238095238,"zinb","Alishewanella","IND",3.59500347382543,58,0,753,128,302,51,"IND-UK"
"Brachybacterium",-2.003,0.248,1e-14,7.25e-14,"zinb","Brachybacterium","IND",13.139661993429,58,0,753,128,302,51,"IND-UK"
"Rubellimicrobium",-49.959,2924903.188,1,1,"zinb","Rubellimicrobium","ns",0,58,0,753,128,302,51,"IND-UK"
"Brevundimonas",-0.972,0.282,0.00062,0.00128428571428571,"zinb","Brevundimonas","IND",2.89133834828103,58,0,753,128,302,51,"IND-UK"
"Flavobacterium",0.125,0.315,0.69,0.8004,"zinb","Flavobacterium","ns",0.0966929200358263,58,0,753,128,302,51,"IND-UK"
"Lawsonella",0.183,0.324,0.57,0.68875,"zinb","Lawsonella","ns",0.161938388140159,58,0,753,128,302,51,"IND-UK"
"Stenotrophomonas",0.222,0.238,0.35,0.472093023255814,"zinb","Stenotrophomonas","ns",0.325972417666374,58,0,753,128,302,51,"IND-UK"
"Geobacillus",-3.734,0.957,0.00011,0.00029,"zinb","Geobacillus","IND",3.53760200210104,58,0,753,128,302,51,"IND-UK"
"Bergeyella",-0.388,0.254,0.13,0.198421052631579,"zinb","Bergeyella","ns",0.702412250747036,58,0,753,128,302,51,"IND-UK"
"Moraxella",-0.577,0.303,0.058,0.0961142857142857,"zinb","Moraxella","ns",1.0172120572244,58,0,753,128,302,51,"IND-UK"
"Neisseria",0.517,0.297,0.083,0.133722222222222,"zinb","Neisseria","ns",0.873796414828276,58,0,753,128,302,51,"IND-UK"
"Saccharopolyspora",-46.805,3349147.495,1,1,"zinb","Saccharopolyspora","ns",0,58,0,753,128,302,51,"IND-UK"
"Lactococcus",-0.206,0.304,0.5,0.617021276595745,"zinb","Lactococcus","ns",0.209699860036761,58,0,753,128,302,51,"IND-UK"
"Anaerococcus",-1.052,0.286,0.00028,0.000676666666666667,"zinb","Anaerococcus","IND",3.16962521680645,58,0,753,128,302,51,"IND-UK"
"Comamonas",-1.322,0.244,1.1e-07,5.31666666666667e-07,"zinb","Comamonas","IND",6.27436056732646,58,0,753,128,302,51,"IND-UK"
"Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium",-1.177,0.782,0.13,0.198421052631579,"zinb","Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium","ns",0.702412250747036,58,0,753,128,302,51,"IND-UK"
