"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Hydrogenophilus","week of life 7",247,55.9,1.138,79,1.3,0.003,1.1923404004163e-21,2.40852760884092e-19,6.24611248290117e-13,6.12683379893101e-11,1,"India"
"2","Prevotella_9","week of life 7",247,8.9,0.044,79,59.5,2.334,3.23373857309493e-19,3.26607595882587e-17,5.69535199085786e-14,6.12650043431409e-12,3,"Malawi"
"3","Faecalibacterium","week of life 7",247,2.8,0.045,79,41.8,0.4,5.82930333013779e-17,3.92506424229278e-15,2.75752201165563e-07,5.43195373303065e-06,11,"Malawi"
"4","Succinivibrio","week of life 7",247,0.8,0.009,79,32.9,0.303,6.87114567416087e-16,3.46992856545124e-14,0.000156445726804483,0.000948827224781247,19,"Malawi"
"5","Bacteroides","week of life 7",247,5.3,0.039,79,45.6,0.806,1.22170613353012e-15,4.93569277946167e-14,6.31014797191976e-07,1.159408048795e-05,9,"Malawi"
"6","S31","week of life 7",247,40.1,0.613,79,1.3,0.001,1.31663921197683e-13,4.43268534698868e-12,9.75457756417582e-07,1.38764864687786e-05,8,"India"
"7","Phascolarctobacterium","week of life 7",247,0.4,0.002,79,22.8,0.105,2.5368704655846e-11,7.32068334354414e-10,0.00890740700943314,0.0265855348788826,82,"Malawi"
"8","Lachnospiraceae_NK4A136_group","week of life 7",247,0.4,0.002,79,21.5,0.074,1.1950389193913e-10,2.52411201149706e-09,0.0274516792252091,0.0659015002255812,61,"Malawi"
"9","Roseburia","week of life 7",247,0.4,0.003,79,21.5,0.139,1.1950389193913e-10,2.52411201149706e-09,0.0251192718974526,0.0543043209475666,47,"Malawi"
"10","Ruminococcus_2","week of life 7",247,3.6,0.025,79,31.6,0.378,1.37451644190434e-10,2.52411201149706e-09,0.000946369288756058,0.00449705840990323,42,"Malawi"
"11","Subdoligranulum","week of life 7",247,6.5,0.071,79,38,0.368,1.32033273040299e-10,2.52411201149706e-09,8.41726676182648e-05,0.000652231165561977,21,"Malawi"
"12","Rubellimicrobium","week of life 7",247,32.4,0.233,79,1.3,0,1.60463554959161e-10,2.70113650847922e-09,0.000220411904525142,0.00114123407614363,10,"India"
"13","Parabacteroides","week of life 7",247,0,0,79,19,0.053,1.95865606126594e-10,3.04345018750554e-09,0.0303660720810825,0.0639333889639772,104,"Malawi"
"14","Ruminococcaceae_UCG-002","week of life 7",247,0.4,0.001,79,20.3,0.059,5.5415278137059e-10,7.99563298834708e-09,0.0263888780687036,0.061836451490814,88,"Malawi"
"15","Saccharopolyspora","week of life 7",247,31.2,0.2,79,1.3,0,6.02568380346473e-10,8.11458752199917e-09,0.000166381090785301,0.00102755969348728,12,"India"
"16","Treponema_2","week of life 7",247,0,0,79,17.7,0.058,9.40154909407648e-10,1.18694557312716e-08,0.103666406448149,0.173962612500851,107,"Malawi"
"17","Agathobacter","week of life 7",247,7.3,0.041,79,36.7,0.348,2.3641148436031e-09,2.80912469651662e-08,0.000234454053759993,0.00149206651612539,25,"Malawi"
"18","unassigned_Lachnospiraceae","week of life 7",247,6.5,0.03,79,34.2,0.225,6.09831054791796e-09,6.84365961488571e-08,0.000891915651477928,0.00430617152904518,40,"Malawi"
"19","Acinetobacter","week of life 7",247,96.4,7.28,79,73.4,2.91,2.83212418884845e-08,3.0109951902494e-07,7.23428276124398e-06,0.000114609722808081,5,"India"
"20","Rheinheimera","week of life 7",247,26.7,0.255,79,1.3,0.007,3.42061143638989e-08,3.45481755075379e-07,0.00125584111885239,0.00562668316757866,28,"India"
"21","Paracoccus","week of life 7",247,78.5,2.161,79,48.1,0.492,6.93591726625695e-07,4.83122513028932e-06,1.25964956595172e-08,4.65880152054686e-07,4,"India"
"22","Ruminococcaceae_UCG-005","week of life 7",247,0.8,0.001,79,17.7,0.069,7.31769019519653e-08,7.03892104490333e-07,0.0325506794910275,0.075713817015248,113,"Malawi"
