"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.279,0.163,0.088,0.407692307692308,"zinb","Bifidobacterium","ns",0.389667482706048,53,0,"dose1_shedding",0.874274661508704,0.0316746390576271
"Streptococcus",-0.091,0.077,0.24,0.55304347826087,"nb","Streptococcus","ns",0.257240724705198,53,0,"dose1_shedding",0.988394584139265,0.319371652711284
"Staphylococcus",0.024,0.089,0.78,0.939545454545455,"nb","Staphylococcus","ns",0.027082204194918,53,0,"dose1_shedding",0.984526112185687,0.231106517658284
"Veillonella",0.019,0.165,0.91,0.945686274509804,"zinb","Veillonella","ns",0.0242529141760537,53,0,"dose1_shedding",0.562862669245648,0.0341691840895954
"Lactobacillus",-0.011,0.281,0.97,0.988653846153846,"zinb","Lactobacillus","ns",0.00495573976776528,53,0,"dose1_shedding",0.264990328820116,0.0042088812925762
"Collinsella",0.1,0.235,0.67,0.939545454545455,"zinb","Collinsella","ns",0.027082204194918,53,0,"dose1_shedding",0.295938104448743,0.00336435368825556
"Haemophilus",0.09,0.247,0.72,0.939545454545455,"zinb","Haemophilus","ns",0.027082204194918,53,0,"dose1_shedding",0.292069632495164,0.00317856470694822
"Klebsiella",0.091,0.236,0.7,0.939545454545455,"zinb","Klebsiella","ns",0.027082204194918,53,0,"dose1_shedding",0.365570599613153,0.0050202603611518
"Enterococcus",0.254,0.277,0.36,0.657931034482759,"zinb","Enterococcus","ns",0.18181962753088,53,0,"dose1_shedding",0.239845261121857,0.00271893816448102
"Rothia",-0.063,0.156,0.69,0.939545454545455,"zinb","Rothia","ns",0.027082204194918,53,0,"dose1_shedding",0.725338491295938,0.0239643248004284
"Gemella",0.017,0.152,0.91,0.945686274509804,"zinb","Gemella","ns",0.0242529141760537,53,0,"dose1_shedding",0.539651837524178,0.016031827485964
"Bacillus",0.069,0.248,0.78,0.939545454545455,"zinb","Bacillus","ns",0.027082204194918,53,0,"dose1_shedding",0.276595744680851,0.00213662908255169
"Pseudomonas",0.079,0.146,0.59,0.935294117647059,"zinb","Pseudomonas","ns",0.0290517970578224,53,0,"dose1_shedding",0.934235976789168,0.0277704250860152
"Cutibacterium",0.286,0.174,0.1,0.407692307692308,"zinb","Cutibacterium","ns",0.389667482706048,53,0,"dose1_shedding",0.808510638297872,0.0120194111753741
"Enterobacter",-0.121,0.378,0.75,0.939545454545455,"zinb","Enterobacter","ns",0.027082204194918,53,0,"dose1_shedding",0.205029013539652,0.000977846626557274
"Acinetobacter",-0.059,0.146,0.69,0.939545454545455,"nb","Acinetobacter","ns",0.027082204194918,53,0,"dose1_shedding",0.970986460348162,0.06901215423872
"Enhydrobacter",0.606,0.205,0.0033,0.0583,"zinb","Enhydrobacter","ns",1.23433144524099,53,0,"dose1_shedding",0.591876208897485,0.00790369785119641
"Corynebacterium_1",-0.121,0.132,0.36,0.657931034482759,"nb","Corynebacterium_1","ns",0.18181962753088,53,0,"dose1_shedding",0.963249516441006,0.081992655360468
"Hydrogenophilus",0.662,0.198,0.00093,0.024645,"zinb","Hydrogenophilus","positively correlated",1.60827117750926,53,0,"dose1_shedding",0.520309477756286,0.00836252558944685
"Bradyrhizobium",-0.445,0.32,0.17,0.53,"zinb","Bradyrhizobium","ns",0.275724130399211,53,0,"dose1_shedding",0.228239845261122,0.00741073817499575
"Blautia",0.332,0.31,0.28,0.5936,"zinb","Blautia","ns",0.226506107729029,53,0,"dose1_shedding",0.218568665377176,0.00106180802630657
"Paracoccus",0.248,0.137,0.072,0.407692307692308,"zinb","Paracoccus","ns",0.389667482706048,53,0,"dose1_shedding",0.86073500967118,0.0190497745332045
"Granulicatella",0.511,0.214,0.018,0.1908,"zinb","Granulicatella","ns",0.719421629631924,53,0,"dose1_shedding",0.292069632495164,0.00302865487955538
"Micrococcus",0.164,0.166,0.33,0.647777777777778,"zinb","Micrococcus","ns",0.188573954680311,53,0,"dose1_shedding",0.760154738878143,0.0101186701866282
"Kocuria",0.288,0.175,0.099,0.407692307692308,"zinb","Kocuria","ns",0.389667482706048,53,0,"dose1_shedding",0.653771760154739,0.00770143128236985
"S31",0.377,0.203,0.065,0.407692307692308,"zinb","S31","ns",0.389667482706048,53,0,"dose1_shedding",0.44294003868472,0.00459119631887847
"Janibacter",0.048,0.217,0.83,0.945686274509804,"zinb","Janibacter","ns",0.0242529141760537,53,0,"dose1_shedding",0.367504835589942,0.00298073128226197
"Aeromonas",-0.034,0.203,0.87,0.945686274509804,"zinb","Aeromonas","ns",0.0242529141760537,53,0,"dose1_shedding",0.481624758220503,0.00431075061745833
"Aerococcus",0.271,0.269,0.32,0.647777777777778,"zinb","Aerococcus","ns",0.188573954680311,53,0,"dose1_shedding",0.226305609284333,0.00120409669825095
"Shewanella",0.069,0.249,0.78,0.939545454545455,"zinb","Shewanella","ns",0.027082204194918,53,0,"dose1_shedding",0.257253384912959,0.00202991459872506
"Chryseobacterium",0.051,0.234,0.83,0.945686274509804,"zinb","Chryseobacterium","ns",0.0242529141760537,53,0,"dose1_shedding",0.268858800773694,0.00128508058268032
