"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.244,0.258,0.35,0.741,"zinb","Bifidobacterium","ns",0.130181792020672,57,0,"dose1_shedding",0.891696750902527,0.0295250773072157
"Streptococcus",-0.007,0.131,0.96,0.96,"nb","Streptococcus","ns",0.0177287669604316,57,0,"dose1_shedding",0.989169675090253,0.323737255036267
"Staphylococcus",0.126,0.145,0.39,0.741,"nb","Staphylococcus","ns",0.130181792020672,57,0,"dose1_shedding",0.985559566787004,0.226612912900388
"Veillonella",-0.449,0.285,0.12,0.722,"zinb","Veillonella","ns",0.141462802430361,57,0,"dose1_shedding",0.523465703971119,0.0293120089993352
"Lactobacillus",-0.627,0.476,0.19,0.722,"zinb","Lactobacillus","ns",0.141462802430361,57,0,"dose1_shedding",0.285198555956679,0.00574931589563678
"Collinsella",-0.125,0.377,0.74,0.909574468085106,"zinb","Collinsella","ns",0.041161738871526,57,0,"dose1_shedding",0.288808664259928,0.00260111243612255
"Haemophilus",0.054,0.374,0.89,0.922363636363636,"zinb","Haemophilus","ns",0.0350978271768397,57,0,"dose1_shedding",0.310469314079422,0.00357502750278171
"Klebsiella",0.308,0.355,0.39,0.741,"zinb","Klebsiella","ns",0.130181792020672,57,0,"dose1_shedding",0.425992779783394,0.00541975098947761
"Enterococcus",0.396,0.398,0.32,0.741,"zinb","Enterococcus","ns",0.130181792020672,57,0,"dose1_shedding",0.263537906137184,0.00319846036150704
"Rothia",0.257,0.254,0.31,0.741,"zinb","Rothia","ns",0.130181792020672,57,0,"dose1_shedding",0.740072202166065,0.0240025293527081
"Gemella",0.174,0.23,0.45,0.765,"zinb","Gemella","ns",0.116338564846382,57,0,"dose1_shedding",0.566787003610108,0.0172734056860172
"Bacillus",-0.497,0.424,0.24,0.741,"zinb","Bacillus","ns",0.130181792020672,57,0,"dose1_shedding",0.285198555956679,0.0021173918095408
"Pseudomonas",0.041,0.243,0.87,0.918333333333333,"zinb","Pseudomonas","ns",0.0369996515318586,57,0,"dose1_shedding",0.927797833935018,0.0267411058066822
"Cutibacterium",0.379,0.278,0.17,0.722,"zinb","Cutibacterium","ns",0.141462802430361,57,0,"dose1_shedding",0.84115523465704,0.0113603087168732
"Enterobacter",-0.045,0.472,0.92,0.936428571428571,"zinb","Enterobacter","ns",0.0285253439881538,57,0,"dose1_shedding",0.223826714801444,0.00124097210733022
"Acinetobacter",-0.234,0.225,0.3,0.741,"nb","Acinetobacter","ns",0.130181792020672,57,0,"dose1_shedding",0.974729241877256,0.0776068862699542
"Enhydrobacter",0.754,0.341,0.029,0.722,"zinb","Enhydrobacter","ns",0.141462802430361,57,0,"dose1_shedding",0.628158844765343,0.00887006174679896
"Corynebacterium_1",-0.441,0.198,0.027,0.722,"nb","Corynebacterium_1","ns",0.141462802430361,57,0,"dose1_shedding",0.956678700361011,0.0729309552082181
"Hydrogenophilus",0.279,0.29,0.34,0.741,"zinb","Hydrogenophilus","ns",0.130181792020672,57,0,"dose1_shedding",0.534296028880866,0.00706425876347375
"Bradyrhizobium",-0.176,0.491,0.72,0.909574468085106,"zinb","Bradyrhizobium","ns",0.041161738871526,57,0,"dose1_shedding",0.23826714801444,0.00854923024366177
"Blautia",0.421,0.418,0.31,0.741,"zinb","Blautia","ns",0.130181792020672,57,0,"dose1_shedding",0.23826714801444,0.00119384852970742
"Paracoccus",0.185,0.226,0.42,0.765,"zinb","Paracoccus","ns",0.116338564846382,57,0,"dose1_shedding",0.862815884476534,0.0190536764257841
"Granulicatella",0.183,0.365,0.62,0.841428571428571,"zinb","Granulicatella","ns",0.0749827452271552,57,0,"dose1_shedding",0.270758122743682,0.00264214616210255
"Micrococcus",0.279,0.262,0.29,0.741,"zinb","Micrococcus","ns",0.130181792020672,57,0,"dose1_shedding",0.76173285198556,0.00876786698255244
"Kocuria",0.512,0.279,0.069,0.722,"zinb","Kocuria","ns",0.141462802430361,57,0,"dose1_shedding",0.675090252707581,0.00775371566278229
"S31",0.42,0.315,0.18,0.722,"zinb","S31","ns",0.141462802430361,57,0,"dose1_shedding",0.465703971119134,0.00575951856080447
"Janibacter",-0.236,0.341,0.49,0.765,"zinb","Janibacter","ns",0.116338564846382,57,0,"dose1_shedding",0.386281588447653,0.00283640215080127
"Aeromonas",-0.061,0.337,0.86,0.918333333333333,"zinb","Aeromonas","ns",0.0369996515318586,57,0,"dose1_shedding",0.509025270758123,0.00492233527323036
