"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",-0.537,0.302,0.078,0.612,"zinb","Bifidobacterium","ns",0.213248577854439,51,0,"dose1_shedding",0.909722222222222,0.0466522116875334
"Streptococcus",-0.013,0.132,0.92,0.978367346938775,"nb","Streptococcus","ns",0.00949805033087865,51,0,"dose1_shedding",1,0.358422481254745
"Staphylococcus",-0.146,0.18,0.42,0.8925,"nb","Staphylococcus","ns",0.0493917752157692,51,0,"dose1_shedding",0.965277777777778,0.178930734269132
"Bacteroides",-0.036,0.373,0.92,0.978367346938775,"zinb","Bacteroides","ns",0.00949805033087865,51,0,"dose1_shedding",0.444444444444444,0.00966068340231014
"Veillonella",-0.048,0.341,0.89,0.978367346938775,"zinb","Veillonella","ns",0.00949805033087865,51,0,"dose1_shedding",0.805555555555556,0.0653422990666372
"Lactobacillus",0.043,0.476,0.93,0.978367346938775,"zinb","Lactobacillus","ns",0.00949805033087865,51,0,"dose1_shedding",0.347222222222222,0.00621707808405215
"Collinsella",-0.612,0.433,0.16,0.619285714285714,"zinb","Collinsella","ns",0.208108938202028,51,0,"dose1_shedding",0.4375,0.0078621744130147
"Haemophilus",0.368,0.539,0.5,0.910714285714286,"zinb","Haemophilus","ns",0.0406178509082641,51,0,"dose1_shedding",0.284722222222222,0.00469148150753631
"Klebsiella",-0.869,0.492,0.081,0.612,"zinb","Klebsiella","ns",0.213248577854439,51,0,"dose1_shedding",0.375,0.0297283629623036
"Enterococcus",-0.136,0.549,0.81,0.978367346938775,"zinb","Enterococcus","ns",0.00949805033087865,51,0,"dose1_shedding",0.229166666666667,0.00309631381615088
"Rothia",0.376,0.336,0.27,0.751578947368421,"zinb","Rothia","ns",0.124025393512673,51,0,"dose1_shedding",0.604166666666667,0.0185938836010027
"unassigned_Lachnospiraceae",-0.037,0.422,0.93,0.978367346938775,"zinb","unassigned_Lachnospiraceae","ns",0.00949805033087865,51,0,"dose1_shedding",0.354166666666667,0.00271367383815215
"Gemella",0.432,0.315,0.17,0.619285714285714,"zinb","Gemella","ns",0.208108938202028,51,0,"dose1_shedding",0.618055555555556,0.0186665041201203
"Bacillus",0.182,0.488,0.71,0.952894736842105,"zinb","Bacillus","ns",0.0209550717997986,51,0,"dose1_shedding",0.222222222222222,0.00450850657620351
"Prevotella_9",0.094,0.357,0.79,0.978367346938775,"zinb","Prevotella_9","ns",0.00949805033087865,51,0,"dose1_shedding",0.645833333333333,0.0225809827076806
"Pseudomonas",0.269,0.427,0.53,0.920833333333333,"zinb","Pseudomonas","ns",0.0358189680264953,51,0,"dose1_shedding",0.673611111111111,0.0234428558700488
"Cutibacterium",-0.895,0.283,0.0021,0.1071,"zinb","Cutibacterium","ns",0.970210529168144,51,0,"dose1_shedding",0.756944444444444,0.00696035073801862
"Enterobacter",-0.073,0.375,0.85,0.978367346938775,"zinb","Enterobacter","ns",0.00949805033087865,51,0,"dose1_shedding",0.243055555555556,0.00618986664924374
"Acinetobacter",-0.028,0.358,0.94,0.978367346938775,"zinb","Acinetobacter","ns",0.00949805033087865,51,0,"dose1_shedding",0.798611111111111,0.0491820362797663
"Enhydrobacter",-0.062,0.427,0.88,0.978367346938775,"zinb","Enhydrobacter","ns",0.00949805033087865,51,0,"dose1_shedding",0.326388888888889,0.00540838699413441
"Faecalibacterium",-0.588,0.371,0.12,0.612,"zinb","Faecalibacterium","ns",0.213248577854439,51,0,"dose1_shedding",0.402777777777778,0.00388233617853389
"Agathobacter",-0.31,0.396,0.44,0.8976,"zinb","Agathobacter","ns",0.0469171560879138,51,0,"dose1_shedding",0.375,0.00356192283618556
"Corynebacterium_1",-0.479,0.252,0.061,0.612,"zinb","Corynebacterium_1","ns",0.213248577854439,51,0,"dose1_shedding",0.909722222222222,0.024829315668465
"Subdoligranulum",-0.715,0.343,0.04,0.612,"zinb","Subdoligranulum","ns",0.213248577854439,51,0,"dose1_shedding",0.305555555555556,0.00369499107405255
"Phascolarctobacterium",-0.535,0.332,0.11,0.612,"zinb","Phascolarctobacterium","ns",0.213248577854439,51,0,"dose1_shedding",0.215277777777778,0.00112309082035302
"Succinivibrio",0.808,0.585,0.17,0.619285714285714,"zinb","Succinivibrio","ns",0.208108938202028,51,0,"dose1_shedding",0.222222222222222,0.00239375264625277
"Ruminococcaceae_UCG-002",-0.675,0.567,0.24,0.751578947368421,"zinb","Ruminococcaceae_UCG-002","ns",0.124025393512673,51,0,"dose1_shedding",0.208333333333333,0.00196431793480919
"Blautia",0.274,0.39,0.48,0.906666666666667,"zinb","Blautia","ns",0.0425523506854638,51,0,"dose1_shedding",0.402777777777778,0.00476869012099115
"Ruminococcus_2",-0.286,0.385,0.46,0.902307692307692,"zinb","Ruminococcus_2","ns",0.0446453401913076,51,0,"dose1_shedding",0.326388888888889,0.00533676423621277
"Dorea",-0.649,0.465,0.17,0.619285714285714,"zinb","Dorea","ns",0.208108938202028,51,0,"dose1_shedding",0.222222222222222,0.00192330718116757
"Paracoccus",0.183,0.345,0.6,0.920833333333333,"zinb","Paracoccus","ns",0.0358189680264953,51,0,"dose1_shedding",0.479166666666667,0.00510938835172828
"Granulicatella",-0.181,0.416,0.67,0.923513513513514,"zinb","Granulicatella","ns",0.0345567452682322,51,0,"dose1_shedding",0.319444444444444,0.00977798650159534
"Micrococcus",-0.298,0.299,0.32,0.801428571428571,"zinb","Micrococcus","ns",0.0961351787580954,51,0,"dose1_shedding",0.666666666666667,0.00880308438747559
"Kocuria",-0.332,0.351,0.35,0.811363636363636,"zinb","Kocuria","ns",0.0907844603739942,51,0,"dose1_shedding",0.590277777777778,0.011193092094472
"Alloprevotella",-0.464,0.477,0.33,0.801428571428571,"zinb","Alloprevotella","ns",0.0961351787580954,51,0,"dose1_shedding",0.201388888888889,0.0023947541038112
"Janibacter",0.148,0.279,0.6,0.920833333333333,"zinb","Janibacter","ns",0.0358189680264953,51,0,"dose1_shedding",0.451388888888889,0.00343856675373137
"Aeromonas",0.66,0.406,0.11,0.612,"zinb","Aeromonas","ns",0.213248577854439,51,0,"dose1_shedding",0.305555555555556,0.00158300338037544
"Ruminococcaceae_UCG-005",0.062,0.657,0.92,0.978367346938775,"zinb","Ruminococcaceae_UCG-005","ns",0.00949805033087865,51,0,"dose1_shedding",0.208333333333333,0.00180203769601968
"Senegalimassilia",0.525,0.462,0.26,0.751578947368421,"zinb","Senegalimassilia","ns",0.124025393512673,51,0,"dose1_shedding",0.222222222222222,0.00160454604558057
"Chryseobacterium",-0.282,0.595,0.64,0.920833333333333,"zinb","Chryseobacterium","ns",0.0358189680264953,51,0,"dose1_shedding",0.25,0.00266036393832399
"Brachybacterium",0.82,0.344,0.019,0.4845,"zinb","Brachybacterium","ns",0.314706218613216,51,0,"dose1_shedding",0.368055555555556,0.00253156115340262
"Brevundimonas",-0.379,0.453,0.4,0.886956521739131,"zinb","Brevundimonas","ns",0.0520976685916941,51,0,"dose1_shedding",0.284722222222222,0.00150640369434461
"Flavobacterium",-0.002,0.367,1,1,"zinb","Flavobacterium","ns",0,51,0,"dose1_shedding",0.368055555555556,0.00217990903977289
"Stenotrophomonas",0.25,0.556,0.65,0.920833333333333,"zinb","Stenotrophomonas","ns",0.0358189680264953,51,0,"dose1_shedding",0.222222222222222,0.00279447692867016
"Bergeyella",0.723,0.465,0.12,0.612,"zinb","Bergeyella","ns",0.213248577854439,51,0,"dose1_shedding",0.229166666666667,0.00158374778883472
"Anaerococcus",0.014,0.44,0.98,0.9996,"zinb","Anaerococcus","ns",0.000173752545587563,51,0,"dose1_shedding",0.340277777777778,0.00767474879519192
"Citricoccus",-0.544,0.494,0.27,0.751578947368421,"zinb","Citricoccus","ns",0.124025393512673,51,0,"dose1_shedding",0.229166666666667,0.00148156938452852
"Methylobacterium",-0.245,0.507,0.63,0.920833333333333,"zinb","Methylobacterium","ns",0.0358189680264953,51,0,"dose1_shedding",0.229166666666667,0.00358623002908248
"Brevibacterium",-0.193,0.388,0.62,0.920833333333333,"zinb","Brevibacterium","ns",0.0358189680264953,51,0,"dose1_shedding",0.305555555555556,0.00173605338235862
"Dietzia",0.282,0.469,0.55,0.920833333333333,"zinb","Dietzia","ns",0.0358189680264953,51,0,"dose1_shedding",0.229166666666667,0.0012057930783417
"Sphingomonas",-0.401,0.365,0.28,0.751578947368421,"zinb","Sphingomonas","ns",0.124025393512673,51,0,"dose1_shedding",0.416666666666667,0.00302332693754841
