"","variable","n","level 1","level 2","pearson","beta (95% CI)","p"
"1","sex_baby","305","male (n = 155), 18.5 (13.5-25.5)","female (n = 150), 21.2 (15.2-29.5)",NA,"1.14 (0.72-1.80)","0.568"
"2","mode_delivery","305","vaginal (n = 235), 16.8 (12.9-22.0)","caesarean (n = 70), 34.3 (22.9-51.3)",NA,"2.04 (1.19-3.49)","0.010"
"3","place_delivery","305","non_tertiary (n = 176), 13.0 (9.7-17.5)","tertiary (n = 129), 35.0 (25.0-49.1)",NA,"2.69 (1.72-4.22)","0.000"
"4","breastfed_child","305","nonexclusive (n = 41), 9.7 (5.4-17.2)","exclusive (n = 264), 22.1 (17.3-28.3)",NA,"2.29 (1.18-4.45)","0.015"
"5","age_at_first_dose","305",NA,NA,"-0.040","0.94 (0.79-1.12)","0.488"
"6","birth_weight","305",NA,NA,"0.110","1.69 (0.99-2.90)","0.055"
"7","HIV_status","297",NA,NA,NA,NA,NA
"8","HAZ_6_8w","304",NA,NA,"0.151","1.32 (1.07-1.63)","0.008"
"9","antibiotic_exposure","305","no (n = 221), 19.5 (15.0-25.3)","yes (n = 84), 20.7 (13.0-32.9)",NA,"1.06 (0.64-1.77)","0.815"
"10","age_mother","305",NA,NA,"0.026","1.01 (0.95-1.08)","0.649"
"11","mother_weight","305",NA,NA,"0.032","1.01 (0.98-1.03)","0.575"
"12","parity","305",NA,NA,"-0.079","0.84 (0.65-1.08)","0.169"
"13","maternal_education","305",NA,NA,"0.043","1.02 (0.96-1.09)","0.455"
"14","type_house","305","kutcha_mixed (n = 106), 12.5 (8.5-18.3)","pucca (n = 199), 25.3 (19.1-33.6)",NA,"2.03 (1.26-3.26)","0.004"
"15","water_treat_wami","288","no (n = 157), 15.6 (11.2-21.7)","yes (n = 131), 26.0 (18.5-36.4)",NA,"1.66 (1.04-2.67)","0.035"
"16","sanitation","305","no (n = 168), 20.0 (14.7-27.3)","yes (n = 137), 19.5 (13.8-27.6)",NA,"0.97 (0.62-1.54)","0.913"
"17","kitchen","305","no (n = 97), 15.1 (10.0-22.9)","yes (n = 208), 22.4 (17.1-29.5)",NA,"1.48 (0.91-2.42)","0.115"
"18","refrigerator","305","no (n = 132), 15.3 (10.7-21.9)","yes (n = 173), 24.1 (17.9-32.4)",NA,"1.57 (0.99-2.49)","0.054"
"19","crowding_wami","305","up_to_4 (n = 157), 19.9 (14.5-27.4)","over_4 (n = 148), 19.7 (14.1-27.4)",NA,"0.99 (0.63-1.56)","0.959"
"20","household_income","305",NA,NA,"0.051","1.19 (0.81-1.75)","0.376"
"21","A1AT_BS3_Concugml","300",NA,NA,"-0.033","0.91 (0.67-1.25)","0.575"
"22","A1AT_BS5_Concugml","297",NA,NA,"-0.062","0.87 (0.66-1.13)","0.284"
"23","MPO_BS3_Concngml","300",NA,NA,"-0.029","0.96 (0.83-1.12)","0.613"
"24","MPO_BS5_Concngml","297",NA,NA,"-0.111","0.86 (0.73-1.00)","0.056"
"25","AG_Concugml","304",NA,NA,"-0.082","0.51 (0.21-1.29)","0.155"
"26","MB1_IgA","305",NA,NA,"-0.130","0.77 (0.62-0.97)","0.023"
"27","BM1_IgA","301",NA,NA,"-0.137","0.80 (0.66-0.96)","0.018"
"28","MB1_IgG","305",NA,NA,"-0.261","0.59 (0.47-0.73)","0.000"
"29","CB1_IgG","305",NA,NA,"-0.211","0.65 (0.52-0.81)","0.000"
"30","BB1_IgG","305",NA,NA,"0.103","1.24 (0.98-1.57)","0.073"
"31","Shannon_6w","287",NA,NA,"-0.019","0.91 (0.50-1.64)","0.743"
"32","Observed_6w","287",NA,NA,"-0.054","0.74 (0.39-1.41)","0.364"
"33","Shannon_10w","281",NA,NA,"-0.048","0.75 (0.36-1.54)","0.427"
"34","Observed_10w","281",NA,NA,"-0.048","0.75 (0.37-1.52)","0.420"
"35","pre_exposed","304","no (n = 138), 5.9 (4.6-7.6)","yes (n = 166), 55.1 (41.8-72.8)",NA," 9.34 ( 6.37-13.71)","0.000"
