"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","305 (82)","36/82 (43.9%)","114/223 (51.1%)","0.81 (0.54-1.16)","0.264"
"2","mode_delivery (caesarean)","305 (82)","15/82 (18.3%)","54/223 (24.2%)","0.77 (0.44-1.20)","0.275"
"3","place_delivery (tertiary)","305 (82)","24/82 (29.3%)","105/223 (47.1%)","0.56 (0.35-0.85)","0.006"
"4","breastfed_child (exclusive)","305 (82)","72/82 (87.8%)","192/223 (86.1%)","1.12 (0.63-1.87)","0.699"
"5","age_at_first_dose","305 (82)","42.6 (1.0)","42.6 (1.4)","1.01 (0.87-1.15)","0.863"
"6","birth_weight","305 (82)","3.0 (0.4)","2.9 (0.4)","1.36 (0.89-1.92)","0.145"
"7","HIV_status","297 (79)",NA,NA,NA,NA
"8","HAZ_6_8w","304 (81)","-0.4 (1.1)","-0.5 (1.1)","1.05 (0.89-1.24)","0.556"
"9","antibiotic_exposure (yes)","305 (82)","23/82 (28.0%)","61/223 (27.4%)","1.03 (0.65-1.49)","0.904"
"10","age_mother","305 (82)","23.4 (3.8)","23.5 (3.7)","1.00 (0.95-1.05)","0.859"
"11","mother_weight","305 (82)","61.4 (11.5)","61.0 (10.2)","1.00 (0.99-1.02)","0.735"
"12","parity","305 (82)","0.8 (0.8)","0.9 (0.9)","0.96 (0.76-1.17)","0.678"
"13","maternal_education","305 (82)","10.5 (3.7)","9.7 (3.6)","1.04 (0.99-1.10)","0.103"
"14","type_house (pucca)","305 (82)","59/82 (72.0%)","140/223 (62.8%)","1.37 (0.91-1.96)","0.137"
"15","water_treat_wami (yes)","288 (82)","35/82 (42.7%)","95/206 (46.1%)","0.91 (0.60-1.28)","0.597"
"16","sanitation (yes)","305 (82)","35/82 (42.7%)","101/223 (45.3%)","0.93 (0.62-1.31)","0.685"
"17","kitchen (yes)","305 (82)","57/82 (69.5%)","151/223 (67.7%)","1.06 (0.70-1.54)","0.765"
"18","refrigerator (yes)","305 (82)","43/82 (52.4%)","130/223 (58.3%)","0.84 (0.56-1.20)","0.360"
"19","crowding_wami (over_4)","305 (82)","39/82 (47.6%)","108/223 (48.4%)","0.97 (0.66-1.38)","0.893"
"20","household_income","305 (82)","8008.7 (7155.5-8963.7)","7788.8 (7176.8-8453.1)","1.06 (0.77-1.41)","0.716"
"21","A1AT_BS3_Concugml","299 (80)","780.7 (662.3-920.2)","715.9 (651.2-787.0)","1.13 (0.87-1.43)","0.355"
"22","A1AT_BS5_Concugml","296 (81)","858.8 (710.3-1038.5)","801.7 (712.8-901.7)","1.07 (0.86-1.32)","0.543"
"23","MPO_BS3_Concngml","299 (80)","6915.3 (4986.2-9590.7)","6345.8 (5173.7-7783.6)","1.03 (0.91-1.16)","0.664"
"24","MPO_BS5_Concngml","296 (81)","7686.6 (5620.1-10512.9)","7144.2 (5837.7-8743.2)","1.02 (0.90-1.16)","0.704"
"25","AG_Concugml","302 (81)","726.4 (690.3-764.4)","721.7 (697.5-746.8)","1.08 (0.47-1.97)","0.842"
"26","MB1_IgA","303 (81)","103.0 (81.7-130.0)","149.3 (131.2-169.9)","0.75 (0.60-0.92)","0.005"
"27","BM1_IgA","299 (81)","19.8 (15.7-25.0)","28.0 (23.6-33.3)","0.83 (0.69-0.98)","0.031"
"28","MB1_IgG","303 (81)","8763.0 (6993.9-10979.7)","10500.5 (9224.9-11952.4)","0.87 (0.71-1.05)","0.161"
"29","CB1_IgG","303 (81)","12754.6 (10299.0-15795.7)","14294.3 (12516.7-16324.4)","0.92 (0.76-1.11)","0.378"
"30","BB1_IgG","303 (81)","6271.1 (5061.0-7770.7)","8066.1 (7102.0-9161.2)","0.82 (0.66-1.00)","0.047"
"31","Shannon_6w","287 (76)","1.2 (0.4)","1.3 (0.4)","0.73 (0.41-1.21)","0.245"
"32","Observed_6w","287 (76)","9.5 (5.3)","9.9 (3.5)","0.64 (0.34-1.12)","0.130"
"33","Shannon_10w","280 (74)","1.4 (0.3)","1.3 (0.3)","1.63 (0.95-2.41)","0.074"
"34","Observed_10w","280 (74)","11.2 (3.9)","10.3 (3.3)","1.60 (0.94-2.37)","0.085"
"35","pre_exposed (yes)","302 (81)","29/81 (35.8%)","135/221 (61.1%)","0.47 (0.30-0.71)","0.000"
