"","variable","n total (r)","responders","non-responders","RR (95% CI)","p"
"1","sex_baby (female)","304 (151)","67/151 (44.4%)","82/153 (53.6%)","0.83 (0.63-1.04)","0.108"
"2","mode_delivery (caesarean)","304 (151)","32/151 (21.2%)","37/153 (24.2%)","0.92 (0.66-1.18)","0.534"
"3","place_delivery (tertiary)","304 (151)","54/151 (35.8%)","75/153 (49.0%)","0.76 (0.56-0.96)","0.020"
"4","breastfed_child (exclusive)","304 (151)","133/151 (88.1%)","130/153 (85.0%)","1.15 (0.79-1.52)","0.428"
"5","age_at_first_dose","304 (151)","42.6 (1.1)","42.6 (1.6)","0.97 (0.88-1.06)","0.559"
"6","birth_weight","304 (151)","3.0 (0.4)","2.9 (0.4)","1.17 (0.90-1.42)","0.213"
"7","HIV_status","296 (146)",NA,NA,NA,NA
"8","HAZ_6_8w","303 (150)","-0.4 (1.1)","-0.5 (1.1)","1.03 (0.92-1.13)","0.598"
"9","antibiotic_exposure (yes)","304 (151)","42/151 (27.8%)","42/153 (27.5%)","1.01 (0.76-1.26)","0.943"
"10","age_mother","304 (151)","23.4 (3.7)","23.5 (3.7)","0.99 (0.96-1.03)","0.721"
"11","mother_weight","304 (151)","61.1 (10.3)","61.2 (10.8)","1.00 (0.99-1.01)","0.912"
"12","parity","304 (151)","0.8 (0.9)","0.9 (0.9)","0.97 (0.84-1.09)","0.599"
"13","maternal_education","304 (151)","10.3 (3.7)","9.6 (3.6)","1.03 (0.99-1.06)","0.110"
"14","type_house (pucca)","304 (151)","94/151 (62.3%)","104/153 (68.0%)","0.88 (0.67-1.10)","0.296"
"15","water_treat_wami (yes)","287 (143)","62/143 (43.4%)","67/144 (46.5%)","0.94 (0.72-1.16)","0.589"
"16","sanitation (yes)","304 (151)","72/151 (47.7%)","63/153 (41.2%)","1.14 (0.90-1.38)","0.254"
"17","kitchen (yes)","304 (151)","98/151 (64.9%)","109/153 (71.2%)","0.87 (0.65-1.09)","0.236"
"18","refrigerator (yes)","304 (151)","80/151 (53.0%)","92/153 (60.1%)","0.86 (0.66-1.07)","0.209"
"19","crowding_wami (over_4)","304 (151)","75/151 (49.7%)","72/153 (47.1%)","1.05 (0.82-1.28)","0.649"
"20","household_income","304 (151)","8191.8 (7547.9-8890.6)","7534.8 (6775.4-8379.3)","1.12 (0.93-1.31)","0.221"
"21","A1AT_BS3_Concugml","298 (147)","708.1 (627.3-799.2)","758.6 (678.2-848.5)","0.93 (0.77-1.09)","0.408"
"22","A1AT_BS5_Concugml","295 (147)","821.2 (701.4-961.4)","815.2 (719.9-923.2)","1.00 (0.87-1.14)","0.943"
"23","MPO_BS3_Concngml","298 (147)","5860.7 (4615.4-7441.9)","7092.1 (5520.0-9111.8)","0.96 (0.88-1.03)","0.277"
"24","MPO_BS5_Concngml","295 (147)","6742.7 (5294.1-8587.8)","7843.8 (6171.4-9969.3)","0.97 (0.89-1.04)","0.380"
"25","AG_Concugml","301 (150)","720.7 (693.2-749.4)","725.2 (695.5-756.2)","0.95 (0.53-1.38)","0.830"
"26","MB1_IgA","302 (150)","108.5 (91.4-128.6)","169.5 (146.6-196.0)","0.77 (0.65-0.89)","0.000"
"27","BM1_IgA","298 (149)","22.0 (18.3-26.4)","29.6 (23.9-36.6)","0.90 (0.81-0.99)","0.040"
"28","MB1_IgG","302 (150)","8774.4 (7436.4-10353.1)","11566.6 (9974.2-13413.2)","0.85 (0.74-0.97)","0.015"
"29","CB1_IgG","302 (150)","12836.4 (11013.8-14960.7)","15202.5 (12916.9-17892.6)","0.91 (0.79-1.03)","0.139"
"30","BB1_IgG","302 (150)","6859.1 (5844.7-8049.6)","8425.1 (7273.6-9758.8)","0.89 (0.77-1.01)","0.064"
"31","Shannon_6w","286 (142)","1.3 (0.4)","1.3 (0.4)","0.96 (0.67-1.26)","0.807"
"32","Observed_6w","286 (142)","9.8 (4.5)","9.9 (3.5)","0.88 (0.59-1.20)","0.477"
"33","Shannon_10w","279 (135)","1.4 (0.3)","1.3 (0.3)","1.43 (1.07-1.70)","0.020"
"34","Observed_10w","279 (135)","11.1 (3.6)","10.0 (3.4)","1.47 (1.13-1.73)","0.009"
"35","pre_exposed (yes)","301 (149)","65/149 (43.6%)","99/152 (65.1%)","0.65 (0.47-0.83)","0.000"
