"","variable","n","level 1","level 2","pearson","beta (95% CI)","p"
"1","sex_baby","166","male (n = 81), 54.5 (36.4-81.7)","female (n = 85), 55.8 (37.7-82.4)",NA,"1.02 (0.59-1.79)","0.936"
"2","mode_delivery","166","vaginal (n = 120), 53.4 (37.6-75.8)","caesarean (n = 46), 60.1 (38.9-92.7)",NA,"1.13 (0.60-2.10)","0.709"
"3","place_delivery","166","non_tertiary (n = 68), 57.5 (37.0-89.4)","tertiary (n = 98), 53.5 (37.2-77.1)",NA,"0.93 (0.53-1.64)","0.803"
"4","breastfed_child","166","nonexclusive (n = 21), 16.1 (6.1-42.9)","exclusive (n = 145), 65.9 (49.9-87.1)",NA,"4.08 (1.81-9.18)","0.001"
"5","age_at_first_dose","166",NA,NA,"-0.022","0.97 (0.81-1.17)","0.774"
"6","birth_weight","166",NA,NA,"0.156","2.02 (1.02-3.99)","0.044"
"7","HIV_status","163",NA,NA,NA,NA,NA
"8","HAZ_6_8w","166",NA,NA,"0.195","1.39 (1.08-1.79)","0.012"
"9","antibiotic_exposure","166","no (n = 118), 57.0 (42.0-77.3)","yes (n = 48), 50.9 (27.4-94.6)",NA,"0.89 (0.48-1.65)","0.717"
"10","age_mother","166",NA,NA,"0.032","1.02 (0.94-1.09)","0.679"
"11","mother_weight","166",NA,NA,"0.111","1.02 (0.99-1.05)","0.156"
"12","parity","166",NA,NA,"-0.009","0.98 (0.72-1.34)","0.907"
"13","maternal_education","166",NA,NA,"0.063","1.03 (0.96-1.11)","0.424"
"14","type_house","166","kutcha_mixed (n = 46), 52.0 (31.4-85.9)","pucca (n = 120), 56.4 (40.3-79.0)",NA,"1.09 (0.58-2.02)","0.796"
"15","water_treat_wami","157","no (n = 79), 58.9 (39.5-87.8)","yes (n = 78), 55.7 (36.5-84.9)",NA,"0.95 (0.53-1.68)","0.847"
"16","sanitation","166","no (n = 89), 54.3 (36.6-80.5)","yes (n = 77), 56.1 (37.6-83.7)",NA,"1.03 (0.59-1.81)","0.909"
"17","kitchen","166","no (n = 48), 44.4 (25.1-78.5)","yes (n = 118), 60.2 (43.8-82.9)",NA,"1.36 (0.73-2.51)","0.328"
"18","refrigerator","166","no (n = 63), 50.9 (31.2-83.1)","yes (n = 103), 57.9 (41.2-81.3)",NA,"1.14 (0.64-2.02)","0.659"
"19","crowding_wami","166","up_to_4 (n = 87), 53.5 (35.9-79.7)","over_4 (n = 79), 57.0 (38.4-84.6)",NA,"1.07 (0.61-1.86)","0.821"
"20","household_income","166",NA,NA,"0.074","1.26 (0.78-2.05)","0.346"
"21","A1AT_BS3_Concugml","163",NA,NA,"0.060","1.16 (0.79-1.71)","0.449"
"22","A1AT_BS5_Concugml","162",NA,NA,"-0.030","0.94 (0.70-1.28)","0.706"
"23","MPO_BS3_Concngml","163",NA,NA,"0.034","1.04 (0.87-1.25)","0.664"
"24","MPO_BS5_Concngml","162",NA,NA,"-0.062","0.93 (0.77-1.12)","0.435"
"25","AG_Concugml","165",NA,NA,"-0.107","0.46 (0.15-1.40)","0.170"
"26","MB1_IgA","166",NA,NA,"-0.182","0.71 (0.53-0.94)","0.019"
"27","BM1_IgA","163",NA,NA,"-0.108","0.85 (0.67-1.07)","0.171"
"28","MB1_IgG","166",NA,NA,"-0.371","0.50 (0.38-0.65)","0.000"
"29","CB1_IgG","166",NA,NA,"-0.329","0.51 (0.38-0.69)","0.000"
"30","BB1_IgG","166",NA,NA,"0.014","1.03 (0.74-1.44)","0.862"
"31","Shannon_6w","154",NA,NA,"0.081","1.47 (0.69-3.13)","0.320"
"32","Observed_6w","154",NA,NA,"0.057","1.36 (0.57-3.21)","0.483"
"33","Shannon_10w","160",NA,NA,"-0.043","0.79 (0.34-1.87)","0.590"
"34","Observed_10w","160",NA,NA,"0.060","1.39 (0.59-3.25)","0.451"
