"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.Malawi","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.00253386274181978,0.00856326447460426,"Abiotrophia","Malawi",5,74,6.8,0,0.1,"UK",1,39,2.6,0,0.1,0.662539843042401,0.742044624207489,4.2,TRUE,165,0,"ns",-1.01826670122028,-1.17790540695233,-0.707902581451529,0.293059225351312,5.04967228039832,0.0504325074373761,0.471153846540984,0.522228992457761,0.690775471670081,0.437560573647265,0.648740071929785,0.022,0.01,0.012,0.875,0.8125,0.9375
"2","Acidovorax",0.0152713050804597,0.0354670000659219,"Acidovorax","Malawi",7,74,9.5,0.1,0.5,"UK",2,39,5.1,0,0,0.716416835831928,0.791829134340552,4.4,TRUE,99,0,"ns",-0.895612022214301,-1.07220015093762,-0.538744327576383,0.301192147725923,5.21326060532375,0.050859908517591,0.472756410621908,0.608972757088968,0.760618559428183,0.482656952855803,0.688659466006175,0.088,0.001,0.087,0.875,0.8125,0.9375
"3","Acinetobacter",0.107527646564284,0.194826173767588,"Acinetobacter","Malawi",63,74,85.1,3.4,7.1,"UK",28,39,71.8,4.8,9.6,0.132315135144665,0.226825945962282,13.3,TRUE,22,0,"ns",10.2818975425712,10.315179210399,10.2213616235578,-0.0723908204029096,8.68750673164368,-0.0079341937769458,0.494993992858264,0.50086175833266,0.708438012197666,0.898696659240187,0.957696266656678,3.461,5.039,-1.578,0.875,0.8125,0.9375
"4","Actinomyces",0.0601401987443507,0.114742540390571,"Actinomyces","Malawi",21,74,28.4,0.2,0.7,"UK",15,39,38.5,0.5,1.2,0.294742113922916,0.398511987127916,-10.1,FALSE,35,0,"ns",0.354117169570468,-0.0706189030266859,1.23991961846688,1.44124421453762,10.2603762511592,0.153660412797075,0.409054488437608,0.170004951407893,0.370473689372924,0.168085792991906,0.38624218102644,0.251,0.463,-0.212,0.875,0.8125,0.9375
"5","Aerococcus",0.0286279762990477,0.0645766445547168,"Aerococcus","Malawi",11,74,14.9,0.1,0.2,"UK",0,39,0,0,0,0.0151178592067827,0.0651230858138333,14.9,TRUE,67,0,"ns",-0.81368705381967,-0.82122922718054,-0.799401346792999,-0.202222286594044,5.59721426364687,-0.0351913284581535,0.482772436128147,0.353868968109805,0.518610030633315,0.506801630957382,0.696122200253584,0.055,0,0.055,0.875,0.8125,0.9375
"6","Aeromonas",0.0398232511753306,0.101729216376088,"Aeromonas","Malawi",17,74,23,0.3,1.7,"UK",3,39,7.7,0.1,0.6,0.0674262804309836,0.176993986131332,15.3,TRUE,47,0,"ns",-0.413934544968239,-0.386765548745117,-0.474610183813855,-0.424276808781551,6.93706815308045,-0.0565447464722571,0.469150641439862,0.365421965565201,0.558606076392187,0.530623172029157,0.721322852669953,0.286,0.108,0.178,0.875,0.8125,0.9375
"7","Agathobacter",0.137308264704513,0.239666586261464,"Agathobacter","Malawi",21,74,28.4,0.3,0.8,"UK",0,39,0,0,0,6.22324260248553e-05,0.00174250792869595,28.4,TRUE,12,1,"Malawi",-0.310968169027642,-0.0447672602326392,-0.685708196263295,-1.39527638247018,6.85031102581066,-0.202183714013473,0.403283942071768,0.00821961892780236,0.0504560431143366,0.155888208815557,0.359528476507353,0.334,0,0.334,0.875,0.8125,0.9375
"8","Alicyclobacillus",0.0225476234914072,0.0421499651139791,"Alicyclobacillus","Malawi",1,74,1.4,0,0.1,"UK",5,39,12.8,0,0.1,0.0181545707952301,0.0762491973399663,-11.4,FALSE,83,0,"ns",-1.0477996992595,-1.43155576571782,-0.224444406635094,1.35148396423554,5.39548296571137,0.22169120884994,0.377003206879392,0.0649570378966234,0.183201124655835,0.0850011395432218,0.229342413859853,0.012,0.026,-0.014,0.875,0.8125,0.9375
"9","Alishewanella",0.00552366610199218,0.012611860237845,"Alishewanella","Malawi",8,74,10.8,0.1,0.4,"UK",1,39,2.6,0,0,0.160152059383393,0.250039900236205,8.2,TRUE,141,0,"ns",-0.866554160002524,-0.959920009429403,-0.694880747002719,0.112429616353881,5.33627262075855,0.0163434035093529,0.488986784288236,0.534963967817863,0.711737718552599,0.527381282731244,0.72451958754609,0.055,0.007,0.048,0.875,0.8125,0.9375
"10","Alloprevotella",0.0273346400741615,0.0516059314203023,"Alloprevotella","Malawi",17,74,23,0.3,0.6,"UK",5,39,12.8,0.1,0.6,0.222303065484584,0.336458693706397,10.2,TRUE,70,0,"ns",-0.299167578035204,-0.296302991643223,-0.301169009883324,-0.224822386269433,7.83826556779406,-0.0263272771146043,0.482979575718337,0.53124996750382,0.702507745956103,0.56382084778673,0.757054560993848,0.251,0.125,0.126,0.875,0.8125,0.9375
