"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"78","Granulicatella",0.046935046769494,0.0900530519769575,"Granulicatella","India",71,247,28.7,0.4,1.1,"Malawi",26,79,32.9,0.2,0.6,0.482798875636697,0.602008474559338,-4.2,FALSE,49,0,"ns",0.403701454725784,0.341163958546635,0.602529945539427,0.234079037529699,9.27107336683964,0.0268359715397697,0.485400000048708,0.68930103052369,0.774662713122253,0.630126560171426,0.746609162290223,0.385,0.247,0.138,0.9,0.85,0.95
"79","Haematobacter",0.0169466722105319,0.0414270869274856,"Haematobacter","India",2,247,0.8,0,0,"Malawi",12,79,15.2,0,0.1,1.22578383592138e-06,7.52945347224516e-06,-14.4,FALSE,118,0,"Malawi",-0.937603558728606,-1.04817034430263,-0.544254563659548,0.744561360750438,5.54561750849145,0.118641507024434,0.429914017434768,0.0594127440183282,0.10220783799002,0.160179292617807,0.249896844368985,0.002,0.048,-0.046,0.9,0.85,0.95
"80","Haemophilus",0.0301215312189198,0.0589980988098738,"Haemophilus","India",43,247,17.4,0.1,0.5,"Malawi",19,79,24.1,0.1,0.4,0.191740801712085,0.258210946305608,-6.7,FALSE,81,0,"ns",-0.21905708009214,-0.257963566280228,-0.0682624002171863,0.505491553069269,7.27516721580203,0.0642759660056327,0.466706658779694,0.441048949737908,0.543449024097646,0.482288174727068,0.607719496266814,0.114,0.104,0.01,0.9,0.85,0.95
"81","Halomonas",0.0147911537078662,0.0348656381041132,"Halomonas","India",23,247,9.3,0,0.3,"Malawi",2,79,2.5,0,0,0.0526027447788172,0.0870963479124678,6.8,TRUE,128,0,"ns",-0.819830134896765,-0.704094789012585,-1.14720679776843,-0.518581647545274,5.08299380807866,-0.0919690825882086,0.454600000152591,0.164073939394221,0.238690227971282,0.301623439794928,0.419484610229317,0.049,0.002,0.047,0.9,0.85,0.95
"82","Holdemanella",0.0174807428472954,0.0358762623409591,"Holdemanella","India",8,247,3.2,0,0.1,"Malawi",14,79,17.7,0.1,0.2,5.26581685389036e-05,0.000217080613160378,-14.5,FALSE,115,0,"Malawi",-0.856507548241951,-0.970501865382843,-0.459507568426222,0.795426612027196,5.79716803879233,0.119409740114656,0.430000000237998,0.0674933700211455,0.116649827432102,0.144328956520991,0.236573428268495,0.01,0.048,-0.038,0.9,0.85,0.95
"83","Hydrogenophilus",0.634682132371262,1.0820898078698,"Hydrogenophilus","India",138,247,55.9,1.1,2.8,"Malawi",1,79,1.3,0,0,1.1923404004163e-21,2.40852760884092e-19,54.6,TRUE,1,1,"India",1.50211424106437,6.23262089019744,-1.21198381550902,-7.07602904615117,7.30710618343433,-0.809307373618771,0.213000001426745,1.63432473427569e-20,2.84306878635383e-18,6.24611248290117e-13,6.12683379893101e-11,1.138,0.003,1.135,0.9,0.85,0.95
"84","Intestinibacter",0.00409454595802426,0.00935011658322294,"Intestinibacter","India",6,247,2.4,0,0.1,"Malawi",4,79,5.1,0,0,0.263174040466613,0.342975201124231,-2.7,FALSE,185,0,"ns",-0.999200118260715,-0.992667495887692,-1.01117800216538,0.0566767743762568,4.76137350801522,0.0103255550424507,0.493901219776373,0.548851448496973,0.643407117165554,0.515784068647935,0.637591982837768,0.017,0.003,0.014,0.9,0.85,0.95
"85","Janibacter",0.0630978203666225,0.122123431911215,"Janibacter","India",77,247,31.2,0.2,0.9,"Malawi",34,79,43,0.3,0.8,0.057260901626513,0.091799223242505,-11.8,FALSE,38,0,"ns",0.718310289841504,0.531169231576124,1.62117711258441,1.2178331074275,9.05169541086638,0.135679200984863,0.432113577514989,0.0894758999306665,0.162338197976874,0.106248344756474,0.207654286965135,0.237,0.316,-0.079,0.9,0.85,0.95
"86","Jeotgalicoccus",0.0109801538190347,0.0223893486264149,"Jeotgalicoccus","India",26,247,10.5,0.1,0.3,"Malawi",5,79,6.3,0,0,0.378024449189679,0.477255867101969,4.2,TRUE,139,0,"ns",-0.746341033358959,-0.659473902660388,-1.03495779365789,-0.427755190676065,5.59793323802729,-0.0665152156289216,0.46030793854541,0.35319873634544,0.456584435795144,0.383719426954838,0.509902223833036,0.056,0.008,0.048,0.9,0.85,0.95
"87","Klebsiella",0.0352659180629491,0.0654084368551758,"Klebsiella","India",66,247,26.7,0.4,2.3,"Malawi",27,79,34.2,2.6,11.6,0.201609387659463,0.266177100047134,-7.5,FALSE,69,0,"ns",0.333162607454037,0.220204942020642,0.68419122769693,0.472408898154789,8.50630245447839,0.0563502776250119,0.469600000101709,0.354606191783413,0.468748789715097,0.432473058831691,0.565675413727916,0.418,2.597,-2.179,0.9,0.85,0.95
"88","Knoellia",0.00448318977533837,0.0117563245965671,"Knoellia","India",0,247,0,0,0,"Malawi",4,79,5.1,0,0,0.0032522020396434,0.00763889316288333,-5.1,FALSE,183,0,"Malawi",-1.0777736764173,-1.09790090746798,-1.00239050591546,0.220593128646655,4.60457934926171,0.0401392270732157,0.478904219226586,0.500754374147652,0.593668273333725,0.507173371579102,0.628162869644963,0,0.006,-0.006,0.9,0.85,0.95
"89","Kocuria",0.108955379595924,0.21169371265474,"Kocuria","India",154,247,62.3,0.9,1.7,"Malawi",47,79,59.5,1.4,4.6,0.690791787175975,0.79284057391788,2.8,TRUE,23,0,"ns",7.34835935042169,7.5178558699893,6.07749067431155,0.0218565993831747,9.92565219835456,0.00189057934239956,0.498700259952341,0.792474156600237,0.856312152139248,0.823905790883787,0.89460906476703,0.871,1.381,-0.51,0.9,0.85,0.95
