"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.Malawi","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.00359031341212319,0.0107739898242938,"Abiotrophia","Malawi",5,79,6.3,0,0.2,"UK",0,39,0,0,0,0.16924165036126,0.285493971178503,6.3,TRUE,157,0,"ns",-1.03455614583138,-1.21270953882219,-0.701751106216374,0.319584735420188,4.68516195090414,0.0606722598551978,0.465358430581371,0.485156845545423,0.654660586361927,0.411259643454048,0.595940718880611,0.025,0,0.025,0.857142857142857,0.8,0.9375
"2","Achromobacter",0.00434435435098411,0.00935987385425915,"Achromobacter","Malawi",0,79,0,0,0,"UK",2,39,5.1,0,0,0.107344632768362,0.228882528287561,-5.1,FALSE,150,0,"ns",-1.12586876525196,-1.45766737270483,-0.459591013100013,0.916075279676124,4.62009068114003,0.17055704605185,0.407288747779037,0.222531106044403,0.380199343943106,0.212335425579823,0.372883185488104,0,0.001,-0.001,0.857142857142857,0.8,0.9375
"3","Acidovorax",0.00937986239608109,0.0224397371942593,"Acidovorax","Malawi",4,79,5.1,0,0.1,"UK",2,39,5.1,0,0,1,1,0,FALSE,113,0,"ns",-1.03822542350634,-1.32152089551246,-0.472949871252144,0.813756622269309,5.1964585135862,0.12686195733738,0.430116140319875,0.354969473296399,0.539698292976879,0.280360684507156,0.467432676685509,0.026,0.006,0.02,0.857142857142857,0.8,0.9375
"4","Acinetobacter",0.116782869184835,0.210777173496269,"Acinetobacter","Malawi",58,79,73.4,2.9,5.2,"UK",31,39,79.5,5,9.3,0.506092019556453,0.637038905735395,-6.09999999999999,FALSE,18,1,"ns",10.0622538567758,10.2460255463578,9.75993666417791,0.863900709085859,8.58305480272927,0.0903603828383548,0.451121795531903,0.325949011669254,0.56204615866339,0.437321322431148,0.67338078907383,2.945,4.976,-2.031,0.857142857142857,0.8,0.9375
"5","Actinomyces",0.0527698872010264,0.103022966533131,"Actinomyces","Malawi",18,79,22.8,0.2,0.8,"UK",12,39,30.8,0.3,0.7,0.374679241201123,0.507084687339866,-8,FALSE,40,0,"ns",0.0196522345454664,-0.40552020318176,0.870945195197578,1.72127014144177,9.02563036062514,0.188035956627168,0.390869044382959,0.111233827436262,0.290110805483609,0.108291909353091,0.289189966716702,0.164,0.325,-0.161,0.857142857142857,0.8,0.9375
"6","Aerococcus",0.0271705150303209,0.0569390142586205,"Aerococcus","Malawi",15,79,19,0.1,0.3,"UK",3,39,7.7,0,0.1,0.172193369381949,0.285493971178503,11.3,TRUE,70,0,"ns",-0.553846211948128,-0.621163197917586,-0.451088591015754,0.000563746659073772,6.23469322390029,9.58653230141665e-05,0.5,0.566612228208036,0.725101282740561,0.584612310415258,0.750126902524209,0.062,0.013,0.049,0.857142857142857,0.8,0.9375
"7","Aeromicrobium",0.00401472542036996,0.0085215061722175,"Aeromicrobium","Malawi",0,79,0,0,0,"UK",2,39,5.1,0,0.2,0.107344632768362,0.228882528287561,-5.1,FALSE,152,0,"ns",-1.18403804105318,-1.47878195734628,-0.566022876108962,0.93432852537463,4.8956898991524,0.163264419801818,0.407051283339077,0.193476432907665,0.355005268579762,0.21842939756334,0.387173531337191,0,0.039,-0.039,0.857142857142857,0.8,0.9375
"8","Aeromonas",0.0571249722530966,0.122254821319822,"Aeromonas","Malawi",16,79,20.3,0.1,0.5,"UK",4,39,10.3,0,0,0.202524017809986,0.325485028623192,10,TRUE,39,0,"ns",-0.412830741320581,-0.4614956211806,-0.338659077433265,-0.0123703587254393,6.49943672723915,-0.00208312443673987,0.49939927914299,0.540472717471678,0.704233816965787,0.561856980771788,0.734158690856871,0.122,0.009,0.113,0.857142857142857,0.8,0.9375
"9","Agathobacter",0.0742186274603208,0.154039961030591,"Agathobacter","Malawi",29,79,36.7,0.3,1.1,"UK",2,39,5.1,0.2,1,0.000126325873010767,0.00324837959170544,31.6,TRUE,31,0,"Malawi",0.263303330907457,0.968373040690015,-0.654783633199738,-2.51291352251003,7.22358602746376,-0.343346500347633,0.35496795083613,0.0132306682805503,0.0720834815445795,0.0391609571637903,0.149323155747601,0.348,0.215,0.133,0.857142857142857,0.8,0.9375
"10","Akkermansia",0.0126660411047959,0.025698888824175,"Akkermansia","Malawi",9,79,11.4,0.1,0.3,"UK",1,39,2.6,0,0.1,0.162050834503514,0.285493971178503,8.8,TRUE,101,0,"ns",-0.872759333197019,-1.00849330635208,-0.614681594817286,0.229920677921386,5.37735928716427,0.0309440960928542,0.481971154087624,0.58596690354491,0.743977284742687,0.527991640089591,0.705818156481484,0.057,0.01,0.047,0.857142857142857,0.8,0.9375
