"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.00954971464652822,0.018823764561324,"Abiotrophia","India (OPV)",10,184,5.4,0,0.1,"India (IPV)",6,90,6.7,0,0.1,0.784752772625371,0.954298893908865,-1.3,FALSE,163,0,"ns",-1.352846423341,-1.33436922079503,-1.36123424912538,-0.067153106941368,5.04052547061794,-0.011304651219536,0.494901019813033,0.554076834854643,0.797410268056408,0.526167620443691,0.802212163986464,0.014,0.009,0.005,0.65,0.55,0.75
"2","Achromobacter",0.0191511117122644,0.0406237011177859,"Achromobacter","India (OPV)",17,184,9.2,0,0.2,"India (IPV)",0,90,0,0,0,0.00107301822668019,0.0364826197071266,9.2,TRUE,125,0,"India (OPV)",-1.39669982734083,-1.69898582572869,-1.250433814787,0.59460258091546,5.09055046809469,0.103183109166231,0.444311137960332,0.116129006218983,0.347687601815208,0.242682229650183,0.553178192471395,0.037,0,0.037,0.65,0.55,0.75
"3","Acidovorax",0.0697663410890669,0.154909248802051,"Acidovorax","India (OPV)",22,184,12,0,0.1,"India (IPV)",16,90,17.8,0.1,0.4,0.197362601502268,0.559194037589758,-5.8,FALSE,47,0,"ns",-0.929109001866353,-0.805081647768524,-0.986271385149428,-0.461318307168733,6.1505002674535,-0.068569688901654,0.466706658779694,0.313956632740718,0.612874061641694,0.45141123474905,0.747112568908016,0.028,0.103,-0.075,0.65,0.55,0.75
"4","Acinetobacter",0.197503703551161,0.352087211026797,"Acinetobacter","India (OPV)",179,184,97.3,4.8,6.8,"India (IPV)",87,90,96.7,6.6,11.2,0.720281329884174,0.949207954110927,0.599999999999994,TRUE,8,1,"ns",11.1392389961022,11.0831864063115,11.174978157305,0.126136836868079,2.90982588599439,0.0328122071348851,0.48210357934385,0.668732837113848,0.873390613044834,0.628632741777616,0.888603111555408,4.874,6.61,-1.736,0.65,0.55,0.75
"5","Actinomyces",0.0525178259820682,0.112694383741804,"Actinomyces","India (OPV)",29,184,15.8,0.1,0.6,"India (IPV)",17,90,18.9,0.1,0.2,0.605907318432489,0.866227336192666,-3.1,FALSE,68,0,"ns",-0.889733822971897,-0.812515318492451,-0.922760052906067,-0.179269313834173,6.77264502003285,-0.024438581042334,0.48560000004804,0.572170911416156,0.80312893424469,0.580855868010413,0.837458768619128,0.109,0.07,0.039,0.65,0.55,0.75
"6","Actinotalea",0.012431949380984,0.0287708154161167,"Actinotalea","India (OPV)",13,184,7.1,0,0,"India (IPV)",9,90,10,0,0.2,0.478319402126414,0.838291735685467,-2.9,FALSE,150,0,"ns",-1.29219076967466,-1.19968530076439,-1.34179497395957,-0.216526671367546,5.33230236486697,-0.0352809920575671,0.482000000060077,0.518395491767409,0.765883442835503,0.51479295268647,0.790254995488828,0.01,0.034,-0.024,0.65,0.55,0.75
"7","Aerococcus",0.0727918282388272,0.151274515788013,"Aerococcus","India (OPV)",45,184,24.5,0.1,0.6,"India (IPV)",24,90,26.7,0.2,1,0.767170426128636,0.954298893908865,-2.2,FALSE,45,0,"ns",-0.278732901601408,-0.309217492117678,-0.26318449223979,-0.0766601989270335,7.41400302338803,-0.0106801979415491,0.495000000016668,0.638772282887255,0.85156685861279,0.649950093908318,0.875163765957117,0.096,0.187,-0.091,0.65,0.55,0.75
"8","Aeromicrobium",0.0218404335864144,0.0458878309603119,"Aeromicrobium","India (OPV)",13,184,7.1,0,0.1,"India (IPV)",5,90,5.6,0,0.1,0.79712025255917,0.954298893908865,1.5,TRUE,113,0,"ns",-1.38801197762998,-1.47752074428695,-1.34332844114479,0.185073619581812,5.32312424744353,0.0307923772758357,0.482200000059409,0.554377335206948,0.786205376983068,0.507727705733991,0.784488054089448,0.01,0.017,-0.007,0.65,0.55,0.75
"9","Aeromonas",0.0968444770531885,0.173468375294627,"Aeromonas","India (OPV)",91,184,49.5,0.4,1.3,"India (IPV)",46,90,51.1,0.4,1.1,0.897697791345373,1,-1.6,FALSE,33,0,"ns",3.07458241899113,3.65794698490904,2.8441038481395,-0.0463405153928633,8.4751910629365,-0.00675199650609531,0.496900619886352,0.74698274563054,0.898726340404539,0.79358573935826,0.937008276047632,0.38,0.378,0.002,0.65,0.55,0.75
"10","Agathobacter",0.0140498234706748,0.0359808130224087,"Agathobacter","India (OPV)",18,184,9.8,0.1,0.5,"India (IPV)",4,90,4.4,0,0.1,0.158305438132189,0.493539369157922,5.4,TRUE,146,0,"ns",-1.23034391621346,-1.41521860973395,-1.13531903825371,0.434962795132826,5.4448515813389,0.0653791004821592,0.465906818750402,0.271964063843383,0.558045381375968,0.379649979705144,0.698324306792138,0.09,0.008,0.082,0.65,0.55,0.75
"11","Alishewanella",0.100020587009019,0.203161048365641,"Alishewanella","India (OPV)",87,184,47.3,0.3,1.2,"India (IPV)",31,90,34.4,0.3,1.1,0.0514910147729205,0.29178241704655,12.9,TRUE,31,0,"ns",1.28899024388694,0.32294922783272,2.11961217430066,1.07134884093931,8.52504375260415,0.120649943177468,0.4433113379238,0.153584999485752,0.500682332838018,0.14297128557131,0.543881181567994,0.288,0.32,-0.032,0.65,0.55,0.75
"12","Alloiococcus",0.0169324230506429,0.0358104153380071,"Alloiococcus","India (OPV)",10,184,5.4,0,0,"India (IPV)",8,90,8.9,0,0.1,0.304218686545196,0.689562356169112,-3.5,FALSE,133,0,"ns",-1.38454393354515,-1.27732804298709,-1.43778574845585,-0.25252077271943,5.35934308129,-0.0424045501752423,0.476200000079513,0.475714969008883,0.73843236003735,0.479016512537293,0.783815004518827,0.008,0.018,-0.01,0.65,0.55,0.75
"13","Alloprevotella",0.0173174106549643,0.0353491051931006,"Alloprevotella","India (OPV)",14,184,7.6,0.1,0.5,"India (IPV)",5,90,5.6,0,0.3,0.620088165249023,0.866227336192666,2,TRUE,132,0,"ns",-1.32876949420939,-1.42336520701517,-1.27763063196284,0.0794880037408356,5.32831598256215,0.0143815065448947,0.492701459732382,0.599220635820493,0.815309670419481,0.547787605702944,0.809698638870665,0.056,0.049,0.007,0.65,0.55,0.75
"14","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0937751482129688,0.193505110348792,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","India (OPV)",47,184,25.5,0.1,0.3,"India (IPV)",28,90,31.1,0.2,0.5,0.386902927083695,0.747426109138956,-5.6,FALSE,36,0,"ns",-0.15683713843074,0.0546034293951161,-0.259135793712437,-0.597240684946432,7.84758901271741,-0.0758675480716732,0.462107578611291,0.353470895382197,0.660748359557598,0.421528708405417,0.741299194896136,0.089,0.167,-0.078,0.65,0.55,0.75
"15","Altererythrobacter",0.0106071897270769,0.0230569171509426,"Altererythrobacter","India (OPV)",12,184,6.5,0,0.2,"India (IPV)",4,90,4.4,0,0.3,0.591978675311885,0.866227336192666,2.1,TRUE,162,0,"ns",-1.41486060484119,-1.54395869720014,-1.34395064007811,0.164410872611173,5.13146332235311,0.0262230371988042,0.485902819483122,0.554153002852868,0.789515184105986,0.511396262475968,0.792560460903105,0.021,0.039,-0.018,0.65,0.55,0.75
"16","Amaricoccus",0.0174735566687374,0.0382119919192046,"Amaricoccus","India (OPV)",5,184,2.7,0,0,"India (IPV)",6,90,6.7,0,0,0.185988511615762,0.535899101265754,-4,FALSE,131,0,"ns",-1.46987270340201,-1.46801515896938,-1.47039143793012,-0.0792317543555168,5.03279277736742,-0.0151972227999186,0.490800000030677,0.457368105686065,0.718044109930401,0.498949292782843,0.781538823662571,0.001,0.01,-0.009,0.65,0.55,0.75
"17","Anaerococcus",0.103836794630975,0.197978383973558,"Anaerococcus","India (OPV)",66,184,35.9,0.3,1,"India (IPV)",26,90,28.9,0.3,1,0.277613483492414,0.6554762804682,7,TRUE,26,0,"ns",0.199359974337374,-0.182247083949486,0.396515919900123,0.70993234981545,8.90479896867419,0.0805852981562959,0.460107978538091,0.317233699780425,0.654372005873091,0.368766134732523,0.71644645697819,0.319,0.266,0.053,0.65,0.55,0.75
"18","Anoxybacillus",0.0111858135605566,0.0222970692257585,"Anoxybacillus","India (OPV)",11,184,6,0,0.2,"India (IPV)",6,90,6.7,0.1,0.7,0.795529038853752,0.954298893908865,-0.7,FALSE,159,0,"ns",-1.44008804767304,-1.42256180660698,-1.45208211710749,-0.0511278469310392,5.2425653559188,-0.00653257003248834,0.495900819849692,0.583400252010879,0.810055698945953,0.560048968537881,0.816423932985756,0.029,0.101,-0.072,0.65,0.55,0.75
"19","Aquabacterium",0.0237362782548026,0.0483516923700456,"Aquabacterium","India (OPV)",17,184,9.2,0,0.1,"India (IPV)",9,90,10,0,0.1,0.829148053140368,0.972104614026638,-0.800000000000001,FALSE,109,0,"ns",-1.20697876919958,-1.18718498570249,-1.22080805713841,-0.0362441370939992,5.36842827525092,-0.00695569048294719,0.495500899835028,0.579521602837532,0.803203960243536,0.558089259086825,0.822620797804932,0.021,0.011,0.01,0.65,0.55,0.75
"20","Bacillus",0.0594952872645379,0.11041036917302,"Bacillus","India (OPV)",51,184,27.7,0.1,0.4,"India (IPV)",25,90,27.8,0.1,0.4,1,1,-0.100000000000001,FALSE,56,0,"ns",-0.10119878137575,-0.146432354193639,-0.0755397004164315,0.0995266718178982,7.69888730726226,0.0117472468316728,0.493600000021337,0.646203090573997,0.85368240798378,0.642204827063018,0.874559898768392,0.127,0.1,0.027,0.65,0.55,0.75
"21","Bacteroides",0.0124198391112355,0.024568535426702,"Bacteroides","India (OPV)",15,184,8.2,0,0.1,"India (IPV)",5,90,5.6,0,0.1,0.621645500091207,0.866227336192666,2.6,TRUE,151,0,"ns",-1.30270764530787,-1.44022076281349,-1.23466433302305,0.244722523003817,5.27724632480023,0.0441356560721502,0.475704859109337,0.490542459846865,0.746714709404012,0.486190742628087,0.77418437740948,0.016,0.014,0.002,0.65,0.55,0.75
