"","feature_id","mean","sd","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","lr_unadjusted_p","lr_adjusted_p","wilcox_p","fisher_padj","lr_unadjusted_padj","lr_adjusted_padj","wilcox_padj","mean_diff","prev_diff","enriched_responder_mean","enriched_responder_prev","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t102684",0.0138942684590298,0.0273689042694946,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantarius","Streptococcus infantarius",17,26,65.4,0.00813076923076923,0.0207944178900159,13,21,61.9,0.00216190476190476,0.00307838857041735,1,0.805085880283907,0.513012963057868,0.653131887626244,1,0.996271306766282,0.975237768861809,0.955045104948187,-0.00596886446886447,-3.50000000000001,FALSE,FALSE,136,0,21,0.444444444444444,0.375,0.555555555555556,-0.00203634320294962,0.001766235980659,0.255027466871467,"dose1_shedding1",0.821234394017429,47,30,-0.00302420966705541,0.00180504388177355,0.101463033180543,0.698131746156845,0.821234394017429,0.778420257247445,"Malawi","MLW","Species"
"2","t108981",0.0306677302761836,0.0593964755659739,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri","Acinetobacter schindleri",16,26,61.5,0.00374230769230769,0.0116449189976375,14,21,66.7,0.118861904761905,0.472844763612954,0.768051488460833,0.716210933401394,0.908130006237519,0.122167663473326,1,0.996271306766282,0.998243933629297,0.897070863678665,0.115119597069597,5.2,TRUE,TRUE,24,0,21,0.444444444444444,0.375,0.555555555555556,0.0109274359890895,0.00643312265755129,0.0962956688830484,"dose1_shedding1",0.785568316605984,47,30,0.0107040602357507,0.00627775031620094,0.0957468351566474,0.698131746156845,0.785568316605984,0.778420257247445,"Malawi","MLW","Species"
"3","t111015",0.00364684732895527,0.00862874006189231,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis","Actinomyces radicidentis",6,26,23.1,0.000138461538461538,0.000373177623205811,2,21,9.5,5.23809523809524e-05,0.000172101852456758,0.268993254557345,0.232403626360625,0.202451376572807,0.25944188705682,0.933325080206546,0.968770415462336,0.975237768861809,0.937699396631527,-8.60805860805861e-05,-13.6,FALSE,FALSE,240,0,21,0.444444444444444,0.375,0.555555555555556,-0.000289978740941696,0.00027375768532758,0.295137181080762,"dose1_shedding1",0.821234394017429,47,8,-0.000270214969737713,0.000295773841840483,0.366275607011315,0.925871279633762,0.821234394017429,0.778420257247445,"Malawi","MLW","Species"
"4","t113107",0.0157379505693414,0.0303568541019732,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus australis","Streptococcus australis",26,26,100,0.0519653846153846,0.121454593794744,20,21,95.2,0.0643619047619048,0.133309318789762,NA,NA,NA,0.982926668799238,NA,NA,NA,1,0.0123965201465201,-4.8,TRUE,FALSE,109,0,21,0.444444444444444,0.375,0.555555555555556,0.00128854307761083,0.00522582581786369,0.806360728232543,"dose1_shedding1",0.947760476785169,47,46,-0.000814213386987051,0.00532869395628598,0.879307146616978,0.995554998891251,0.947760476785169,0.969191877160047,"Malawi","MLW","Species"
"5","t1134687",0.0136917116671635,0.029180949698464,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis","Klebsiella michiganensis",19,26,73.1,0.0184923076923077,0.0605330317963799,14,21,66.7,0.0165,0.0440013749785163,0.751860572753393,0.6333211896594,0.975843627125094,0.828203467565579,1,0.996271306766282,0.998243933629297,0.965796654749429,-0.00199230769230769,-6.39999999999999,FALSE,FALSE,140,0,21,0.444444444444444,0.375,0.555555555555556,0.000248552862902339,0.00339858819358197,0.942023479341732,"dose1_shedding1",0.976577348894243,47,33,0.00228446040092392,0.00342217978018385,0.508164019392662,0.986016140923262,0.976577348894243,0.878823370697727,"Malawi","MLW","Species"
"6","t1156431",0.0178324888503945,0.0343692222105703,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-G2","Streptococcus sp. I-G2",23,26,88.5,0.0257884615384615,0.0629908585553369,18,21,85.7,0.0288190476190476,0.0545912595480963,1,0.779379193378755,0.797114501911692,0.847085194626617,1,0.996271306766282,0.998243933629297,0.967533930382282,0.00303058608058608,-2.8,TRUE,FALSE,88,0,21,0.444444444444444,0.375,0.555555555555556,0.000541370499242438,0.0035973689740732,0.881050055041603,"dose1_shedding1",0.973681781875442,47,41,-0.00123179884516966,0.00361055426288803,0.734720780769353,0.99324835828789,0.973681781875442,0.929116007558154,"Malawi","MLW","Species"
"7","t1156433",0.0144248565576254,0.0276146207185755,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-P16","Streptococcus sp. I-P16",23,26,88.5,0.0347615384615385,0.0792661041148009,18,21,85.7,0.0334904761904762,0.0763045208671276,1,0.779379193378753,0.893484274727333,0.923200788117327,1,0.996271306766282,0.998243933629297,0.99605000333026,-0.00127106227106227,-2.8,FALSE,FALSE,129,0,21,0.444444444444444,0.375,0.555555555555556,-0.000563299998304855,0.00425268947865887,0.895213067846339,"dose1_shedding1",0.973681781875442,47,41,-0.00215626352213048,0.00441688630942891,0.628018670803044,0.991170218079231,0.973681781875442,0.880933200262249,"Malawi","MLW","Species"
"8","t116085",0.00808719748824221,0.0172456839586277,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus catus","Coprococcus catus",15,26,57.7,0.00753461538461538,0.0183246051484378,12,21,57.1,0.00277142857142857,0.0053333988091219,1,0.96978582782472,0.748494891119521,1,1,0.996271306766282,0.998243933629297,1,-0.00476318681318681,-0.600000000000001,FALSE,FALSE,192,0,21,0.444444444444444,0.375,0.555555555555556,-0.00127619707842549,0.00184458795275972,0.492579584173172,"dose1_shedding1",0.882049715961278,47,27,-8.62195590661813e-05,0.00175247710117699,0.960999857884911,0.995554998891251,0.882049715961278,0.98915818973708,"Malawi","MLW","Species"
"9","t1177574",0.00990543718805486,0.0195225982644575,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni","Prevotella jejuni",18,26,69.2,0.00483461538461539,0.0110278172747899,14,21,66.7,0.0131428571428571,0.0528129015622941,1,0.851312508930212,0.717569102323066,0.571322724803671,1,0.996271306766282,0.998243933629297,0.950926414438324,0.00830824175824176,-2.5,TRUE,FALSE,170,0,21,0.444444444444444,0.375,0.555555555555556,0.000587298896133116,0.00243178500986423,0.810257486969634,"dose1_shedding1",0.947848380983345,47,32,0.000213985536304715,0.00260806313017562,0.935008043566757,0.995554998891251,0.947848380983345,0.98915818973708,"Malawi","MLW","Species"
"10","t1260",0.0349939665509603,0.0650552922242917,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","Finegoldia magna","Finegoldia magna",25,26,96.2,0.0183192307692308,0.0742838449151941,18,21,85.7,0.00836190476190476,0.0194861098270146,0.311243797830292,0.232525435253669,0.277629959413896,0.459893189135162,1,0.968770415462336,0.975237768861809,0.937699396631527,-0.00995732600732601,-10.5,FALSE,FALSE,18,1,21,0.444444444444444,0.375,0.555555555555556,-0.00112720937685513,0.00296606381564769,0.705706951121917,"dose1_shedding1",0.921723937705251,47,43,-0.00178853312336377,0.00306219978814054,0.562374477065293,0.989596663202373,0.921723937705251,0.878823370697727,"Malawi","MLW","Species"
