"","country","median_tst_lm_R2","q3_tst_lm_R2","q1_tst_lm_R2"
"1","India",0.01925,0.04075,0.00325
"2","India (exposed)",0.034,0.096075,0.010225
"3","India (unexposed)",0.0298,0.06465,0.0068
"4","Malawi",0.07645,0.218,0.013125
