"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.012,0.008,0.13,"nb","Bifidobacterium",0.183529411764706,"ns",0.736294327359831,24,0,"age",0.992172211350294,0.450689764965633
"Escherichia/Shigella",0.001,0.016,0.94,"zinb","Escherichia/Shigella",0.94,"ns",0.0268721464003014,24,0,"age",0.904109589041096,0.136574147623903
"Streptococcus",-0.008,0.013,0.52,"nb","Streptococcus",0.594285714285714,"ns",0.226004709387514,24,0,"age",1,0.112184342232777
"Staphylococcus",-0.531,0.016,5.2e-114,"nb","Staphylococcus",1.248e-112,"negatively correlated",111.903785414654,24,0,"age",0.968688845401174,0.0384888045754215
"Bacteroides",0.006,0.014,0.7,"zinb","Bacteroides",0.730434782608696,"ns",0.13641855429173,24,0,"age",0.356164383561644,0.029470945046977
"Veillonella",0.127,0.016,8.5e-15,"zinb","Veillonella",2.91428571428571e-14,"positively correlated",13.5354678725884,24,0,"age",0.837573385518591,0.0879755488328994
"Lactobacillus",0.049,0.017,0.0035,"zinb","Lactobacillus",0.006,"positively correlated",2.22184874961636,24,0,"age",0.667318982387476,0.0289259147840485
"Collinsella",0.047,0.015,0.0017,"zinb","Collinsella",0.00313846153846154,"positively correlated",2.50328318921696,24,0,"age",0.332681017612524,0.0240470193086311
"Haemophilus",-0.284,0.016,1.3e-52,"zinb","Haemophilus",1.56e-51,"negatively correlated",50.8068754016455,24,0,"age",0.311154598825832,0.00150949148060201
"Klebsiella",-0.166,0.018,1.8e-18,"zinb","Klebsiella",7.2e-18,"negatively correlated",17.1426675035687,24,0,"age",0.829745596868884,0.0534698274933012
"Enterococcus",0.112,0.018,5e-10,"zinb","Enterococcus",1.33333333333333e-09,"positively correlated",8.8750612633917,24,0,"age",0.665362035225049,0.016502614355626
"Rothia",-0.026,0.015,0.075,"zinb","Rothia",0.12,"ns",0.920818753952375,24,0,"age",0.806262230919765,0.00223894589328908
