"","variable","n","level 1","level 2","pearson","beta (95% CI)","beta","lower CI","upper CI","p","fdr_alpha_p"
"1","age_mother","289",NA,NA,"0.080","1.01 (1.00-1.02)","1.01","1.00","1.02","0.1750",0.723
"2","mother_weight","289",NA,NA,"-0.050","1.00 (0.99-1.00)","1.00","0.99","1.00","0.3936",0.757
"3","maternal_education","289",NA,NA,"-0.059","0.99 (0.98-1.01)","0.99","0.98","1.01","0.3142",0.723
"4","parity","289",NA,NA,"0.052","1.02 (0.97-1.07)","1.02","0.97","1.07","0.3830",0.757
"5","household_income","289",NA,NA,"0.033","1.02 (0.95-1.10)","1.02","0.95","1.10","0.5807",0.857
"6","type_house","289","kutcha_mixed (n = 103), 2.2 (1.8-2.6)","pucca (n = 186), 2.2 (1.8-2.6)",NA,"1.06 (0.97-1.16)","1.06","0.97","1.16","0.1890",0.723
"7","water_treat_wami","272","no (n = 148), 2.2 (1.8-2.6)","yes (n = 124), 2.2 (1.9-2.5)",NA,"1.01 (0.92-1.10)","1.01","0.92","1.10","0.9102",0.925
"8","kitchen","289","no (n = 94), 2.2 (1.8-2.6)","yes (n = 195), 2.2 (1.8-2.6)",NA,"1.05 (0.96-1.15)","1.05","0.96","1.15","0.2932",0.723
"9","refrigerator","289","no (n = 127), 2.2 (1.8-2.6)","yes (n = 162), 2.2 (1.8-2.6)",NA,"1.01 (0.93-1.10)","1.01","0.93","1.10","0.7705",0.917
"10","sanitation","289","no (n = 162), 2.2 (1.8-2.6)","yes (n = 127), 2.2 (1.9-2.5)",NA,"1.05 (0.96-1.14)","1.05","0.96","1.14","0.2953",0.723
"11","crowding_wami","289","up_to_4 (n = 147), 2.2 (1.8-2.6)","over_4 (n = 142), 2.2 (1.8-2.6)",NA,"0.98 (0.90-1.07)","0.98","0.90","1.07","0.6819",0.896
"12","sex_baby","289","male (n = 149), 2.2 (1.8-2.6)","female (n = 140), 2.2 (1.8-2.6)",NA,"1.03 (0.95-1.12)","1.03","0.95","1.12","0.4715",0.786
"13","mode_delivery","289","vaginal (n = 227), 2.2 (1.8-2.6)","caesarean (n = 62), 2.2 (1.9-2.5)",NA,"0.99 (0.89-1.10)","0.99","0.89","1.10","0.8723",0.925
"14","place_delivery","289","non_tertiary (n = 165), 2.2 (1.8-2.6)","tertiary (n = 124), 2.2 (1.8-2.6)",NA,"0.98 (0.90-1.07)","0.98","0.90","1.07","0.6043",0.857
"15","breastfed_child","289","nonexclusive (n = 41), 2.4 (2.1-2.7)","exclusive (n = 248), 2.2 (1.8-2.6)",NA,"0.77 (0.69-0.87)","0.77","0.69","0.87","0.0000",0
"16","age_at_first_dose","289",NA,NA,"0.169","1.05 (1.01-1.08)","1.05","1.01","1.08","0.0040",0.05
"17","birth_weight","289",NA,NA,"0.043","1.04 (0.94-1.15)","1.04","0.94","1.15","0.4636",0.786
"18","HIV_status","281",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","antibiotic_exposure","289","no (n = 207), 2.2 (1.9-2.5)","yes (n = 82), 2.2 (1.8-2.6)",NA,"0.94 (0.86-1.03)","0.94","0.86","1.03","0.1954",0.723
"20","HAZ_6_8w","288",NA,NA,"0.021","1.01 (0.97-1.05)","1.01","0.97","1.05","0.7171",0.896
"21","A1AT_BS3_Concugml","283",NA,NA,"0.087","1.05 (0.98-1.11)","1.05","0.98","1.11","0.1445",0.723
"22","MPO_BS3_Concngml","283",NA,NA,"-0.012","1.00 (0.97-1.03)","1.00","0.97","1.03","0.8378",0.925
"23","AG_Concugml","286",NA,NA,"0.059","1.09 (0.92-1.29)","1.09","0.92","1.29","0.3183",0.723
"24","MB1_IgA","287",NA,NA,"0.030","1.01 (0.97-1.05)","1.01","0.97","1.05","0.6169",0.857
"25","BM1_IgA","283",NA,NA,"-0.075","0.98 (0.94-1.01)","0.98","0.94","1.01","0.2070",0.723
"26","pre_exposed","286","no (n = 132), 2.2 (1.8-2.6)","yes (n = 154), 2.2 (1.9-2.5)",NA,"1.00 (0.91-1.09)","1.00","0.91","1.09","0.9250",0.925
