"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.009,0.019,0.62,"zinb","Bifidobacterium",0.673913043478261,"ns",0.171396137847301,25,0,"age",0.893401015228426,0.151326036254132
"Escherichia/Shigella",0.045,0.013,0.00076,"zinb","Escherichia/Shigella",0.00172727272727273,"positively correlated",2.7626390842054,25,0,"age",0.868020304568528,0.214359376289658
"Streptococcus",-0.119,0.024,1.7e-06,"nb","Streptococcus",5.3125e-06,"negatively correlated",5.27470105694163,25,0,"age",0.974619289340102,0.0346479762205668
"Staphylococcus",-0.435,0.025,7.3e-37,"zinb","Staphylococcus",1.825e-35,"negatively correlated",34.7387371312075,25,0,"age",0.766497461928934,0.0104984103093321
"Bacteroides",0.013,0.009,0.15,"zinb","Bacteroides",0.208333333333333,"ns",0.681241237375587,25,0,"age",0.634517766497462,0.197510877230103
"Veillonella",0.021,0.02,0.3,"zinb","Veillonella",0.394736842105263,"ns",0.403692337561129,25,0,"age",0.888324873096447,0.138542099124326
"Lactobacillus",-0.068,0.035,0.05,"zinb","Lactobacillus",0.078125,"negatively correlated",1.10720996964787,25,0,"age",0.50761421319797,0.013812863606309
"Collinsella",-0.024,0.013,0.054,"zinb","Collinsella",0.0794117647058824,"negatively correlated",1.10011515288327,25,0,"age",0.258883248730964,0.0156003200957538
"Haemophilus",-0.226,0.023,9e-18,"zinb","Haemophilus",1.125e-16,"negatively correlated",15.9488474775526,25,0,"age",0.644670050761421,0.0267670371374601
"Klebsiella",-0.156,0.02,5e-13,"zinb","Klebsiella",3.125e-12,"negatively correlated",11.5051499783199,25,0,"age",0.482233502538071,0.0623040407230987
"Enterococcus",-0.116,0.024,4.3e-06,"zinb","Enterococcus",1.19444444444444e-05,"negatively correlated",4.9228340451877,25,0,"age",0.6751269035533,0.00966338614926401
"Rothia",0,0.024,0.99,"zinb","Rothia",0.99,"ns",0.00436480540245009,25,0,"age",0.695431472081218,0.00261846171610805
