"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",-0.017,0.062,0.79,"nb","Bifidobacterium",0.86,"ns",0.0655015487564323,22,0,"either",0.992268041237113,0.450293248052743
"Escherichia/Shigella",-0.054,0.131,0.68,"zinb","Escherichia/Shigella",0.86,"ns",0.0655015487564323,22,0,"either",0.889175257731959,0.137488275004288
"Streptococcus",0.033,0.159,0.83,"nb","Streptococcus",0.86,"ns",0.0655015487564323,22,0,"either",1,0.11314005474505
"Staphylococcus",-0.06,0.22,0.79,"nb","Staphylococcus",0.86,"ns",0.0655015487564323,22,0,"either",0.984536082474227,0.0502207775478973
"Bacteroides",-0.675,0.351,0.056,"zinb","Bacteroides",0.410666666666667,"ns",0.386510546891256,22,0,"either",0.324742268041237,0.0250557083075253
"Veillonella",-0.495,0.339,0.15,"zinb","Veillonella",0.55,"ns",0.259637310505756,22,0,"either",0.806701030927835,0.0804981365399388
"Lactobacillus",0.691,0.455,0.13,"zinb","Lactobacillus",0.55,"ns",0.259637310505756,22,0,"either",0.628865979381443,0.0273673972240486
"Collinsella",-0.373,0.35,0.29,"zinb","Collinsella",0.58,"ns",0.236572006437063,22,0,"either",0.327319587628866,0.0209789704236386
"Haemophilus",-0.231,0.296,0.44,"zinb","Haemophilus",0.778461538461539,"ns",0.108762839803056,22,0,"either",0.335051546391753,0.00182388669679038
"Klebsiella",0.4,0.372,0.28,"zinb","Klebsiella",0.58,"ns",0.236572006437063,22,0,"either",0.824742268041237,0.0585947756190601
"Enterococcus",-0.88,0.677,0.2,"zinb","Enterococcus",0.562222222222222,"ns",0.250091992599526,22,0,"either",0.605670103092783,0.0136034367580907
"Rothia",-0.152,0.254,0.55,"zinb","Rothia",0.806666666666667,"ns",0.0933058887392312,22,0,"either",0.798969072164949,0.00236665044853891
"unassigned_Lachnospiraceae",0.482,0.4,0.23,"zinb","unassigned_Lachnospiraceae",0.562222222222222,"ns",0.250091992599526,22,0,"either",0.270618556701031,0.00981457070452615
"Gemella",-0.217,0.322,0.5,"zinb","Gemella",0.785714285714286,"ns",0.104735350520013,22,0,"either",0.654639175257732,0.000431534995541274
"Enterobacter",0.191,0.392,0.63,"zinb","Enterobacter",0.86,"ns",0.0655015487564323,22,0,"either",0.293814432989691,0.00197142610102089
"Acinetobacter",0.271,0.366,0.46,"zinb","Acinetobacter",0.778461538461539,"ns",0.108762839803056,22,0,"either",0.219072164948454,0.000199333132321569
"Corynebacterium_1",-0.769,0.246,0.0021,"zinb","Corynebacterium_1",0.0462,"negatively correlated",1.33535802444387,22,0,"either",0.667525773195876,0.000240449089761125
"Clostridium_sensu_stricto_1",0.07,0.397,0.86,"zinb","Clostridium_sensu_stricto_1",0.86,"ns",0.0655015487564323,22,0,"either",0.293814432989691,0.00506812463868368
"Actinomyces",-0.463,0.372,0.21,"zinb","Actinomyces",0.562222222222222,"ns",0.250091992599526,22,0,"either",0.22680412371134,0.000636825688353483
"Finegoldia",-0.156,0.618,0.8,"zinb","Finegoldia",0.86,"ns",0.0655015487564323,22,0,"either",0.213917525773196,6.3154846049409e-05
"Dolosigranulum",-1.312,0.527,0.014,"zinb","Dolosigranulum",0.154,"ns",0.812479279163537,22,0,"either",0.337628865979381,0.000109775613218219
"Anaerococcus",-0.948,0.557,0.091,"zinb","Anaerococcus",0.5005,"ns",0.300595918184663,22,0,"either",0.211340206185567,3.34878229156169e-05
