"","sample_subset","crossval_sd","crossval_mean","country","nonresponders","responders"
"1","BS1",0.120201850437025,0.564,"India","nonresponders","responders"
"2","BS2",0.103474976236145,0.52,"India","nonresponders","responders"
"3","BS3",0.108798534972311,0.4825,"India","nonresponders","responders"
"4","BS5",0.109474179419605,0.5105,"India","nonresponders","responders"
"5","MS1",0.116656926000295,0.5015,"India","nonresponders","responders"
