"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.016,0.005,0.0013,"nb","Bifidobacterium",0.00295454545454545,"positively correlated",2.52950932417935,25,0,"age",0.992105263157895,0.450266584626683
"Escherichia/Shigella",0.006,0.009,0.5,"zinb","Escherichia/Shigella",0.625,"ns",0.204119982655925,25,0,"age",0.921929824561403,0.139370121530968
"Streptococcus",-0.008,0.008,0.35,"nb","Streptococcus",0.460526315789474,"ns",0.336745547930516,25,0,"age",1,0.113700299634932
"Staphylococcus",-0.495,0.011,7.1e-220,"nb","Staphylococcus",1.775e-218,"negatively correlated",217.750801642609,25,0,"age",0.959649122807018,0.0349043883302583
"Bacteroides",0.005,0.01,0.66,"zinb","Bacteroides",0.717391304347826,"ns",0.144243891803687,25,0,"age",0.340350877192982,0.0301513675655284
"Veillonella",0.109,0.011,1e-22,"zinb","Veillonella",5e-22,"positively correlated",21.301029995664,25,0,"age",0.847368421052632,0.0781593897874106
"Lactobacillus",0.055,0.011,1.5e-06,"zinb","Lactobacillus",3.75e-06,"positively correlated",5.42596873227228,25,0,"age",0.645614035087719,0.0332338562035778
"Collinsella",0.018,0.01,0.065,"zinb","Collinsella",0.116071428571429,"ns",0.935274670363345,25,0,"age",0.300877192982456,0.0210061378969007
"Haemophilus",-0.186,0.011,3.5e-56,"zinb","Haemophilus",2.91666666666667e-55,"negatively correlated",54.5351132016973,25,0,"age",0.330701754385965,0.00171592281236759
"Klebsiella",-0.116,0.012,5.1e-21,"zinb","Klebsiella",1.59375e-20,"negatively correlated",19.797579802222,25,0,"age",0.852631578947368,0.052457165126262
"Enterococcus",0.029,0.012,0.015,"zinb","Enterococcus",0.0288461538461538,"positively correlated",1.53991208457912,25,0,"age",0.716666666666667,0.0224398883595698
"Rothia",0.006,0.01,0.55,"zinb","Rothia",0.625,"ns",0.204119982655925,25,0,"age",0.791228070175439,0.00243930209166265
"unassigned_Lachnospiraceae",-0.114,0.012,1.6e-21,"zinb","unassigned_Lachnospiraceae",5.71428571428571e-21,"negatively correlated",20.2430380486863,25,0,"age",0.283333333333333,0.00754654660257397
"Gemella",-0.059,0.01,3.5e-09,"zinb","Gemella",9.72222222222222e-09,"negatively correlated",8.01223445641701,25,0,"age",0.642105263157895,0.000410169957876775
"Enterobacter",0.034,0.011,0.0017,"zinb","Enterobacter",0.00354166666666667,"positively correlated",2.45079231599731,25,0,"age",0.370175438596491,0.00354219128798271
"Acinetobacter",0.02,0.011,0.072,"zinb","Acinetobacter",0.12,"ns",0.920818753952375,25,0,"age",0.23859649122807,0.000318247062864909
"Corynebacterium_1",0.006,0.01,0.53,"zinb","Corynebacterium_1",0.625,"ns",0.204119982655925,25,0,"age",0.671052631578947,0.000219329284219026
"Clostridium_sensu_stricto_1",-0.154,0.014,3.4e-27,"zinb","Clostridium_sensu_stricto_1",2.125e-26,"negatively correlated",25.6726410656137,25,0,"age",0.314035087719298,0.00527963680888582
