feature_id	feature	feature description	feature_full
g72	1.1.1.287	D-arabinitol dehydrogenase (NADP(+))	D-arabinitol_dehydrogenase_(NADP(+))_(1.1.1.287)
g73	1.1.1.289	Sorbose reductase	Sorbose_reductase_(1.1.1.289)
g74	1.1.1.28	D-lactate dehydrogenase	D-lactate_dehydrogenase_(1.1.1.28)
g75	1.1.1.290	4-phosphoerythronate dehydrogenase	4-phosphoerythronate_dehydrogenase_(1.1.1.290)
g76	1.1.1.291	2-hydroxymethylglutarate dehydrogenase	2-hydroxymethylglutarate_dehydrogenase_(1.1.1.291)
g77	1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	1,5-anhydro-D-fructose_reductase_(1,5-anhydro-D-mannitol-forming)_(1.1.1.292)
g78	1.1.1.298	3-hydroxypropionate dehydrogenase (NADP(+))	3-hydroxypropionate_dehydrogenase_(NADP(+))_(1.1.1.298)
g79	1.1.1.29	Glycerate dehydrogenase	Glycerate_dehydrogenase_(1.1.1.29)
g80	1.1.1.2	Alcohol dehydrogenase (NADP(+))	Alcohol_dehydrogenase_(NADP(+))_(1.1.1.2)
g81	1.1.1.301	D-arabitol-phosphate dehydrogenase	D-arabitol-phosphate_dehydrogenase_(1.1.1.301)
g82	1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone_5'-phosphate_reductase_(1.1.1.302)
g83	1.1.1.303	Diacetyl reductase ((R)-acetoin forming)	Diacetyl_reductase_((R)-acetoin_forming)_(1.1.1.303)
g84	1.1.1.304	Diacetyl reductase ((S)-acetoin forming)	Diacetyl_reductase_((S)-acetoin_forming)_(1.1.1.304)
g85	1.1.1.305	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)	UDP-glucuronic_acid_oxidase_(UDP-4-keto-hexauronic_acid_decarboxylating)_(1.1.1.305)
g86	1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase	S-(hydroxymethyl)mycothiol_dehydrogenase_(1.1.1.306)
g87	1.1.1.308	Sulfopropanediol 3-dehydrogenase	Sulfopropanediol_3-dehydrogenase_(1.1.1.308)
g88	1.1.1.30	3-hydroxybutyrate dehydrogenase	3-hydroxybutyrate_dehydrogenase_(1.1.1.30)
g89	1.1.1.311	(S)-1-phenylethanol dehydrogenase	(S)-1-phenylethanol_dehydrogenase_(1.1.1.311)
g90	1.1.1.313	Sulfoacetaldehyde reductase	Sulfoacetaldehyde_reductase_(1.1.1.313)
g91	1.1.1.317	Perakine reductase	Perakine_reductase_(1.1.1.317)
g92	1.1.1.31	3-hydroxyisobutyrate dehydrogenase	3-hydroxyisobutyrate_dehydrogenase_(1.1.1.31)
g93	1.1.1.325	Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)	Sepiapterin_reductase_(L-threo-7,8-dihydrobiopterin_forming)_(1.1.1.325)
g94	1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase	UDP-N-acetyl-D-mannosamine_dehydrogenase_(1.1.1.336)
g95	1.1.1.339	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))	dTDP-6-deoxy-L-talose_4-dehydrogenase_(NAD(+))_(1.1.1.339)
g96	1.1.1.341	CDP-abequose synthase	CDP-abequose_synthase_(1.1.1.341)
g97	1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	2,5-didehydrogluconate_reductase_(2-dehydro-L-gulonate-forming)_(1.1.1.346)
g98	1.1.1.347	Geraniol dehydrogenase (NAD(+))	Geraniol_dehydrogenase_(NAD(+))_(1.1.1.347)
g99	1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH)	Hydroxymethylglutaryl-CoA_reductase_(NADPH)_(1.1.1.34)
g100	1.1.1.350	Ureidoglycolate dehydrogenase (NAD(+))	Ureidoglycolate_dehydrogenase_(NAD(+))_(1.1.1.350)
g101	1.1.1.355	2'-dehydrokanamycin reductase	2'-dehydrokanamycin_reductase_(1.1.1.355)
g102	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	3-hydroxyacyl-CoA_dehydrogenase_(1.1.1.35)
g103	1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+))	Glucose-6-phosphate_dehydrogenase_(NAD(P)(+))_(1.1.1.363)
g104	1.1.1.364	dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase	dTDP-4-dehydro-6-deoxy-alpha-D-gulose_4-ketoreductase_(1.1.1.364)
g105	1.1.1.369	D-chiro-inositol 1-dehydrogenase	D-chiro-inositol_1-dehydrogenase_(1.1.1.369)
g106	1.1.1.36	Acetoacetyl-CoA reductase	Acetoacetyl-CoA_reductase_(1.1.1.36)
g107	1.1.1.370	Scyllo-inositol 2-dehydrogenase (NAD(+))	Scyllo-inositol_2-dehydrogenase_(NAD(+))_(1.1.1.370)
g108	1.1.1.373	Sulfolactaldehyde 3-reductase	Sulfolactaldehyde_3-reductase_(1.1.1.373)
g109	1.1.1.37	Malate dehydrogenase	Malate_dehydrogenase_(1.1.1.37)
g110	1.1.1.381	3-hydroxy acid dehydrogenase	3-hydroxy_acid_dehydrogenase_(1.1.1.381)
g111	1.1.1.387	L-serine 3-dehydrogenase (NAD(+))	L-serine_3-dehydrogenase_(NAD(+))_(1.1.1.387)
g112	1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating)	Malate_dehydrogenase_(oxaloacetate-decarboxylating)_(1.1.1.38)
g113	1.1.1.391	NO NAME	NO_NAME_(1.1.1.391)
g114	1.1.1.392	NO NAME	NO_NAME_(1.1.1.392)
g115	1.1.1.393	NO NAME	NO_NAME_(1.1.1.393)
g116	1.1.1.395	NO NAME	NO_NAME_(1.1.1.395)
g117	1.1.1.399	NO NAME	NO_NAME_(1.1.1.399)
