feature_id	feature	feature description	feature_full
g234	1.13.12.19	2-oxuglutarate dioxygenase (ethylene-forming)	2-oxuglutarate_dioxygenase_(ethylene-forming)_(1.13.12.19)
g235	1.13.12.4	Lactate 2-monooxygenase	Lactate_2-monooxygenase_(1.13.12.4)
g236	1.14.11.17	Taurine dioxygenase	Taurine_dioxygenase_(1.14.11.17)
g237	1.14.11.33	DNA oxidative demethylase	DNA_oxidative_demethylase_(1.14.11.33)
g238	1.14.11.47	50S ribosomal protein L16 3-hydroxylase	50S_ribosomal_protein_L16_3-hydroxylase_(1.14.11.47)
g239	1.14.12.10	Benzoate 1,2-dioxygenase	Benzoate_1,2-dioxygenase_(1.14.12.10)
g240	1.14.12.13	2-halobenzoate 1,2-dioxygenase	2-halobenzoate_1,2-dioxygenase_(1.14.12.13)
g241	1.14.12.17	Nitric oxide dioxygenase	Nitric_oxide_dioxygenase_(1.14.12.17)
g242	1.14.12.18	Biphenyl 2,3-dioxygenase	Biphenyl_2,3-dioxygenase_(1.14.12.18)
g243	1.14.12.19	3-phenylpropanoate dioxygenase	3-phenylpropanoate_dioxygenase_(1.14.12.19)
g244	1.14.12.1	Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)	Anthranilate_1,2-dioxygenase_(deaminating,_decarboxylating)_(1.14.12.1)
g245	1.14.12.3	Benzene 1,2-dioxygenase	Benzene_1,2-dioxygenase_(1.14.12.3)
g246	1.14.12.7	Phthalate 4,5-dioxygenase	Phthalate_4,5-dioxygenase_(1.14.12.7)
g247	1.14.13.107	Limonene 1,2-monooxygenase	Limonene_1,2-monooxygenase_(1.14.13.107)
g248	1.14.13.113	FAD-dependent urate hydroxylase	FAD-dependent_urate_hydroxylase_(1.14.13.113)
g249	1.14.13.114	6-hydroxynicotinate 3-monooxygenase	6-hydroxynicotinate_3-monooxygenase_(1.14.13.114)
g250	1.14.13.127	3-(3-hydroxy-phenyl)propanoic acid hydroxylase	3-(3-hydroxy-phenyl)propanoic_acid_hydroxylase_(1.14.13.127)
g251	1.14.13.131	Dimethyl-sulfide monooxygenase	Dimethyl-sulfide_monooxygenase_(1.14.13.131)
g252	1.14.13.133	Pentalenene oxygenase	Pentalenene_oxygenase_(1.14.13.133)
g253	1.14.13.149	Phenylacetyl-CoA 1,2-epoxidase	Phenylacetyl-CoA_1,2-epoxidase_(1.14.13.149)
g254	1.14.13.178	Methylxanthine N(1)-demethylase	Methylxanthine_N(1)-demethylase_(1.14.13.178)
g255	1.14.13.182	2-heptyl-3-hydroxy-4(1H)-quinolone synthase	2-heptyl-3-hydroxy-4(1H)-quinolone_synthase_(1.14.13.182)
g256	1.14.13.1	Salicylate 1-monooxygenase	Salicylate_1-monooxygenase_(1.14.13.1)
g257	1.14.13.20	2,4-dichlorophenol 6-monooxygenase	2,4-dichlorophenol_6-monooxygenase_(1.14.13.20)
g258	1.14.13.22	Cyclohexanone monooxygenase	Cyclohexanone_monooxygenase_(1.14.13.22)
g259	1.14.13.239	NO NAME	NO_NAME_(1.14.13.239)
g260	1.14.13.24	3-hydroxybenzoate 6-monooxygenase	3-hydroxybenzoate_6-monooxygenase_(1.14.13.24)
g261	1.14.13.2	4-hydroxybenzoate 3-monooxygenase	4-hydroxybenzoate_3-monooxygenase_(1.14.13.2)
g262	1.14.13.39	Nitric-oxide synthase (NADPH)	Nitric-oxide_synthase_(NADPH)_(1.14.13.39)
g263	1.14.13.48	(S)-limonene 6-monooxygenase	(S)-limonene_6-monooxygenase_(1.14.13.48)
g264	1.14.13.49	(S)-limonene 7-monooxygenase	(S)-limonene_7-monooxygenase_(1.14.13.49)
g265	1.14.13.50	Pentachlorophenol monooxygenase	Pentachlorophenol_monooxygenase_(1.14.13.50)
g266	1.14.13.59	L-lysine N(6)-monooxygenase (NADPH)	L-lysine_N(6)-monooxygenase_(NADPH)_(1.14.13.59)
g267	1.14.13.70	Sterol 14-alpha-demethylase	Sterol_14-alpha-demethylase_(1.14.13.70)
