"","BB1_IgA","BB2_IgA","MB1_IgA","BM1_IgA","BS3_A1AT","BS3_MPO","BB1_A1AG","BS5_A1AT","BS5_MPO","MS1","BS1","BS2","BS3","BS5","n"
"India",305,305,305,301,300,300,304,297,297,286,287,285,287,281,305
"India_e",166,166,166,163,163,163,165,162,162,156,155,156,154,160,166
"India_u",138,138,138,137,136,136,138,134,134,129,131,128,132,120,138
"Malawi",103,103,103,78,78,78,87,53,53,74,73,71,66,53,103
"UK",51,54,45,29,43,42,0,48,46,51,53,53,48,51,54
