"","BB1_IgA","BB2_IgA","MB1_IgA","BM1_IgA","BS3_A1AT","BS3_MPO","BB1_A1AG","BS5_A1AT","BS5_MPO","MS1","BS1","BS2","BS3","BS5","n"
"India_r",81,81,81,81,80,80,81,81,81,73,73,77,76,74,82
"India_nr",222,222,222,218,219,219,221,215,215,213,214,208,211,206,223
"India_r_e",29,29,29,29,28,28,29,29,29,26,26,28,26,26,29
"India_nr_e",135,135,135,132,133,133,134,131,131,128,127,126,126,132,135
"India_r_u",52,52,52,52,51,51,52,51,51,46,46,48,49,47,52
"India_nr_u",86,86,86,85,85,85,86,83,83,83,85,80,83,73,86
"Malawi_r",45,45,45,36,34,34,41,32,32,42,39,32,25,33,56
"Malawi_nr",40,40,40,28,37,37,34,25,25,27,29,32,32,21,45
"UK_r",52,49,46,26,44,44,0,48,48,53,55,54,49,51,55
"UK_nr",4,5,3,4,4,3,0,3,3,4,4,5,4,4,5
