"","BB1_IgA","BB2_IgA","MB1_IgA","BM1_IgA","BS3_A1AT","BS3_MPO","BB1_A1AG","BS5_A1AT","BS5_MPO","MS1","BS1","BS2","BS3","BS5","n"
"India",305,305,305,301,301,301,304,298,298,288,289,287,289,282,307
"India_e",166,166,166,163,163,163,165,162,162,156,155,156,154,160,166
"India_u",138,138,138,137,136,136,138,134,134,129,131,128,132,120,138
"Malawi",103,103,103,78,83,83,87,63,63,83,81,75,68,61,119
"UK",56,54,49,30,48,47,0,51,51,57,59,59,53,55,60
