"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X41388070b02a7c162aa7245ce4812ebd","Bifidobacterium (RSV1)",965,0.999999767686161,371,0.534018177186445,118,0.99995173275242,0.534018177186445,FALSE
"Xffc36e27c82042664a16bcd4d380b286","Escherichia/Shigella (RSV2)",1183,1,452,0.999958055851666,315,0.999999999998329,0.999958055851666,FALSE
"X409f711b59152d57926cf444c5577087","Streptococcus (RSV3)",1196,0.999999999999998,414,0.59690482195489,285,0.999992193054467,0.59690482195489,FALSE
"X101637aba474a6614786486ad42acb11","Streptococcus (RSV4)",1031,0.995775977647962,391,0.586781245848146,272,0.99999999998865,0.586781245848146,FALSE
"X384d4c681853c4875391719d0bda7221","Bifidobacterium (RSV5)",825,0.999999999351665,165,0.952004492942573,113,0.999999896347119,0.952004492942573,FALSE
"X38b7580c13cf081c9f279006c2dc70b9","Bifidobacterium (RSV6)",424,0.999993570937492,87,0.979147905376704,225,0.99999999999379,0.979147905376704,FALSE
"X5497318e515a8c328a68f95975d9c7d4","Staphylococcus (RSV7)",933,0.999999852286654,261,0.982880260864173,167,0.999999994428217,0.982880260864173,FALSE
"X62611dedc42201591d0c89973f903dde","Staphylococcus (RSV8)",822,0.999999988034153,291,0.99881524814821,84,0.999998851722743,0.99881524814821,FALSE
"X4abaa483334092f021534a979086baeb","Bacteroides (RSV9)",17,0.759286498900345,102,0.910498334516187,128,0.999694004760876,0.759286498900345,FALSE
"X78c5607a490288b6e534cde0066c2961","Veillonella (RSV10)",443,0.999783054149123,136,0.95186732672751,64,0.986057823216469,0.95186732672751,FALSE
"X9b23053de8f4269fe6b5ce286dfbef3c","Lactobacillus (RSV11)",409,0.962360448596807,139,0.668649620034093,70,0.988350667160388,0.668649620034093,FALSE
"X15e05255b2aa8ee3524ca61eb207bb18","Collinsella (RSV12)",300,0.999999895078722,281,0.998785460734383,85,0.999158946963149,0.998785460734383,FALSE
