"","BB1_IgA","BB2_IgA","MB1_IgA","BM1_IgA","BS3_A1AT","BS3_MPO","BB1_A1AG","BS5_A1AT","BS5_MPO","MS1","BS1","BS2","BS3","BS5","n"
"India_r",150,150,150,149,147,147,150,147,147,140,139,142,142,135,151
"India_nr",152,152,152,149,151,151,151,148,148,145,147,142,144,144,153
"India_r_e",65,65,65,65,63,63,65,62,62,61,60,62,60,61,65
"India_nr_e",99,99,99,96,98,98,98,98,98,93,93,92,92,97,99
"India_r_u",84,84,84,83,82,82,84,83,83,77,77,78,80,72,84
"India_nr_u",53,53,53,53,53,53,53,50,50,51,53,49,51,47,53
"Malawi_r",41,41,41,29,35,35,36,28,28,34,31,30,27,30,50
"Malawi_nr",20,20,20,13,19,19,19,16,16,14,16,15,16,12,22
"UK_r",50,49,46,26,44,44,0,48,48,53,53,54,47,51,54
"UK_nr",2,2,0,1,2,1,0,1,1,1,2,2,2,2,2
