"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"Xf330a8d2204597dbe97585c4185570bd","Bacteroides (RSV42)",19,0.950710477931964,25,0.756767584449697,5,NA,0.756767584449697,FALSE
"X9fed090466636a2fc71e6898ecd56969","Veillonella (RSV43)",28,0.999999789671279,5,NA,3,NA,0.999999789671279,FALSE
"X13f7a1ef880f3b73eeffa18951ffe96f","Streptococcus (RSV44)",101,0.999999514609379,15,0.907960092579813,4,NA,0.907960092579813,FALSE
"X3d171b0adaae97c65a278411dbd1f90b","Streptococcus (RSV45)",228,0.997490525118974,50,0.919607588367208,31,0.999402869149905,0.919607588367208,FALSE
"X052ba7abaeaa968c4f79e3f97d1f0a2f","Pseudomonas (RSV46)",348,1,24,0.974742227019213,24,0.999848215397266,0.974742227019213,FALSE
"Xb77b151f7481fd080bedbf415e736539","Listeria (RSV47)",3,NA,1,NA,3,NA,NA,FALSE
"X101c48cfe83f8cce71719a4514fcb35b","Staphylococcus (RSV48)",494,1,96,0.991008370854268,2,NA,0.991008370854268,FALSE
"X55ae36374045b6a58fdc9c11936be5cc","Veillonella (RSV49)",71,0.918246928728662,63,0.961173666597292,38,0.999999999343387,0.918246928728662,FALSE
"Xb02a8d33d018119dedb2db15db887bfd","Cutibacterium (RSV50)",715,1,215,0.999989180797059,131,1,0.999989180797059,FALSE
"X32ab1812bd3770f4b7f6aad7273783da","Enterobacter (RSV51)",97,0.990582892591321,27,0.818996093862364,20,0.999996464457948,0.818996093862364,FALSE
"X26547c96837ae7efcfa67fca0cc71140","Bacteroides (RSV52)",4,NA,12,0.594771949986585,3,NA,0.594771949986585,FALSE
"X8fd88bade4ab12bca62cbcef70c3c6f0","Klebsiella (RSV53)",35,0.999663712719576,23,0.665882255161833,5,NA,0.665882255161833,FALSE
"X24d821dddfbe031b81a44817e6d6a4c1","Klebsiella (RSV54)",112,0.999999861485879,42,0.833206007117379,30,0.999974517700928,0.833206007117379,FALSE
"X90f0c3ecf764dde04f7b4f431a27638a","Pseudomonas (RSV55)",663,1,77,0.799050475798863,5,NA,0.799050475798863,FALSE
"X8eb4e34fd58ab95fa2efab34940c01fa","Prevotella_9 (RSV56)",25,0.99985476034991,81,0.999997718108401,0,NA,0.99985476034991,FALSE
"Xbd6383169ddd32592a82ccdb7511c186","Klebsiella (RSV57)",15,0.888542898662187,12,0.579542826107751,21,0.999973076747098,0.579542826107751,FALSE
"Xdb92d5e78fb94056efc409ace74df645","Megasphaera (RSV58)",20,0.985227374421541,6,NA,0,NA,0.985227374421541,FALSE
"X7440aa816171ce9e81d9b67d2dda61c6","Bacteroides (RSV59)",4,NA,33,0.810158821735045,4,NA,0.810158821735045,FALSE
"X475a7aec8371b5ad941cd8c8939867c9","Veillonella (RSV60)",9,NA,3,NA,0,NA,NA,FALSE
"Xeed23b036f73d1c312c8955cda39ba58","Veillonella (RSV61)",7,NA,1,NA,4,NA,NA,FALSE
"Xa3725fbb7f4a76528d54dd283e88cad8","Streptococcus (RSV62)",23,0.9973377426723,84,0.998817476619525,13,0.99894655355614,0.9973377426723,FALSE
"X3f3a0eaeea9c0690b6ede1b17b4fd8ce","Bifidobacterium (RSV63)",101,0.999999999999926,21,0.846326476822158,22,0.999997808334997,0.846326476822158,FALSE
"Xdd15951e49efb7d086763a72ace1db22","Haemophilus (RSV64)",9,NA,3,NA,6,NA,NA,FALSE
"X4d6fe682a4dd9aad8decfab830a193e0","Parabacteroides (RSV65)",7,NA,15,0.557488746037436,1,NA,0.557488746037436,FALSE
"X5354b5f62e45014a1b54b8ad68cfa269","Veillonella (RSV66)",10,0.493665383725144,6,NA,3,NA,0.493665383725144,FALSE
"X615e98f95754768b3a97483cecdf7830","Acinetobacter (RSV67)",587,1,39,0.999940475177279,1,NA,0.999940475177279,FALSE
"X0a1f5ed70dcb37a86924dbd5fde981af","Enhydrobacter (RSV69)",499,0.999999999995231,107,0.973521872385347,82,0.999999999999781,0.973521872385347,FALSE
"Xc728ad6f5d183cb36fa06b6a3a47758b","Faecalibacterium (RSV70)",46,0.998487667879655,41,0.96870186245426,6,NA,0.96870186245426,FALSE
"Xb264ac8ff5f9aff74f0b9aa084d9a9f0","Agathobacter (RSV71)",61,0.999972872512004,66,0.666737175586761,4,NA,0.666737175586761,FALSE
"Xc4a5d68c1391a83b4bab19e5812a7904","Corynebacterium_1 (RSV72)",378,0.999998547052358,15,0.305891721341603,1,NA,0.305891721341603,FALSE
"X4516aa60a483dd8c7bbc57098c45f1a5","Faecalibacterium (RSV73)",26,0.998240926139117,91,0.998001586488482,8,NA,0.998001586488482,FALSE
