"","Estimate","Std.Error","pvalue","method","genus","padj","signif","pscale","n_tested","failed_convergence","nsamples_country1","nsamples_country2","ninfants_country1","ninfants_country2","comparison"
"Collinsella1",-0.098,0.184,0.6,"zinb","Collinsella",0.678947368421053,"ns",0.16816389065358,43,0,1147,285,307,107,"IND-MLW"
"Haemophilus1",-0.018,0.436,0.97,"zinb","Haemophilus",0.97,"ns",0.0132282657337552,43,0,1147,285,307,107,"IND-MLW"
"Klebsiella1",-0.894,0.212,3.2e-05,"zinb","Klebsiella",7.64444444444444e-05,"IND",4.11665407120381,43,0,1147,285,307,107,"IND-MLW"
"Enterococcus1",-2.435,0.269,5.2e-18,"zinb","Enterococcus",5.59e-17,"IND",16.2525881921136,43,0,1147,285,307,107,"IND-MLW"
"Rothia1",0.331,0.162,0.042,"zinb","Rothia",0.07525,"ns",1.12349349573412,43,0,1147,285,307,107,"IND-MLW"
"unassigned_Lachnospiraceae1",-0.208,0.215,0.33,"zinb","unassigned_Lachnospiraceae",0.4434375,"ns",0.353167582862432,43,0,1147,285,307,107,"IND-MLW"
"Gemella1",-0.178,0.184,0.33,"zinb","Gemella",0.4434375,"ns",0.353167582862432,43,0,1147,285,307,107,"IND-MLW"
"Prevotella_9",1.265,0.345,0.00028,"zinb","Prevotella_9",0.000602,"MLW",3.22040350874218,43,0,1147,285,307,107,"IND-MLW"
"Dialister",1.292,0.293,1.4e-05,"zinb","Dialister",4.01333333333333e-05,"MLW",4.39649476779786,43,0,1147,285,307,107,"IND-MLW"
"Cutibacterium",-0.705,0.319,0.028,"zinb","Cutibacterium",0.0523478260869565,"ns",1.28110134909579,43,0,1147,285,307,107,"IND-MLW"
"Enterobacter1",-2.345,0.473,1e-06,"zinb","Enterobacter",3.30769230769231e-06,"IND",5.48047489672725,43,0,1147,285,307,107,"IND-MLW"
"Parabacteroides1",1.002,0.243,4.5e-05,"zinb","Parabacteroides",0.000101842105263158,"MLW",3.9920726315979,43,0,1147,285,307,107,"IND-MLW"
"Acinetobacter1",1.796,0.156,7.6e-27,"zinb","Acinetobacter",1.634e-25,"MLW",24.7867479478036,43,0,1147,285,307,107,"IND-MLW"
"Enhydrobacter",5.178,0.53,2.1e-20,"zinb","Enhydrobacter",3.01e-19,"MLW",18.5214335044062,43,0,1147,285,307,107,"IND-MLW"
"Corynebacterium_11",0.542,0.115,3.2e-06,"zinb","Corynebacterium_1",9.82857142857143e-06,"MLW",5.00750960177875,43,0,1147,285,307,107,"IND-MLW"
"Clostridium_sensu_stricto_11",0.478,0.25,0.056,"zinb","Clostridium_sensu_stricto_1",0.0891851851851852,"ns",1.0497072815732,43,0,1147,285,307,107,"IND-MLW"
"unassigned_Enterobacteriaceae1",-0.579,0.306,0.06,"zinb","unassigned_Enterobacteriaceae",0.0921428571428572,"ns",1.03553832537899,43,0,1147,285,307,107,"IND-MLW"
"Phascolarctobacterium",3.379,0.602,3.6e-08,"zinb","Phascolarctobacterium",1.40727272727273e-07,"MLW",6.85162172881135,43,0,1147,285,307,107,"IND-MLW"
"Succinivibrio",1.57,2.093,0.45,"zinb","Succinivibrio",0.569117647058824,"ns",0.244797947687325,43,0,1147,285,307,107,"IND-MLW"
"Sutterella",1.389,0.18,8.3e-14,"zinb","Sutterella",4.46125e-13,"MLW",12.3505434390363,43,0,1147,285,307,107,"IND-MLW"
"Granulicatella1",-0.465,0.861,0.59,"zinb","Granulicatella",0.678947368421053,"ns",0.16816389065358,43,0,1147,285,307,107,"IND-MLW"
"Micrococcus",8.727,1.265,2e-11,"zinb","Micrococcus",8.6e-11,"MLW",10.0655015487564,43,0,1147,285,307,107,"IND-MLW"
