"","country","median_tst_lm_R2","q3_tst_lm_R2","q1_tst_lm_R2"
"1","India",0.01345,0.02955,0.003
"2","India (exposed)",0.0182,0.048225,0.002875
"3","India (unexposed)",0.025,0.082975,0.006
"4","Malawi",0.0331,0.110225,0.00685
