"","country","nonresponders","responders","crossval_median","crossval_q1","crossval_q3"
"1","India","nonresponders","responders",0.55,0.5,0.6
"2","India (exposed)","nonresponders","responders",0.5,0.444444444444444,0.555555555555556
"3","India (unexposed)","nonresponders","responders",0.5,0.416666666666667,0.583333333333333
"4","Malawi","nonresponders","responders",0.5,0.25,0.75
