"","country","median_tst_lm_R2","q3_tst_lm_R2","q1_tst_lm_R2"
"1","India",0.0045,0.01705,0.001075
"2","India (exposed)",0.0172,0.0443,0.0028
"3","India (unexposed)",0.0268,0.079525,0.00655
"4","Malawi",0.04835,0.0991,0.014425
