"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","mean","sd","India_present","India_n","India_prev","India_mean","India_sd","Malawi_present","Malawi_n","Malawi_prev","Malawi_mean","Malawi_sd","fisher_p","lr_p","wilcox_p","fisher_padj","lr_padj","wilcox_padj","mean_diff","prev_diff","enriched_India","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_value","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_qval_filt"
"1","t111015","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces",NA,"Actinomyces",0.0456325968047077,0.0893846013310002,119,283,42,0.0296148409893993,0.280744192627127,29,58,50,0.00742413793103448,0.0266600516598704,0.30914104349246,0.266912928147851,0.168550050433262,0.486255601429324,0.415768214999537,0.268431561801121,0.0221907030583648,-8,TRUE,61,0,50,0.9,0.85,0.95,"Malawi",-0.000284381775130613,0.00225424272366688,0.899684795520449,0.97294513810274,341,148,0.97294513810274
"2","t1260","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia",NA,"Finegoldia",0.0670772968076148,0.12444889666199,217,283,76.7,0.00491448763250883,0.0181890457448677,52,58,89.7,0.012551724137931,0.0510601751681608,0.032915157145972,0.0325667798322441,0.129626711040995,0.0784155214359921,0.0757353703932431,0.216692641465684,-0.0076372365054222,-13,FALSE,46,0,50,0.9,0.85,0.95,"Malawi",0.00190409418601045,0.000909506080982361,0.0370429064786128,0.117988516931878,341,269,0.117988516931878
"3","t1270","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus",NA,"Micrococcus",1.1411579196041,1.92240312654621,74,283,26.1,0.000140989399293286,0.000443409273217385,48,58,82.8,0.00855,0.0179767417963889,7.47100833000886e-16,2.77039645926003e-12,5.2582061171855e-25,6.05151674730717e-14,2.24402113200062e-10,4.52205726077953e-23,-0.00840901060070671,-56.7,FALSE,1,1,50,0.9,0.85,0.95,"Malawi",0.00583889906434249,0.000422724907476055,9.77001609375252e-35,8.40221384062717e-33,341,122,8.40221384062717e-33
"4","t1290","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus",0.0974461283792427,0.175934769238665,283,283,100,0.336671378091873,0.958675277887774,58,58,100,0.514581034482759,1.25731746503404,NA,NA,0.623760297094905,NA,NA,0.745047021530025,-0.177909656390886,0,FALSE,30,0,50,0.9,0.85,0.95,"Malawi",0.00872425858162231,0.00644876256637887,0.177002642782128,0.400584928401658,341,341,0.400584928401658
"5","t1297617","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinimonas",NA,"Intestinimonas",0.0322933699428717,0.0630640067550936,98,283,34.6,0.00251201413427562,0.014310993536432,23,58,39.7,0.00147931034482759,0.00862649445218481,0.547024503595323,0.466627196031811,0.67530475524417,0.714661045019697,0.619619719320929,0.795564506178063,0.00103270378944803,-5.1,TRUE,73,0,50,0.9,0.85,0.95,"Malawi",-0.000338065286205796,0.000651614419058657,0.604230448637975,0.79944336281332,341,121,0.79944336281332
"6","t1316412","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus",0.117452425922965,0.212521195485597,283,283,100,4.97961908127208,6.44188149860869,58,58,100,5.83560862068965,9.19525470853509,NA,NA,0.248073479370891,NA,NA,0.367833090101666,-0.85598953941757,0,FALSE,23,0,50,0.9,0.85,0.95,"Malawi",-0.00130993438016427,0.0186650160858886,0.944090769813935,0.97294513810274,341,341,0.97294513810274
"7","t1335613","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA,"Gordonibacter",0.0553206554633146,0.102628624750877,116,283,41,0.0119685512367491,0.0530624565126423,37,58,63.8,0.00782758620689655,0.0133163109730524,0.0021512915281837,0.00183577722224415,0.00155511357676595,0.0069701845513152,0.00646512847833811,0.00534959070407486,0.00414096502985256,-22.8,TRUE,56,0,50,0.9,0.85,0.95,"Malawi",0.00127451624991252,0.0013629782087563,0.350404143738836,0.660483358997786,341,153,0.660483358997786
"8","t1351","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus",0.145672571481107,0.265181181663394,266,283,94,1.24076219081272,5.86091319916746,54,58,93.1,0.532241379310345,2.26014251600285,0.766198761220611,0.797564665330683,0.00368340912507752,0.869560690314006,0.876547923065601,0.0105591061585556,0.708520811502376,0.900000000000006,TRUE,18,1,50,0.9,0.85,0.95,"Malawi",-0.0297223372591823,0.0145209269252801,0.0414423151277491,0.124680330129445,341,320,0.124680330129445
"9","t1358","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,"Lactococcus",0.10634307105196,0.194766960084632,125,283,44.2,0.0426505300353357,0.631953498624287,43,58,74.1,0.000798275862068965,0.000996747584459795,4.09755119035392e-05,6.68189361786857e-05,0.000282345598708984,0.000206388511668484,0.000386595273605253,0.00110371461313512,0.0418522541732667,-29.9,TRUE,27,0,50,0.9,0.85,0.95,"Malawi",-0.0014644637541936,0.00272416868441412,0.591218443181463,0.794449783025091,341,168,0.794449783025091
"10","t1379","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella",NA,"Gemella",0.0685847618413089,0.124694865121872,254,283,89.8,0.00854310954063604,0.0236804490432976,48,58,82.8,0.0135241379310345,0.0319532405645677,0.170836105455563,0.131784747080567,0.735860337396268,0.300820098736971,0.241239590674603,0.843786520214387,-0.00498102839039844,7,FALSE,45,0,50,0.9,0.85,0.95,"Malawi",0.00129467550324938,0.00103963285004347,0.213874259127382,0.448614299633046,341,302,0.448614299633046
"11","t1382","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella",NA,"Lancefieldella",0.0613757089074915,0.123686947498537,94,283,33.2,0.00626572438162544,0.0223425727839167,32,58,55.2,0.0189965517241379,0.0607934379120308,0.00258692711776577,0.00196005615628929,0.00278619956931605,0.0077607813532973,0.00661518952747636,0.00887456159115483,-0.0127308273425125,-22,FALSE,49,0,50,0.9,0.85,0.95,"Malawi",0.00325503182235462,0.00118353811142395,0.0062744312748232,0.0299778383130442,341,126,0.0299778383130442
