"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Bifidobacterium","week of life 1",289,97.6,37.528,81,71.6,14.662,2.51407374312689e-11,3.48378790119012e-10,9.86760162718649e-17,9.57157357837089e-15,1,"India"
"2","Bacteroides","week of life 1",289,28,2.594,81,77.8,6.75,1.06511818958586e-15,5.16582321949143e-14,8.35891301162915e-11,2.2584176328016e-09,3,"Malawi"
"3","Collinsella","week of life 1",289,21.5,1.51,81,70.4,4.6,8.45926453319289e-16,5.16582321949143e-14,6.87896143752727e-10,1.31247073132148e-08,4,"Malawi"
"4","Succinivibrio","week of life 1",289,1.4,0.033,81,32.1,2.644,2.64863007366207e-15,8.56390390484069e-14,0.0126902543684576,0.0362956442997507,16,"Malawi"
"5","Senegalimassilia","week of life 1",289,10.7,0.083,81,53.1,0.189,6.84158257948022e-15,1.65908377552395e-13,2.11818361626324e-07,2.26383985885985e-06,10,"Malawi"
"6","Phascolarctobacterium","week of life 1",289,1,0.01,81,28.4,0.274,6.5087947996401e-14,1.26270619113018e-12,0.0233089205268798,0.0564130411077712,23,"Malawi"
"7","Prevotella_9","week of life 1",289,8.3,0.247,81,45.7,5.546,2.57356924668517e-13,4.16060361547435e-12,1.34025295935208e-05,9.93124911346682e-05,11,"Malawi"
"8","Sutterella","week of life 1",289,11.4,0.158,81,46.9,1.489,3.04976066145608e-11,3.6978348020155e-10,3.61855324535988e-05,0.000259867279665189,13,"Malawi"
"9","Enterococcus","week of life 1",289,65.4,3.026,81,32.1,0.105,1.12487530226946e-07,8.39330033231826e-07,3.47013875113573e-11,9.96079594544841e-10,2,"India"
"10","Micrococcus","week of life 1",289,0,0,81,17.3,0.004,2.26243365699571e-10,2.43840071920648e-09,0.465701915281779,0.588002530062111,20,"Malawi"
