"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Dialister","week of life 10",282,8.5,0.03,61,57.4,0.316,3.56741593903728e-16,3.46039346086616e-14,2.00955126071442e-06,1.82504397929163e-05,4,"Malawi"
"2","Acinetobacter","week of life 10",282,22.3,0.047,61,73.8,1.076,5.02441070876058e-14,1.62455946249925e-12,3.091834745249e-11,1.2415707755515e-09,2,"Malawi"
"3","Prevotella","week of life 10",282,13.8,0.005,61,62.3,0.114,4.26830674772626e-14,1.62455946249925e-12,1.57295437432675e-09,3.45732441354028e-08,1,"Malawi"
"4","Micrococcus","week of life 10",282,0,0,61,24.6,0.005,1.17593812295136e-12,2.85164994815705e-11,0.101539485281932,0.190617245650483,19,"Malawi"
"5","Chryseobacterium","week of life 10",282,0.7,0,61,26.2,0.192,1.91128599594625e-11,3.70789483213572e-10,0.0481194725831858,0.103575506352831,24,"Malawi"
"6","Enterococcus","week of life 10",282,84,2.54,61,55.7,0.412,6.53530615060825e-06,2.88147589367728e-05,1.02213679433653e-11,5.3919057046847e-10,3,"India"
"7","Brevundimonas","week of life 10",282,0,0,61,19.7,0.005,3.82284884434453e-10,6.18027229835698e-09,0.382324853500147,0.508288766714057,47,"Malawi"
"8","Slackia","week of life 10",282,2.5,0.002,61,27.9,0.131,3.00154031943055e-09,4.15927729978233e-08,0.0755313710876822,0.147819136591481,22,"Malawi"
"9","Brevibacterium","week of life 10",282,1.1,0,61,23,0.004,3.64014889064844e-09,4.41368052991123e-08,0.282087304262475,0.400623264009845,29,"Malawi"
"10","Prevotella_9","week of life 10",282,7.8,0.421,61,39.3,2.669,6.45961691821902e-09,6.96203156741384e-08,0.0162782231738805,0.0455638739505641,11,"Malawi"
"11","Klebsiella","week of life 10",282,85.1,3.67,61,63.9,0.907,0.000409921177204965,0.00110450983858004,7.5020275923998e-09,1.63684035924513e-07,6,"India"
"12","Holdemanella","week of life 10",282,3.5,0.01,61,27.9,0.058,4.81840075696046e-08,4.67384873425165e-07,0.077427385772067,0.145137639200493,32,"Malawi"
"13","Bifidobacterium","week of life 10",282,99.3,43.934,61,98.4,30.222,0.445324664825028,0.54679104415225,6.59495764064277e-08,1.08595266490884e-06,5,"India"
"14","Sphingobacterium","week of life 10",282,0.4,0,61,16.4,0.008,1.56931093288804e-07,1.38384691354672e-06,0.469603601709928,0.597019784204618,51,"Malawi"
"15","Ezakiella","week of life 10",282,6.7,0.002,61,32.8,0.094,2.93954750384671e-07,2.37613423227609e-06,0.00603454546343909,0.0214442725924926,33,"Malawi"
"16","Enhydrobacter","week of life 10",282,2.5,0.001,61,23,0.115,3.49113859958099e-07,2.60492649353351e-06,0.0710202431773781,0.141325308296408,38,"Malawi"
"17","Porphyromonas","week of life 10",282,4.6,0.001,61,27.9,0.008,4.49031274902333e-07,3.11114526182331e-06,0.0974060675394536,0.174439636940535,40,"Malawi"
"18","Sphingomonas","week of life 10",282,0,0,61,13.1,0.003,6.72885738482998e-07,4.35132777552338e-06,0.437532530881748,0.562124095441093,56,"Malawi"
"19","Senegalimassilia","week of life 10",282,14.5,0.204,61,44.3,0.275,1.28858952842435e-06,7.8120740160726e-06,0.00636321013227123,0.0219003356935919,26,"Malawi"
"20","Libanicoccus","week of life 10",282,5.3,0.17,61,27.9,1.236,1.5993155013609e-06,9.12550609600041e-06,0.198757658466328,0.318411892081644,18,"Malawi"
"21","Luteimonas","week of life 10",282,0,0,61,11.5,0.005,4.1868445950053e-06,2.13749434587113e-05,0.554170780873265,0.674643697736816,67,"Malawi"
"22","Pseudoglutamicibacter","week of life 10",282,0,0,61,11.5,0.004,4.1868445950053e-06,2.13749434587113e-05,0.548874431030781,0.678212149867434,78,"Malawi"
"23","Prevotella_2","week of life 10",282,1.8,0.005,61,18,0.567,5.26173624541895e-06,2.55194207902819e-05,0.458897512442556,0.591434930747038,43,"Malawi"
"24","Salmonella","week of life 10",282,20.2,0.27,61,0,0,6.0075040929964e-06,2.77489474771738e-05,0.000452000184131371,0.00213863996253332,44,"India"
"25","Streptococcus","week of life 10",282,100,11.229,61,100,7.006,1,1,3.20148826984852e-06,3.65020277387222e-05,9,"India"
"26","Dolosigranulum","week of life 10",282,54.3,0.018,61,24.6,0.006,3.17855672817988e-05,0.000123328001053379,7.29860580944481e-06,7.42920959618315e-05,16,"India"
"27","Helcobacillus","week of life 10",282,0,0,61,9.8,0.001,2.56539387003052e-05,0.000108192697996939,0.555487023015991,0.679263377038619,83,"Malawi"
"28","Paracoccus","week of life 10",282,2.5,0,61,18,0.002,2.84031714173423e-05,0.000114796151145092,0.455370411122358,0.583090494050924,64,"Malawi"
"29","Negativicoccus","week of life 10",282,16,0.018,61,41,0.106,3.85046389993635e-05,0.000143651922420702,0.00463345462637766,0.0177621629838518,21,"Malawi"
"30","Collinsella","week of life 10",282,28.7,2.126,61,57.4,1.334,4.07930392801784e-05,0.000146552770747308,0.0137616024993481,0.0446966753993914,20,"India"
"31","Brachybacterium","week of life 10",282,1.1,0.001,61,13.1,0.005,7.04439935449308e-05,0.000228714464287663,0.513813724316172,0.649771219701834,52,"Malawi"
"32","Enterobacter","week of life 10",282,36.5,0.506,61,11.5,0.016,7.07364322539164e-05,0.000228714464287663,0.000141461194318658,0.000977571797025229,30,"India"
"33","Prevotella_6","week of life 10",282,1.1,0,61,13.1,0.018,7.04439935449308e-05,0.000228714464287663,0.50263351850295,0.62707416638737,58,"Malawi"
"34","Aerococcus","week of life 10",282,0,0,61,8.2,0.001,0.000154839844298271,0.000455135299907039,0.478510409376752,0.609659790521805,57,"Malawi"
"35","Sphingobium","week of life 10",282,0,0,61,8.2,0.007,0.000154839844298271,0.000455135299907039,0.428832761870866,0.560547644883534,89,"Malawi"
"36","unassigned_Sphingobacteriaceae","week of life 10",282,0,0,61,8.2,0.009,0.000154839844298271,0.000455135299907039,0.477132798403685,0.601436784079788,95,"Malawi"
"37","Catenibacterium","week of life 10",282,2.8,0.003,61,16.4,0.027,0.000217294223491007,0.000619927637606697,0.421754928974398,0.542852469229924,53,"Malawi"
"38","Sutterella","week of life 10",282,15.6,0.127,61,37.7,0.383,0.000259046646307862,0.00071792927691036,0.0710510508653076,0.143196036603574,35,"Malawi"
