"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Streptococcus","week of life 6",289,100,9.941,53,96.2,2.169,0.023631904786404,0.0551411111682759,1.8073441501539e-15,1.51816908612928e-13,1,"India"
"2","Bifidobacterium","week of life 6",289,100,45.542,53,88.7,14.54,1.07957050242837e-05,0.000113354902754979,4.05288277103716e-12,1.70221076383561e-10,2,"India"
"3","Corynebacterium_1","week of life 6",289,68.2,0.021,53,18.9,0.003,2.52492929072244e-11,2.12094060420685e-09,4.82463886242052e-08,8.78255203510699e-07,7,"India"
"4","Staphylococcus","week of life 6",289,95.2,0.774,53,64.2,0.306,3.13432578951132e-09,9.18840208975346e-08,3.77099930164215e-09,8.98928895920858e-08,3,"India"
"5","Dolosigranulum","week of life 6",289,45.7,0.013,53,5.7,0.001,3.28157217491195e-09,9.18840208975346e-08,4.38151402694238e-07,6.48251281547253e-06,10,"India"
"6","Klebsiella","week of life 6",289,88.6,4.663,53,58.5,3.919,8.29412709601547e-07,1.74176669016325e-05,0.00498386931744799,0.0295378996008895,6,"India"
"7","unassigned_Erysipelotrichaceae","week of life 6",289,2.4,0.013,53,22.6,0.109,1.29595910673712e-06,2.17721129931836e-05,0.220684860260392,0.364291837154947,23,"UK"
"8","Parabacteroides","week of life 6",289,14.5,0.739,53,45.3,3.642,1.73956793493249e-06,2.43539510890549e-05,0.00122290277982358,0.00789468753552004,13,"UK"
"9","Alistipes","week of life 6",289,2.1,0.047,53,20.8,0.217,2.80758396518497e-06,3.36910075822196e-05,0.198780005520809,0.337658144426825,40,"UK"
"10","Bilophila","week of life 6",289,2.1,0.002,53,18.9,0.121,1.38966240519518e-05,0.000129701824484884,0.232604414181089,0.362115502624319,45,"UK"
"11","Haemophilus","week of life 6",289,31.5,0.042,53,56.6,1.105,0.000878104897365312,0.00388214796729927,1.75783523250868e-05,0.000204693695921128,5,"UK"
"12","Phascolarctobacterium","week of life 6",289,1.7,0.004,53,17,0.811,2.96463203621444e-05,0.000227091020979635,0.27948261941981,0.429642640500178,49,"UK"
"13","Ruminiclostridium_5","week of life 6",289,2.4,0.001,53,18.9,0.046,2.97381098901903e-05,0.000227091020979635,0.27897521598732,0.418500275556934,44,"UK"
"14","Intestinibacter","week of life 6",289,2.1,0.002,53,17,0.004,6.52464403628325e-05,0.000456725082539828,0.161314974663829,0.27816951193223,29,"UK"
"15","Bacteroides","week of life 6",289,33.2,2.64,53,62.3,17.03,9.52686718796125e-05,0.000615582187529804,7.19251676405315e-05,0.000720799089468706,4,"UK"
"16","Barnesiella","week of life 6",289,0.7,0.011,53,11.3,0.254,0.000234148828902758,0.00140489297341655,0.495285906654823,0.631960513622538,56,"UK"
"17","Scardovia","week of life 6",289,1.4,0,53,13.2,0.005,0.000298551325177565,0.00167188742099436,0.514276038857703,0.650917848260964,21,"UK"
"18","Citrobacter","week of life 6",289,11.1,0.026,53,32.1,2.597,0.000363096535161215,0.00190625680959638,0.0740299575565997,0.170569448402782,17,"UK"
"19","Actinomyces","week of life 6",289,30.1,0.067,53,56.6,0.068,0.000429876844708028,0.00212409735032202,0.000762802116073442,0.00552591477247187,11,"UK"
"20","Coprobacter","week of life 6",289,0,0,53,7.5,0.04,0.000522829751911591,0.00243987217558743,0.533200802772607,0.674507582239574,77,"UK"
"21","Lactobacillus","week of life 6",289,69.2,3.719,53,50.9,1.863,0.0116041120395054,0.0304607941037018,0.000795098553758137,0.00642688603137251,9,"India"
"22","Raoultella","week of life 6",289,5.2,0.005,53,18.9,0.662,0.00180454554983766,0.00757909130931818,0.342780315594903,0.490351416373429,26,"UK"
"23","Lelliottia","week of life 6",289,0.3,0,53,7.5,0.56,0.00231096937679266,0.00924387750717062,0.54499344701844,0.685166684718481,76,"UK"
"24","Eggerthella","week of life 6",289,11.4,0.065,53,28.3,0.059,0.00242805713975705,0.00927076362452691,0.101274497525001,0.209866571468909,32,"India"
"25","Romboutsia","week of life 6",289,0,0,53,5.7,0.036,0.00354478571796059,0.0124067500128621,0.533003208813189,0.663837191386604,82,"UK"
"26","Terrisporobacter","week of life 6",289,0,0,53,5.7,0.002,0.00354478571796059,0.0124067500128621,0.503508496588313,0.642372247208455,81,"UK"
"27","Campylobacter","week of life 6",289,3.8,0.02,53,15.1,0.002,0.00382971298785078,0.0128678356391786,0.527612136031044,0.666594423998859,34,"India"
"28","Clostridium_sensu_stricto_1","week of life 6",289,31.5,0.557,53,52.8,2.313,0.00438186342315958,0.0141567895209771,0.0171100086714101,0.0694055958658639,12,"UK"
"29","Erysipelatoclostridium","week of life 6",289,8,0.05,53,22.6,0.205,0.00483880457806469,0.0150540586873124,0.467628673113879,0.615149929516911,41,"UK"
"30","Fusicatenibacter","week of life 6",289,0.7,0,53,7.5,0.046,0.0061313270323249,0.0177597058867342,0.52963114209333,0.670236739992279,68,"UK"
"31","Odoribacter","week of life 6",289,0.7,0.009,53,7.5,0.039,0.0061313270323249,0.0177597058867342,0.577845872620113,0.703135220069525,73,"UK"
"32","UBA1819","week of life 6",289,2.4,0.033,53,11.3,0.719,0.00758695477586231,0.0212434733724145,0.522117174949471,0.664956526109214,52,"UK"
"33","Fusobacterium","week of life 6",289,4.5,0.002,53,15.1,0.012,0.0079725555164275,0.0216030536574164,0.462232144367357,0.606906836200857,31,"UK"
"34","Oscillibacter","week of life 6",289,0.3,0,53,5.7,0.027,0.0126106536161076,0.0320998455682739,0.481908294746292,0.62423684878459,80,"UK"
