"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Prevotella_2","mother",83,81.9,2.484,57,0,0,1.99701663088247e-25,4.33352608901496e-23,3.52460485170721e-15,6.37361492339156e-14,3,"Malawi"
"2","Succinivibrio","mother",83,78.3,6.72,57,0,0,1.85952613685297e-23,2.01758585848547e-21,5.25729812720068e-13,6.15462229985102e-12,1,"Malawi"
"3","Butyrivibrio","mother",83,75.9,0.384,57,1.8,0.038,1.5653053568516e-20,6.79342524873595e-19,6.78770919163955e-12,6.62775652166219e-11,13,"Malawi"
"4","Solobacterium","mother",83,75.9,0.07,57,1.8,0.001,1.5653053568516e-20,6.79342524873595e-19,2.42997197791129e-11,1.8904036688319e-10,7,"Malawi"
"5","unassigned_Muribaculaceae","mother",83,83.1,1.944,57,7,0.215,1.29824955446653e-20,6.79342524873595e-19,6.41682403401585e-13,7.63558695866596e-12,10,"Malawi"
"6","Fournierella","mother",83,84.3,0.156,57,8.8,0.013,3.6478678174911e-20,1.31931219399262e-18,9.7697866666122e-14,1.39943118387901e-12,8,"Malawi"
"7","DTU089","mother",83,4.8,0.001,57,77.2,0.051,5.23566439989759e-20,1.62305596396825e-18,5.02513109717172e-17,1.61992688030779e-15,9,"UK"
"8","unassigned_Prevotellaceae","mother",83,74.7,1.085,57,3.5,0.01,1.05281373224199e-18,2.8557572487064e-17,6.12496908225491e-12,5.62319812186e-11,15,"Malawi"
"9","Prevotella_9","mother",83,94,24.678,57,24.6,1.821,2.61486432498914e-18,6.30472842802938e-17,2.57944892447587e-15,5.7289273107826e-14,2,"Malawi"
"10","UBA1819","mother",83,18.1,0.015,57,89.5,0.208,9.31254607837408e-18,2.02082249900718e-16,1.6010958222519e-18,1.28474871446296e-16,4,"UK"
"11","Alistipes","mother",83,81.9,0.38,57,94.7,4.604,0.0378198091806577,0.0617060044526521,2.35231152756335e-18,1.94843769025264e-16,6,"UK"
"12","Slackia","mother",83,88,0.164,57,17.5,0.07,1.3121813065422e-17,2.58857585017871e-16,5.50425916237923e-09,3.35835514247615e-08,12,"Malawi"
"13","Bacteroides","mother",83,100,2.914,57,98.2,23.5,0.407142857142857,0.469946808510638,1.74483775888644e-17,8.52869092722189e-16,5,"UK"
"14","Ruminiclostridium_5","mother",83,59,0.01,57,91.2,0.33,1.91192347444344e-05,6.10128520520921e-05,5.19635230922513e-17,2.08546952813106e-15,14,"UK"
"15","Negativibacillus","mother",83,2.4,0,57,63.2,0.13,2.74834038129071e-16,4.96991552283403e-15,2.31906808256429e-11,1.64159316849645e-10,22,"UK"
"16","Alloprevotella","mother",83,71.1,2.03,57,5.3,0.816,3.86865039940709e-16,6.45767028208722e-15,2.5882753185736e-09,1.59226483381559e-08,23,"Malawi"
"17","Lachnospiraceae_NK4B4_group","mother",83,63.9,0.105,57,1.8,0,9.31669003192753e-16,1.44408695494877e-14,8.5718456594122e-09,4.78977516910608e-08,19,"Malawi"
"18","Parabacteroides","mother",83,96.4,0.707,57,100,5.39,0.270657759506681,0.331823354875422,5.28811291735844e-16,1.5127909720484e-14,11,"UK"
"19","Bifidobacterium","mother",83,55.4,0.944,57,94.7,0.997,1.17277987943321e-07,5.19373946606135e-07,5.6540241361791e-16,1.55711776938318e-14,16,"UK"
"20","Anaerotruncus","mother",83,2.4,0,57,59.6,0.03,5.2254476068422e-15,7.55948087123172e-14,2.4213238568752e-10,1.59518754859002e-09,29,"UK"
"21","Senegalimassilia","mother",83,86.7,0.186,57,22.8,0.035,1.12691449342542e-14,1.52837778170822e-13,4.44444168403592e-09,2.76204701123428e-08,18,"Malawi"
"22","Flavonifractor","mother",83,63.9,0.015,57,91.2,0.261,0.000267680699772641,0.000660076271030262,1.36017653359047e-14,2.42348837447006e-13,24,"UK"
"23","Marvinbryantia","mother",83,88,0.054,57,29.8,0.004,1.24957842594569e-12,1.59505010841302e-11,1.34487225022149e-12,1.52179418154207e-11,17,"Malawi"
"24","Erysipelotrichaceae_UCG-006","mother",83,49.4,0.027,57,0,0,2.09567254948546e-12,2.52644968465747e-11,0.000153314510587888,0.000434692150293924,56,"Malawi"
"25","Lachnospiraceae_AC2044_group","mother",83,88,0.405,57,31.6,0.032,9.01316163595647e-12,1.02939793421187e-10,3.30603376492691e-11,2.95543004373685e-10,25,"Malawi"
"26","Coprobacter","mother",83,8.4,0.002,57,61.4,0.125,1.59073160964219e-11,1.72594379646178e-10,3.20632213166393e-11,2.58194071721041e-10,26,"UK"
"27","Mitsuokella","mother",83,54.2,0.937,57,3.5,0.173,2.79744882121895e-11,2.89069711525959e-10,8.53972444497499e-05,0.000255594555531125,38,"Malawi"
"28","Subdoligranulum","mother",83,96.4,1.114,57,94.7,3.106,0.687387797679045,0.749563578373632,5.19259653629752e-11,4.66333195343106e-10,36,"UK"
