"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Acinetobacter","week of life 6",289,20.4,0.024,68,69.1,1.328,4.40718108112872e-14,4.27496564869486e-12,5.57463803822752e-10,3.5362318257002e-08,1,"Malawi"
"2","Enhydrobacter","week of life 6",289,2.8,0,68,33.8,0.024,2.14626322049381e-12,1.0409376619395e-10,0.0186796203746863,0.0588250959674259,10,"Malawi"
"3","Micrococcus","week of life 6",289,0,0,68,20.6,0.009,2.54630101005396e-11,8.2330399325078e-10,0.457101123307691,0.599457253990292,21,"Malawi"
"4","Dialister","week of life 6",289,9.7,0.093,68,42.6,0.659,1.56642813485073e-09,3.79858822701303e-08,0.00175846432576976,0.0103627623953228,12,"Malawi"
"5","Bifidobacterium","week of life 6",289,100,45.581,68,97.1,29.232,0.0358480470840022,0.0610045713534774,2.08002133505253e-09,1.01748347226834e-07,2,"India"
"6","Brachybacterium","week of life 6",289,0.3,0,68,17.6,0.013,1.08438692807127e-08,2.10371064045826e-07,0.369788444621213,0.518679888204286,32,"Malawi"
"7","Brevundimonas","week of life 6",289,0,0,68,14.7,0.003,3.56319251842624e-08,5.4790409761666e-07,0.386138600027552,0.529141862578445,51,"Malawi"
"8","Senegalimassilia","week of life 6",289,15.6,0.142,68,48.5,0.245,3.9539470962027e-08,5.4790409761666e-07,0.00330306533769591,0.0173099627596035,6,"Malawi"
"9","Enterococcus","week of life 6",289,71.3,1.78,68,44.1,0.469,5.10255860660343e-05,0.000176767208871619,2.74542163634288e-07,8.54307899092896e-06,4,"India"
"10","Chryseobacterium","week of life 6",289,1,0.001,68,16.2,0.019,1.32563936925183e-06,1.16897289834025e-05,0.362492697100742,0.500632657739948,44,"Malawi"
"11","Gardnerella","week of life 6",289,0,0,68,11.8,0.002,1.22247699928786e-06,1.16897289834025e-05,0.509237935119781,0.653894791185809,43,"Malawi"
"12","Luteimonas","week of life 6",289,0,0,68,11.8,0.004,1.22247699928786e-06,1.16897289834025e-05,0.534876777578027,0.675401369706319,71,"Malawi"
"13","Parabacteroides","week of life 6",289,14.5,0.748,68,42.6,1.868,1.10999389137793e-06,1.16897289834025e-05,0.0112234834069023,0.0430055366869083,14,"Malawi"
"14","Sutterella","week of life 6",289,13.8,0.075,68,41.2,0.473,1.60104355157155e-06,1.29417687085367e-05,0.00896818095142942,0.0377928503602537,11,"Malawi"
"15","Collinsella","week of life 6",289,30.1,2.124,68,61.8,1.152,2.31233983426368e-06,1.72536126095059e-05,0.00876112640032611,0.0391218674917644,15,"India"
"16","Phascolarctobacterium","week of life 6",289,1.7,0.004,68,17.6,0.197,2.68903025983924e-06,1.86311382288861e-05,0.50028893332135,0.630179048880041,52,"Malawi"
"17","Mitsuokella","week of life 6",289,1,0,68,14.7,0.121,6.21171820674462e-06,4.01691110702819e-05,0.48641197758483,0.629537979374674,59,"Malawi"
"18","Bacteroides","week of life 6",289,33.2,2.636,68,63.2,8.724,7.61565576213501e-06,4.34540358192409e-05,8.96985770595435e-05,0.00110953513586238,7,"Malawi"
"19","Prevotella_9","week of life 6",289,8.7,0.503,68,30.9,4.122,7.41828879950079e-06,4.34540358192409e-05,0.161527841123263,0.291579168643627,19,"Malawi"
"20","Brevibacterium","week of life 6",289,0.3,0,68,11.8,0.005,9.32094926964183e-06,5.02295599530699e-05,0.408433036079876,0.556846140140938,64,"Malawi"
