"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Acinetobacter","week of life 4",75,66.7,2.446,59,10.2,0.029,1.4604783298154e-11,1.84020269556741e-09,3.36246584584654e-07,2.72758398627586e-05,2,"Malawi"
"2","Corynebacterium_1","week of life 4",75,81.3,0.106,59,28.8,0.005,8.38684206842948e-10,3.52247366874038e-08,6.53842661909103e-06,0.000293279548772092,1,"Malawi"
"3","Senegalimassilia","week of life 4",75,49.3,0.25,59,3.4,0.009,7.03430374257909e-10,3.52247366874038e-08,0.000290789648995355,0.00423983368880125,3,"Malawi"
"4","Prevotella_9","week of life 4",75,46.7,5.013,59,3.4,0.15,4.06358749730957e-09,1.28003006165251e-07,0.000646070901559667,0.00795307392594993,5,"Malawi"
"5","Collinsella","week of life 4",75,66.7,2.135,59,22,1.314,2.9303641447429e-07,7.3845176447521e-06,0.000871824906776122,0.0111734791437982,4,"Malawi"
"6","Faecalibacterium","week of life 4",75,25.3,0.25,59,0,0,6.01340910189191e-06,0.000108241363834054,0.120438658505131,0.284536753837033,19,"Malawi"
"7","Micrococcus","week of life 4",75,25.3,0.008,59,0,0,6.01340910189191e-06,0.000108241363834054,0.0723779330713328,0.206351395072797,25,"Malawi"
"8","Enhydrobacter","week of life 4",75,29.3,0.043,59,1.7,0,1.18989987818414e-05,0.000187409230814002,0.0552437096472623,0.174363516929777,18,"Malawi"
"9","Dialister","week of life 4",75,44,0.239,59,10.2,0.033,1.72478185874561e-05,0.000241469460224385,0.00345150977293826,0.0240169821790211,6,"Malawi"
"10","Succinivibrio","week of life 4",75,22.7,0.109,59,0,0,2.70513801870033e-05,0.000340847390356242,0.229875226221894,0.415005266943249,34,"Malawi"
"11","Dolosigranulum","week of life 4",75,30.7,0.025,59,5.1,0,0.000143571241585939,0.00164454331271167,0.0824790883668018,0.228096596330955,15,"Malawi"
"12","Enterococcus","week of life 4",75,36,0.207,59,62.7,0.686,0.00297246020097612,0.0162839124053475,0.000101590500671151,0.00230857263017058,10,"UK"
"13","Eggerthella","week of life 4",75,4,0.003,59,27.1,0.034,0.000252753411818207,0.00248878249823483,0.00561483882846963,0.0330428362600696,26,"UK"
"14","Olsenella","week of life 4",75,18.7,0.204,59,0,0,0.000256779146643276,0.00248878249823483,0.396463317578206,0.59529013455777,31,"Malawi"
"15","Sutterella","week of life 4",75,44,1.563,59,15.3,0.381,0.000365143688674901,0.00328629319807411,0.0301528804695961,0.122230162766241,16,"Malawi"
"16","Holdemanella","week of life 4",75,21.3,0.249,59,1.7,0.025,0.000462911902629529,0.00388845998208804,0.225562118951627,0.412883832968806,30,"Malawi"
"17","Libanicoccus","week of life 4",75,17.3,1.06,59,0,0,0.000542766753768465,0.00402285946910745,0.459858578664916,0.654507280949443,33,"Malawi"
"18","unassigned_Erysipelotrichaceae","week of life 4",75,1.3,0.004,59,18.6,0.144,0.00052476803614949,0.00402285946910745,0.0325105081037351,0.107667042461062,52,"UK"
"19","Slackia","week of life 4",75,20,0.049,59,1.7,0.003,0.000900372052463446,0.00630260436724412,0.448607846819453,0.639743274097156,41,"Malawi"
"20","Catenibacterium","week of life 4",75,16,0.103,59,0,0,0.00114480706388535,0.00759187842366073,0.500756655071283,0.683410214016945,48,"Malawi"
"21","Chryseobacterium","week of life 4",75,18.7,0.177,59,1.7,0,0.00174211350184269,0.010975315061609,0.448768051646227,0.640984658205181,42,"Malawi"
"22","Brachybacterium","week of life 4",75,13.3,0.004,59,0,0,0.00244557948032846,0.014006500660063,0.410591080775162,0.606717798287648,75,"Malawi"
"23","Sphingomonas","week of life 4",75,13.3,0.01,59,0,0,0.00244557948032846,0.014006500660063,0.541462459987206,0.725550423517901,103,"Malawi"
"24","Kocuria","week of life 4",75,12,0.004,59,0,0,0.00473620463744303,0.0238704713727129,0.527985568933617,0.710707765001197,78,"Malawi"
"25","Solobacterium","week of life 4",75,12,0.048,59,0,0,0.00473620463744303,0.0238704713727129,0.521722139974293,0.709631527080557,82,"Malawi"
"26","Intestinibacter","week of life 4",75,0,0,59,10.2,0.003,0.00627718037650445,0.0304201818245985,0.0911107352575485,0.214699033911465,94,"UK"
"27","Pseudoclavibacter","week of life 4",75,10.7,0.01,59,0,0,0.00916103364062396,0.0412246513828078,0.583676910280282,0.758520733139998,60,"Malawi"
"28","Sphingobium","week of life 4",75,10.7,0.018,59,0,0,0.00916103364062396,0.0412246513828078,0.539309492697189,0.729609153214218,113,"Malawi"
"29","Prevotella","week of life 4",75,36,0.036,59,15.3,0.009,0.0102032554056729,0.0443313855556824,0.049812306789345,0.170962322064312,20,"Malawi"
"30","Brevibacterium","week of life 4",75,14.7,0.018,59,1.7,0,0.0121420782691957,0.044997113585843,0.535922269153552,0.716485884317213,53,"Malawi"
"31","Brevundimonas","week of life 4",75,14.7,0.003,59,1.7,0,0.0121420782691957,0.044997113585843,0.436939626788688,0.628897838616428,68,"Malawi"
"32","Ruminiclostridium_5","week of life 4",75,2.7,0.001,59,15.3,0.049,0.0108891705144238,0.044997113585843,0.0560464087331826,0.160298952575344,58,"UK"
"33","Staphylococcus","week of life 4",75,93.3,1.52,59,78,1.237,0.0115015205384492,0.044997113585843,0.09676970826119,0.309365422265988,7,"Malawi"
"34","Stenotrophomonas","week of life 4",75,14.7,0.042,59,1.7,0,0.0121420782691957,0.044997113585843,0.575437865675656,0.748695189472102,79,"Malawi"
