"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Lachnospiraceae_NK4B4_group","mother",288,0.7,0,83,63.9,0.105,5.9964516521603e-40,1.2832406535623e-37,4.01311467531187e-17,3.96737771295915e-16,9,"Malawi"
"2","Bifidobacterium","mother",288,99.7,10.202,83,55.4,0.933,1.29562280099167e-26,6.93158198530542e-25,2.8693281406568e-36,6.14036222100555e-34,1,"India"
"3","Lactobacillus","mother",288,90.3,2.701,83,32.5,0.088,4.35867029318455e-25,1.86551088548299e-23,1.68694633162166e-28,1.80503257483518e-26,3,"India"
"4","unassigned_Rhodospirillales","mother",288,2.8,0.001,83,55.4,0.217,1.3576070318269e-27,1.45263952405478e-25,1.67764462977797e-10,7.43268571556526e-10,22,"Malawi"
"5","Anaerosporobacter","mother",288,2.8,0.001,83,54.2,0.023,9.68878820070498e-27,6.91133558316955e-25,3.80724631283146e-09,1.42711835513796e-08,24,"Malawi"
"6","Olsenella","mother",288,85.1,1.469,83,49.4,0.026,1.50832625807597e-10,1.3449242467844e-09,2.30296846384069e-25,1.32156402785077e-23,2,"India"
"7","Collinsella","mother",288,96.2,5.509,83,97.6,0.879,0.740856601643399,0.791393877969191,2.59209126043444e-25,1.49993320611702e-23,4,"India"
"8","Ruminococcaceae_UCG-003","mother",288,72.9,0.097,83,95.2,0.407,3.82877545443776e-06,1.43747008289418e-05,2.69689723091468e-23,1.0089921447846e-21,18,"Malawi"
"9","Anaeroplasma","mother",288,5.2,0.002,83,55.4,0.037,3.9087850793052e-23,1.39413334495219e-21,5.40239824636708e-11,2.48521873383254e-10,26,"Malawi"
"10","Lachnospiraceae_UCG-003","mother",288,5.9,0.001,83,56.6,0.07,7.14588727468563e-23,2.18459982397532e-21,5.5926355565368e-11,2.61401614433316e-10,34,"Malawi"
"11","Lachnospiraceae_AC2044_group","mother",288,40.6,0.046,83,88,0.405,2.63218437766155e-15,4.02348183442551e-14,4.98450116009275e-22,1.45439773463669e-20,12,"Malawi"
"12","Phascolarctobacterium","mother",288,41,0.314,83,90.4,2.194,7.09732065651751e-17,1.51882662049475e-15,1.00183038361302e-21,2.73405031640344e-20,5,"Malawi"
"13","Weissella","mother",288,78.5,0.174,83,21.7,0.006,4.37114362797484e-21,1.16928092048327e-19,2.07153457503042e-20,3.89251762146482e-19,13,"India"
"14","Ruminococcaceae_UCG-005","mother",288,86.8,0.539,83,94,1.684,0.0809290551040308,0.108923382341274,3.94406531977382e-20,8.40904769466688e-19,21,"Malawi"
