"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Weissella","mother",288,78.5,0.174,57,1.8,0,5.75158609668446e-30,1.23083942469048e-27,5.59644793821839e-19,1.10536767877466e-17,7,"India"
"2","Negativibacillus","mother",288,1.7,0,57,63.2,0.13,1.21580128355028e-28,1.3009073733988e-26,4.25132697277861e-14,3.0146054048168e-13,21,"UK"
"3","Klebsiella","mother",288,83.3,1.409,57,8.8,0.143,8.07692306425258e-28,5.76153845250017e-26,7.07431812256311e-17,9.63982157769725e-16,6,"India"
"4","Olsenella","mother",288,85.1,1.469,57,12.3,0.021,9.14487172459007e-27,4.89250637265569e-25,6.66026333939643e-22,2.22812869047401e-20,9,"India"
"5","Alistipes","mother",288,72.6,0.292,57,94.7,4.605,0.000127959049034517,0.000342290456167334,9.30710454785903e-27,1.99172037324183e-24,4,"UK"
"6","DTU089","mother",288,9.4,0.004,57,77.2,0.051,2.1520866272088e-25,9.21093076445365e-24,5.44762623341796e-20,1.26183053484769e-18,16,"UK"
"7","Senegalimassilia","mother",288,90.3,0.674,57,22.8,0.035,5.27796946306932e-25,1.88247577516139e-23,2.64201228387362e-22,9.72870512476499e-21,2,"India"
"8","Parabacteroides","mother",288,85.1,0.335,57,100,5.028,0.000323853398648966,0.000853240465243051,3.77792087546826e-25,3.04338295379124e-23,3,"UK"
"9","Bacteroides","mother",288,94.4,2.693,57,98.2,23.5,0.325776088807787,0.393876175168736,4.00006821708194e-25,3.13841919717072e-23,1,"UK"
"10","Prevotella_9","mother",288,90.6,7.742,57,24.6,1.821,2.62786189377951e-24,8.03374921812593e-23,4.10353593156169e-14,3.7442087685728e-13,17,"India"
"11","Anaerotruncus","mother",288,4.2,0.001,57,59.6,0.03,6.82689045537923e-22,1.82619319681394e-20,3.10397808135023e-11,1.54869526169988e-10,36,"UK"
"12","Oscillibacter","mother",288,60.4,0.043,57,93,0.36,4.46478254346881e-07,1.70618475768272e-06,8.39327205902433e-22,2.72054002952513e-20,20,"UK"
"13","Prevotella_2","mother",288,61.5,0.788,57,0,0,4.25840875680406e-21,1.0125549710623e-19,4.64637765515349e-13,3.03780015367998e-12,18,"India"
"14","Slackia","mother",288,82.3,0.312,57,17.5,0.07,5.73581450566798e-21,1.22746430421295e-19,1.46100744890197e-13,1.10004998259735e-12,15,"India"
"15","Coprobacter","mother",288,5.6,0.002,57,61.4,0.125,7.16715934420941e-21,1.39433827241892e-19,7.09502698760085e-13,3.92860404693818e-12,35,"UK"
"16","Megasphaera","mother",288,66.3,4.549,57,3.5,0.667,2.43970850140717e-20,4.35081349417611e-19,4.81216731061268e-12,2.77728191789843e-11,27,"India"
"17","Libanicoccus","mother",288,62.8,0.778,57,1.8,0.001,5.09042861337609e-20,8.37962864048063e-19,1.80115521527102e-12,1.09125369347336e-11,26,"India"
"18","Catenibacterium","mother",288,80.6,1.064,57,17.5,0.018,1.07327898061282e-19,1.64058358465103e-18,7.37606185951031e-18,1.21859990576266e-16,8,"India"
"19","Oscillospira","mother",288,2.1,0.001,57,47.4,0.039,8.13791702045402e-19,1.16100949491811e-17,1.63254642483914e-10,7.87515343140346e-10,49,"UK"
"20","Alloprevotella","mother",288,65.6,1.401,57,5.3,0.816,1.34028952992948e-18,1.79263724628069e-17,5.41992694571308e-11,2.66426656015645e-10,24,"India"
"21","unassigned_Muribaculaceae","mother",288,66.3,0.6,57,7,0.215,1.01504134134903e-17,1.27775792381583e-16,4.51195485097537e-11,2.38194051428442e-10,25,"India"
"22","Ruminiclostridium_9","mother",288,66,0.023,57,86,0.188,0.0025932434242773,0.00560559689692265,1.96440660030856e-17,3.01310487171905e-16,32,"UK"
"23","Flavonifractor","mother",288,48.6,0.032,57,91.2,0.261,4.187347755014e-10,2.48914560992499e-09,2.17174336875448e-17,3.21494355690968e-16,30,"UK"
"24","Lactobacillus","mother",288,90.3,2.701,57,36.8,0.256,3.45419576294925e-17,4.10665496261744e-16,4.96546075621658e-15,5.33639782521045e-14,14,"India"
"25","Marvinbryantia","mother",288,83.7,0.065,57,29.8,0.004,2.13259810105752e-15,2.17321901726814e-14,3.04752812907902e-17,4.57826643714638e-16,10,"India"
"26","Odoribacter","mother",288,51.4,0.033,57,82.5,0.284,9.04222961209456e-06,2.84564284851211e-05,3.27479639788002e-17,4.72719396946909e-16,22,"UK"
"27","Mitsuokella","mother",288,59.4,0.62,57,3.5,0.173,8.04957290236256e-17,8.61304300552794e-16,6.22443256858375e-10,2.79480604491732e-09,31,"India"
"28","UC5-1-2E3","mother",288,0,0,57,33.3,0.012,7.76020990228789e-17,8.61304300552794e-16,3.51336030760311e-06,9.47937261339475e-06,128,"UK"
"29","Ruminiclostridium_5","mother",288,77.4,0.05,57,91.2,0.33,0.018389494819245,0.0312329515184002,2.03825792572065e-15,2.34250537054022e-14,43,"UK"
"30","Succinivibrio","mother",288,49,1.316,57,0,0,3.84056397475548e-15,3.73582132089851e-14,1.33147837375656e-07,4.23234745406759e-07,58,"India"
"31","UBA1819","mother",288,67.4,0.072,57,89.5,0.208,0.00065330610932825,0.0016835465650207,1.57637196320356e-14,1.50913358540358e-13,33,"UK"
"32","Parasutterella","mother",288,19.1,0.028,57,71.9,2.01,1.96854749021803e-14,1.83160505611591e-13,1.32687926271192e-12,8.42567240596198e-12,19,"UK"
"33","Eisenbergiella","mother",288,4.2,0.002,57,43.9,0.055,7.26210152063435e-14,6.36872592683918e-13,1.7754692300481e-08,6.50751564570512e-08,66,"UK"
"34","unassigned_Prevotellaceae","mother",288,52.8,0.328,57,3.5,0.01,7.44010038182147e-14,6.36872592683918e-13,4.19254944702674e-08,1.54480417524031e-07,41,"India"
"35","unassigned_Barnesiellaceae","mother",288,0.7,0,57,31.6,0.056,9.72361625164315e-14,8.00328414558321e-13,9.42348956579238e-05,0.000209724605007383,103,"UK"
"36","Asteroleplasma","mother",288,44.8,0.161,57,0,0,1.27228720524572e-13,1.00840541452809e-12,4.63541253813245e-06,1.19497404066541e-05,60,"India"
"37","Lachnoclostridium","mother",288,87.5,0.203,57,96.5,0.875,0.0610877365127562,0.0914476916220572,6.22061632276685e-13,4.63816562490639e-12,44,"UK"
"38","Barnesiella","mother",288,32.6,0.089,57,71.9,1.745,7.457265667748e-08,3.19170970579614e-07,8.28244845660842e-13,5.22328790284841e-12,28,"UK"
"39","Holdemanella","mother",288,80.6,0.954,57,31.6,0.144,1.16652321659877e-12,8.91557029829058e-12,1.81793674458241e-10,9.08366790872888e-10,37,"India"
"40","Solobacterium","mother",288,46.2,0.096,57,1.8,0.001,1.26736633997438e-12,9.35228954325925e-12,1.56417371752134e-06,4.39709467249346e-06,52,"India"
"41","Collinsella","mother",288,96.2,5.509,57,75.4,0.681,2.73916539929214e-06,9.76968992414197e-06,1.69941180849488e-12,1.17590018362914e-11,13,"India"
"42","unassigned_Rhodospirillales","mother",288,2.8,0.001,57,36.8,0.297,1.78636223006225e-12,1.27427172411107e-11,4.98898489175557e-06,1.28129485227287e-05,91,"UK"
"43","Bilophila","mother",288,66.3,0.065,57,78.9,0.676,0.0632080932707617,0.0939342497218265,2.14223391116396e-12,1.39039313378307e-11,23,"UK"
"44","Bifidobacterium","mother",288,99.7,10.2,57,94.7,0.912,0.0152081054868864,0.0266765129032269,3.64635141806673e-12,2.34783380824064e-11,11,"India"
"45","Hydrogenoanaerobacterium","mother",288,2.4,0,57,35.1,0.013,3.57282929874718e-12,2.4664047417158e-11,4.291195378521e-05,9.72585232465598e-05,105,"UK"
"46","unassigned_Eggerthellaceae","mother",288,68.8,0.164,57,19.3,0.031,4.42458857765857e-12,2.95894361130917e-11,3.10863825545366e-08,1.21461864488303e-07,64,"India"
"47","Ruminococcaceae_UCG-008","mother",288,48.3,0.061,57,3.5,0.002,5.86654360054982e-12,3.80436463793231e-11,1.50699730926698e-07,4.99826236662309e-07,70,"India"
"48","Lachnospira","mother",288,79.9,0.247,57,87.7,1.203,0.196713708575629,0.259856380464102,1.39256847121702e-11,8.05819849337225e-11,65,"UK"
"49","Lachnospiraceae_UCG-010","mother",288,50,0.053,57,82.5,0.195,4.197396362432e-06,1.42578225644515e-05,2.19696080771624e-11,1.16429427515259e-10,61,"UK"
"50","Dorea","mother",288,94.8,1.101,57,87.7,0.181,0.0684510389614463,0.101024291984479,2.15147540237137e-11,1.20536752320368e-10,12,"India"
"51","Lachnospiraceae_FCS020_group","mother",288,83.3,0.051,57,42.1,0.007,5.41785493670979e-10,2.97287424732281e-09,5.38478988083681e-11,2.79913406917421e-10,29,"India"
"52","unassigned_Desulfovibrionaceae","mother",288,5.2,0.002,57,38.6,0.019,2.00643037198304e-10,1.26287088118932e-09,6.4608384715318e-06,1.51493417127472e-05,107,"UK"
"53","Hungatella","mother",288,8.7,0.009,57,45.6,0.063,2.60777270095818e-10,1.59446673715729e-09,1.66919073119935e-05,3.44486722851016e-05,56,"UK"
"54","Fournierella","mother",288,51,0.051,57,8.8,0.013,4.73598232811138e-10,2.73918977896172e-09,6.31972572435693e-06,1.71140081966914e-05,76,"India"
"55","Enterococcus","mother",288,60.4,2.373,57,15.8,0.747,4.88506891509301e-10,2.75106512586817e-09,1.09434390830125e-05,2.82599896618432e-05,42,"India"
"56","Defluviitaleaceae_UCG-011","mother",288,44.1,0.01,57,5.3,0.004,1.45993409892242e-09,7.81064742923494e-09,3.3456937328095e-05,7.8407574801709e-05,78,"India"
"57","Actinomyces","mother",288,53.8,0.021,57,12.3,0.002,2.13137074610289e-09,1.11247156016102e-08,0.000291141143157664,0.000642314028784313,34,"India"
"58","Blautia","mother",288,95.1,2.371,57,96.5,0.36,1,1,2.53968791826333e-09,1.17231280967352e-08,5,"India"
"59","Butyrivibrio","mother",288,36.8,0.267,57,1.8,0.038,3.09130527670002e-09,1.57509364098525e-08,0.000234205700980009,0.000507095356031689,115,"India"
"60","Enterorhabdus","mother",288,57.6,0.17,57,15.8,0.055,4.388445666796e-09,2.1840171458008e-08,1.89458099415782e-06,5.67337723979279e-06,73,"India"
