"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"118","Paraprevotella",0.0322287183491732,0.0613148522074671,"Paraprevotella","India (OPV)",67,201,33.3,0.1,0.2,"India (IPV)",35,87,40.2,0.1,0.2,0.284362462953418,0.987418018578752,-6.90000000000001,FALSE,120,0,"ns",-1.67588592176778,-1.03644699209276,-1.89694008774193,-0.440434246941695,7.19182981373882,-0.0550538253898719,0.475200000082871,0.490576422769874,0.967109639004667,0.475864050841335,0.965144229509551,0.057,0.062,-0.005,0.5,0.45,0.6
"119","Parasutterella",0.0256900032200795,0.0489806610291661,"Parasutterella","India (OPV)",39,201,19.4,0,0.2,"India (IPV)",16,87,18.4,0,0.1,1,1,1,TRUE,132,0,"ns",-3.04682537439331,-3.21644826494379,-2.97360475296154,0.127026198109234,6.40452770622085,0.0171722451189859,0.491901619703056,0.569981422050585,0.968232474381763,0.575537492394747,0.966655274309277,0.032,0.017,0.015,0.5,0.45,0.6
"120","Parvibacter",0.0206392208336463,0.0396290395109574,"Parvibacter","India (OPV)",23,201,11.4,0,0,"India (IPV)",13,87,14.9,0,0,0.439759635912809,0.987418018578752,-3.5,FALSE,147,0,"ns",-3.31868577334469,-3.15984539433105,-3.38289850403884,-0.307010360712256,5.55315768792996,-0.0500537772448953,0.473400000088918,0.500627390786983,0.961514848987573,0.512109537279249,0.960014736165405,0.004,0.007,-0.003,0.5,0.45,0.6
"121","Pediococcus",0.0225668607417337,0.0467638980568048,"Pediococcus","India (OPV)",26,201,12.9,0,0,"India (IPV)",10,87,11.5,0,0,0.847143382733271,1,1.4,TRUE,142,0,"ns",-3.36294056604911,-3.33737514741037,-3.37385371709628,-0.042832337310081,5.50922405495176,-0.00637318836224604,0.496300739864356,0.591864776456857,0.972189615175502,0.606946911493262,0.970697454158537,0.003,0.006,-0.003,0.5,0.45,0.6
"122","Peptococcus",0.0221428028541152,0.0470554601117643,"Peptococcus","India (OPV)",33,201,16.4,0.1,0.3,"India (IPV)",11,87,12.6,0.1,0.2,0.478512931985205,0.987418018578752,3.8,TRUE,143,0,"ns",-3.27128334054879,-3.62201837189993,-3.11860978413969,0.571904431538218,7.15436177367725,0.0759250524865928,0.456400000146447,0.36538460052034,0.955070641964502,0.344324366824768,0.949660430336542,0.084,0.062,0.022,0.5,0.45,0.6
"123","Peptoniphilus",0.0165315419686709,0.0366338494963735,"Peptoniphilus","India (OPV)",13,201,6.5,0,0,"India (IPV)",9,87,10.3,0,0,0.332940617885688,0.987418018578752,-3.8,FALSE,159,0,"ns",-3.6135334806248,-3.76375381379307,-3.54914166136444,0.175690162724697,5.19299304890966,0.0283863522135577,0.48560000004804,0.561746162066568,0.961720034744059,0.556093902194815,0.968491145803824,0.001,0.001,0,0.5,0.45,0.6
"124","Peptostreptococcus",0.0227444635119104,0.0457295921040591,"Peptostreptococcus","India (OPV)",30,201,14.9,0,0,"India (IPV)",15,87,17.2,0,0,0.601121121612192,0.987418018578752,-2.3,FALSE,141,0,"ns",-3.04097586001291,-2.91985168119781,-3.08927442123988,-0.0955369280859362,5.38558626535746,-0.0161668249871021,0.491901619703056,0.596509067686578,0.970792483918686,0.636115569132859,0.974392134351675,0.003,0.001,0.002,0.5,0.45,0.6
"125","Phascolarctobacterium",0.112769398745685,0.213770499852712,"Phascolarctobacterium","India (OPV)",75,201,37.3,0.2,1,"India (IPV)",43,87,49.4,0.5,1.6,0.0675969636317885,0.89091682024406,-12.1,FALSE,10,1,"ns",-0.820796659994424,0.227891047237748,-1.28963131409867,-1.22718591241971,7.85129572540632,-0.146330083151378,0.434513097602534,0.0657746810505192,0.853217411913848,0.0663210765695037,0.888590689936543,0.228,0.514,-0.286,0.5,0.45,0.6
"126","Porphyromonas",0.00786932300737297,0.0154810298889926,"Porphyromonas","India (OPV)",11,201,5.5,0,0,"India (IPV)",6,87,6.9,0,0,0.598277950050837,0.987418018578752,-1.4,FALSE,184,0,"ns",-3.65897548119081,-3.85753263676371,-3.56510494275153,0.261032736266517,5.0017879116181,0.0484137708165493,0.475200000082871,0.494772652113922,0.959336822442618,0.470403184903277,0.950010606768798,0.001,0,0.001,0.5,0.45,0.6
"127","Prevotella",0.0195348880147374,0.0447793845709168,"Prevotella","India (OPV)",15,201,7.5,0,0,"India (IPV)",12,87,13.8,0,0,0.121524905266094,0.913289570859853,-6.3,FALSE,151,0,"ns",-3.50963784204643,-3.66842616638563,-3.44002466089372,0.103369816401263,5.21087712136702,0.0181405918323455,0.491200000029342,0.5805885785591,0.9654044546867,0.590907250057199,0.967305030081626,0.001,0.001,0,0.5,0.45,0.6
