"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.Malawi","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acidaminococcus",0.00156108707021653,0.00442860168270426,"Acidaminococcus","Malawi",2,83,2.4,0,0.1,"UK",7,57,12.3,0.9,3.8,0.0313889301058129,0.0522271130605652,-9.9,FALSE,197,0,"ns",-3.57649062390602,-4.11886729606259,-2.57796004137277,1.77283164645526,5.94430837753061,0.246335722526064,0.355537281688765,0.00950726553641305,0.0187709050693581,0.0161315694458031,0.0280476179023598,0.014,0.921,-0.907,0.95,0.9,1
"2","Acinetobacter",0.0215151075066669,0.0428714462262433,"Acinetobacter","Malawi",11,83,13.3,0.2,2,"UK",1,57,1.8,0,0.1,0.0275314527191446,0.0470419310240502,11.5,TRUE,75,0,"3",-3.4425592172718,-3.81097091387101,-2.95887434453473,0.596622440883373,5.39729937016727,0.0933867955318361,0.448067964154268,0.534019864187272,0.598926850988003,0.317106892234105,0.376150625639573,0.233,0.008,0.225,0.95,0.9,1
"3","Actinomyces",0.00484486625136165,0.0145123991656345,"Actinomyces","Malawi",13,83,15.7,0,0,"UK",7,57,12.3,0,0,0.630959117480827,0.691505699461311,3.4,TRUE,157,0,"ns",-2.85272478648649,-3.42631829337591,-1.8765374761931,1.39389067398689,5.56950500439897,0.23365772082657,0.388980263889146,0.0913254065099735,0.127575628960796,0.0653854196670038,0.0963151730144537,0.001,0.002,-0.001,0.95,0.9,1
"4","Adlercreutzia",0.0466879452916145,0.0934068744431569,"Adlercreutzia","Malawi",11,83,13.3,0,0,"UK",36,57,63.2,0,0.1,1.33147840798033e-09,8.75547922823429e-09,-49.9,FALSE,45,0,"3",-2.05970804771153,-3.6717523257669,2.90996149111298,6.02467481748372,5.90635271168898,0.919992996194746,0.16365131963656,4.3618159340411e-10,3.05630674076606e-09,2.28811535680384e-10,1.60572737113773e-09,0.002,0.038,-0.036,0.95,0.9,1
"5","Agathobacter",0.131536498819171,0.244906874161716,"Agathobacter","Malawi",79,83,95.2,2.6,2.6,"UK",49,57,86,0.7,0.9,0.0691954544001666,0.101455497329974,9.2,TRUE,20,1,"ns",8.52909022622007,8.89506508943123,7.57282048226404,-1.35159906273545,3.90425209947505,-0.26579739270755,0.345574130966991,0.00372639928139843,0.00855037488134274,0.00122844639120403,0.00319451055457145,2.622,0.661,1.961,0.95,0.9,1
"6","Akkermansia",0.0303015239060922,0.069204428769265,"Akkermansia","Malawi",25,83,30.1,0.2,0.5,"UK",39,57,68.4,2.2,3.8,1.24103228286388e-05,4.20787508408535e-05,-38.3,FALSE,62,0,"3",-0.0842376380627927,-2.50747132155664,7.25644200805636,7.41937883662315,9.19554481822288,0.79832936151825,0.205535766044312,1.58806785479052e-08,9.1762247896692e-08,1.87282518863374e-08,1.02301943132529e-07,0.167,2.198,-2.031,0.95,0.9,1
"7","Alistipes",0.398314455014343,0.689453086548111,"Alistipes","Malawi",68,83,81.9,0.4,1.1,"UK",54,57,94.7,4.6,4.1,0.0378198091806577,0.0617060044526521,-12.8,FALSE,6,1,"ns",6.70347079557862,4.08833904262673,11.218712747393,6.63278518763986,4.11079453597465,1.48968353049041,0.0644188709633103,7.15959846350198e-20,1.68615876381414e-18,2.35231152756335e-18,1.94843769025264e-16,0.38,4.604,-4.224,0.95,0.9,1
"8","Allisonella",0.00460739323141292,0.0120481354519376,"Allisonella","Malawi",12,83,14.5,0,0,"UK",5,57,8.8,0,0,0.431331515221399,0.49262599370023,5.7,TRUE,166,0,"ns",-3.12243623239211,-3.46969203532284,-2.60950541939573,0.687829774580467,5.95032905698395,0.106545306194626,0.444627193333503,0.476392879010611,0.545809577678604,0.35389954251362,0.418952198932833,0.009,0.004,0.005,0.95,0.9,1
"9","Alloprevotella",0.121571032961119,0.234911021215682,"Alloprevotella","Malawi",59,83,71.1,2,3.7,"UK",3,57,5.3,0.8,5.1,3.86865039940709e-16,6.45767028208722e-15,65.8,TRUE,23,0,"3",0.149102433319294,7.74390831891609,-2.80370941816854,-9.95354115903146,7.69297049638938,-1.02781577829051,0.189915048371433,1.48582441920167e-12,1.39286495974349e-11,2.5882753185736e-09,1.59226483381559e-08,2.03,0.816,1.214,0.95,0.9,1
"10","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.00124035093722595,0.00304009960391467,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Malawi",7,83,8.4,0,0,"UK",0,57,0,0,0,0.0413614616637866,0.0641102655788692,8.4,TRUE,204,0,"ns",-3.48637206291774,-3.77048698078384,-3.08951763028914,0.571095396784698,4.72455119846146,0.10435506973626,0.443957248916457,0.408388681302724,0.468109019548351,0.329279068825107,0.387124716511321,0.001,0,0.001,0.95,0.9,1
