"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"34","Flavonifractor",0.0210358805543917,0.0431396371198146,"Flavonifractor","India",23,282,8.2,0.1,0.9,"UK",6,55,10.9,0.2,0.8,0.597478469702379,0.676094057821113,-2.7,FALSE,60,0,"ns",-1.46450028112674,-1.43790005392229,-1.61784656732623,-0.0815679151549986,5.83160752550845,-0.0125081894113082,0.492757739327306,0.509167995484299,0.639457403013017,0.534058004216701,0.668145397629056,0.072,0.201,-0.129,0.9,0.85,0.95
"35","Fusicatenibacter",0.00369772507636804,0.00906970453904073,"Fusicatenibacter","India",0,282,0,0,0,"UK",3,55,5.5,0,0,0.00414971560172854,0.0132176126573576,-5.5,FALSE,85,0,"3",-1.77644035029161,-1.77662157500126,-1.77399993658298,0.116750296399571,4.77041449726501,0.0195372587029116,0.489488636434363,0.502974603860602,0.61613994013339,0.524672539022064,0.651628329312093,0,0.006,-0.006,0.9,0.85,0.95
"36","Fusobacterium",0.114294786985892,0.210629850045997,"Fusobacterium","India",21,282,7.4,0.2,2.2,"UK",12,55,21.8,0,0,0.00259973328004533,0.00972074182973471,-14.4,FALSE,19,1,"3",-1.29594760216153,-1.40303529733238,-0.471077395099144,1.34889959298462,5.86958641097689,0.194970362174728,0.402840909770009,0.101172844937332,0.196137952235805,0.0569352038833169,0.136014990677964,0.211,0.01,0.201,0.9,0.85,0.95
"37","Gemella",0.0911702163163402,0.163046578800433,"Gemella","India",159,282,56.4,0,0.2,"UK",24,55,43.6,0,0,0.103269791071931,0.170792346772808,12.8,TRUE,26,0,"ns",3.0562618220409,3.19894851790323,1.68692658497993,-0.671266924558264,6.56401734258805,-0.0936814957875352,0.460096563746228,0.367385016240304,0.528155015111106,0.318068212672579,0.499693245172982,0.044,0.019,0.025,0.9,0.85,0.95
"38","Gordonibacter",0.0344087326627854,0.0656109653134256,"Gordonibacter","India",24,282,8.5,0,0.1,"UK",0,55,0,0,0,0.0195332448195996,0.0494076192495755,8.5,TRUE,49,0,"1",-1.57766816093796,-1.46458822592718,-2.12802919166972,-0.842095300222502,4.96100285724115,-0.154089331888029,0.418631071280372,0.103167899188141,0.188654554264161,0.184708877275782,0.299182894113695,0.012,0,0.012,0.9,0.85,0.95
"39","Granulicatella",0.0621762557729142,0.115250174484141,"Granulicatella","India",84,282,29.8,0,0.1,"UK",17,55,30.9,0,0.2,0.873062173028558,0.913710297399774,-1.1,FALSE,33,0,"ns",-0.252516116875672,-0.296472683836409,-0.0237507954501108,-0.109925450216856,6.75924425861664,-0.0153809687161865,0.491621698437474,0.686997771140701,0.788986973679795,0.709837318595431,0.812816358342859,0.021,0.038,-0.017,0.9,0.85,0.95
"40","Haemophilus",0.60552332534806,1.10047102238892,"Haemophilus","India",62,282,22,0.1,0.9,"UK",34,55,61.8,1,2.9,1.51444246929239e-08,3.25605130897864e-07,-39.8,FALSE,3,1,"3",-0.28385346981549,-0.636425332227942,6.95169437679174,5.96173447382907,8.62197283460838,0.626657157246553,0.270661745775081,7.93104503437947e-06,0.000109919573155446,1.14284886656064e-06,1.46932635620891e-05,0.106,0.986,-0.88,0.9,0.85,0.95
"41","Hungatella",0.0109090897561903,0.0250340535377691,"Hungatella","India",8,282,2.8,0,0.5,"UK",5,55,9.1,0.2,0.7,0.0438934245616568,0.092069134446402,-6.3,FALSE,72,0,"ns",-1.65801461701974,-1.67947230337153,-1.5237949084078,0.254161208104666,5.23064977731473,0.0447798973038638,0.474581085090361,0.367858961869115,0.499338985264268,0.539954092272462,0.664145857831438,0.037,0.162,-0.125,0.9,0.85,0.95
"42","Intestinibacter",0.0469723466738524,0.101468717561569,"Intestinibacter","India",9,282,3.2,0,0.1,"UK",11,55,20,0,0,4.48598981251849e-05,0.000364784836648152,-16.8,FALSE,40,0,"3",-1.55532729357547,-1.62990423842875,-1.07344080614914,0.959377769669405,5.23721205057237,0.173220604472729,0.418465909654258,0.136724469185803,0.233678362479114,0.145850987107419,0.257540287717793,0.005,0.008,-0.003,0.9,0.85,0.95
"43","Klebsiella",0.240849797282052,0.445382118502306,"Klebsiella","India",240,282,85.1,3.6,10.4,"UK",31,55,56.4,2.9,7.2,7.33328688950337e-06,8.3701421424816e-05,28.7,TRUE,11,1,"1",8.80157267155798,9.04472942445152,5.51999758690198,-3.06548547857053,9.76975390594735,-0.301086134383391,0.372621415286559,0.0021861915737273,0.0123058020839781,0.00399650254411051,0.0211665610020347,3.654,3.052,0.602,0.9,0.85,0.95
