"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"18","Chryseobacterium",0.0594170409856351,0.119291265173108,"Chryseobacterium","India",3,289,1,0,0,"Malawi",11,68,16.2,0,0.1,1.32563936925183e-06,1.16897289834025e-05,-15.2,FALSE,44,0,"2",-1.26128594321444,-1.27845295194791,-1.14598989741684,0.337996004262084,5.02957204433917,0.0564854632562116,0.467493682661368,0.29892110082293,0.465197515618266,0.362492697100742,0.500632657739948,0.001,0.019,-0.018,0.8,0.75,0.85
"19","Citricoccus",0.0231936605904028,0.0510619542802063,"Citricoccus","India",0,289,0,0,0,"Malawi",6,68,8.8,0,0,3.97094921635415e-05,0.000154072829594541,-8.8,FALSE,72,0,"2",-1.40348999405834,-1.30936198308416,-1.8179971713022,-0.356448742780531,4.71916083477849,-0.0690882106547247,0.466911764852107,0.509198327432395,0.674946350719677,0.405332249587786,0.54570547729673,0,0.003,-0.003,0.8,0.75,0.85
"20","Citrobacter",0.0263809089333408,0.0544462708751549,"Citrobacter","India",32,289,11.1,0,0.1,"Malawi",6,68,8.8,0,0.2,0.668730408528654,0.737123291219085,2.3,TRUE,65,0,"ns",-1.01800757719636,-0.821763863054636,-1.81226562932078,-1.03692541735075,5.82285436726698,-0.156023977110213,0.419710544814549,0.17237381124645,0.335550307200191,0.0948945444212449,0.186374495997363,0.026,0.04,-0.014,0.8,0.75,0.85
"21","Clostridioides",0.0247838348482176,0.0507384845271249,"Clostridioides","India",44,289,15.2,0.1,0.4,"Malawi",5,68,7.4,0,0,0.116080774157844,0.170603562019862,7.8,TRUE,70,0,"ns",-0.861283898747089,-0.628984275390904,-1.85975106617984,-1.43990979027716,6.19563486105259,-0.207058080475201,0.385340074061904,0.0109180465480636,0.0459191316923344,0.0147869555670033,0.0497576916262916,0.09,0.011,0.079,0.8,0.75,0.85
"22","Clostridium_sensu_stricto_1",0.0903066888654627,0.163363397476276,"Clostridium_sensu_stricto_1","India",91,289,31.5,0.6,3,"Malawi",15,68,22.1,1.7,7.6,0.141582256948786,0.201962925353415,9.4,TRUE,30,0,"ns",-0.0135797534959679,0.289584117922562,-1.26731915535034,-1.58932125978084,8.04717415580907,-0.179216000785195,0.402343750446717,0.0498015011496446,0.159410325956285,0.0214219786995645,0.0668750404594959,0.559,1.704,-1.145,0.8,0.75,0.85
"23","Collinsella",0.248015572919528,0.459395832867293,"Collinsella","India",87,289,30.1,2.1,6.1,"Malawi",42,68,61.8,1.1,3.1,2.31233983426368e-06,1.72536126095059e-05,-31.7,FALSE,15,1,"2",0.784310099156404,0.371185385496265,4.46488934183059,2.61926859136113,10.2814834514225,0.258467279575235,0.390994716790929,0.0098753561521406,0.0448822089282262,0.00876112640032611,0.0391218674917644,2.124,1.152,0.972,0.8,0.75,0.85
"24","Corynebacterium_1",0.296387241048908,0.530348087900534,"Corynebacterium_1","India",197,289,68.2,0,0.1,"Malawi",50,68,73.5,0,0.1,0.465952706437647,0.551187957615265,-5.3,FALSE,8,1,"ns",4.04474894766184,3.96598582813412,4.38605480316047,0.429253532684932,5.05948925188349,0.0695819057723916,0.456696531319839,0.475630863891655,0.67308622155588,0.326223963404021,0.523910009675173,0.022,0.035,-0.013,0.8,0.75,0.85
"25","Cronobacter",0.0123850784614852,0.0342377556497404,"Cronobacter","India",15,289,5.2,0,0.1,"Malawi",0,68,0,0,0,0.0849723779428602,0.130830486673928,5.2,TRUE,89,0,"ns",-1.31236156687115,-1.10185542823763,-2.18007764786915,-1.18498565035773,4.6567901810281,-0.218701169804181,0.386718750525393,0.0221322788432202,0.0692145092493487,0.0243965114260758,0.0625392592237459,0.008,0,0.008,0.8,0.75,0.85
"26","Cutibacterium",0.0551383393463068,0.104482828261152,"Cutibacterium","India",29,289,10,0,0.4,"Malawi",14,68,20.6,0,0,0.0222924921298243,0.0407994667281691,-10.6,FALSE,47,0,"2",-0.804059366975624,-0.790061515086865,-0.883987396464986,0.123598237341643,5.86779742222959,0.0181146200448035,0.492417279445136,0.609405867286407,0.767279990532397,0.632293431802768,0.755506578123346,0.045,0.012,0.033,0.8,0.75,0.85
"27","Dialister",0.270845701368884,0.49100356129888,"Dialister","India",28,289,9.7,0.1,0.9,"Malawi",29,68,42.6,0.6,4.4,1.56642813485073e-09,3.79858822701303e-08,-32.9,FALSE,12,1,"2",-0.667606770222026,-0.865045483278795,0.846765059555927,2.24760984128141,6.47710595393344,0.314401780492541,0.359834559492838,0.002898230164313,0.0163767081466508,0.00175846432576976,0.0103627623953228,0.093,0.659,-0.566,0.8,0.75,0.85
