"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Christensenellaceae_R-7_group",0.00179372179696993,0.0037410055142145,"Christensenellaceae_R-7_group","Christensenellaceae_R-7_group","Malawi",0,0,68,0,0,0,0,"UK",1,1,53,0.0188679245283019,0.0188679245283019,8.30188679245283e-05,0.000604386481374232,0.43801652892562,0.43801652892562,NA,NA,NA,NA,-0.0188679245283019,-0.0188679245283019,FALSE,FALSE,189,0,"ns","ns",0.8695,0.0787833623414118
"Aquabacterium",0.0017701625608155,0.00441931254762019,"Aquabacterium","Aquabacterium","Malawi",2,0,68,0.0294117647058824,0,1.76470588235294e-06,1.07815730680941e-05,"UK",0,0,53,0,0,0,0,0.503581267217631,1,NA,NA,NA,NA,0.0294117647058824,0,TRUE,FALSE,190,0,"ns","ns",0.8695,0.0787833623414118
"Ruminococcaceae_UCG-013",0.00176820855096399,0.00367145888169779,"Ruminococcaceae_UCG-013","Ruminococcaceae_UCG-013","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,1.05660377358491e-05,7.69219158112658e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,191,0,"ns","ns",0.8695,0.0787833623414118
"Ruminococcus_1",0.0017677172107866,0.00368724913038404,"Ruminococcus_1","Ruminococcus_1","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,8.30188679245283e-06,6.04386481374232e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,192,0,"ns","ns",0.8695,0.0787833623414118
"Coprococcus_2",0.00175627952086824,0.00366272565543996,"Coprococcus_2","Coprococcus_2","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-06,5.49442255794756e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,193,0,"ns","ns",0.8695,0.0787833623414118
"Ruminiclostridium_6",0.0017420236056612,0.00359429647894507,"Ruminiclostridium_6","Ruminiclostridium_6","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,3.77358490566038e-06,2.74721127897378e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,194,0,"ns","ns",0.8695,0.0787833623414118
"Oscillospira",0.00174172492024552,0.0036033927457477,"Oscillospira","Oscillospira","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,195,0,"ns","ns",0.8695,0.0787833623414118
"Adlercreutzia",0.00174011453268749,0.00364674327464036,"Adlercreutzia","Adlercreutzia","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,196,0,"ns","ns",0.8695,0.0787833623414118
"unassigned_Desulfovibrionaceae",0.00173975458054847,0.00337657353662251,"unassigned_Desulfovibrionaceae","unassigned_Desulfovibrionaceae","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,1,1,NA,NA,NA,NA,-0.00416204217536071,0,FALSE,FALSE,197,0,"ns","ns",0.8695,0.0787833623414118
"CAG-56",0.00170987942350437,0.00356158321974577,"CAG-56","CAG-56","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,198,0,"ns","ns",0.8695,0.0787833623414118
"DTU089",0.00170876052198614,0.0035639474833469,"DTU089","DTU089","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,199,0,"ns","ns",0.8695,0.0787833623414118
"Ruminococcaceae_UCG-003",0.00167978362864382,0.00351888588195881,"Ruminococcaceae_UCG-003","Ruminococcaceae_UCG-003","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,1.28301886792453e-05,9.34051834851085e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,200,0,"ns","ns",0.8695,0.0787833623414118
"Turicibacter",0.00165949441942721,0.00344829580835323,"Turicibacter","Turicibacter","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,201,0,"ns","ns",0.8695,0.0787833623414118
"Mobilicoccus",0.00165703502899762,0.00400285394828357,"Mobilicoccus","Mobilicoccus","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,202,0,"ns","ns",0.8695,0.0787833623414118
"Marvinbryantia",0.00165091707724824,0.00341889097570669,"Marvinbryantia","Marvinbryantia","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,203,0,"ns","ns",0.8695,0.0787833623414118
"Family_XIII_UCG-001",0.00162292206122241,0.00335118387055739,"Family_XIII_UCG-001","Family_XIII_UCG-001","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,7.54716981132076e-07,5.49442255794756e-06,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,204,0,"ns","ns",0.8695,0.0787833623414118
"Weissella",0.00159372321399525,0.00426859263301855,"Weissella","Weissella","Malawi",2,1,68,0.0294117647058824,0.0147058823529412,3e-05,0.000233071637184153,"UK",0,0,53,0,0,0,0,0.503581267217631,1,NA,NA,NA,NA,0.0294117647058824,0.0147058823529412,TRUE,TRUE,205,0,"ns","ns",0.8695,0.0787833623414118
"Kytococcus",0.00156348860452763,0.00345161340265425,"Kytococcus","Kytococcus","Malawi",2,0,68,0.0294117647058824,0,1.17647058823529e-06,6.80855733830397e-06,"UK",0,0,53,0,0,0,0,0.503581267217631,1,NA,NA,NA,NA,0.0294117647058824,0,TRUE,FALSE,206,0,"ns","ns",0.8695,0.0787833623414118
"Antricoccus",0.00156062688173323,0.00373888392434326,"Antricoccus","Antricoccus","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,207,0,"ns","ns",0.8695,0.0787833623414118
"Butyricimonas",0.00154215895622002,0.00330918421035816,"Butyricimonas","Butyricimonas","Malawi",0,0,68,0,0,0,0,"UK",1,1,53,0.0188679245283019,0.0188679245283019,9.20754716981132e-05,0.000670319552069602,0.43801652892562,0.43801652892562,NA,NA,NA,NA,-0.0188679245283019,-0.0188679245283019,FALSE,FALSE,208,0,"ns","ns",0.8695,0.0787833623414118
"unassigned_Bacillaceae",0.00152300277372696,0.00313613186958667,"unassigned_Bacillaceae","unassigned_Bacillaceae","Malawi",0,0,68,0,0,0,0,"UK",2,0,53,0.0377358490566038,0,5.28301886792453e-06,3.331688031296e-05,0.189807162534435,1,NA,NA,NA,NA,-0.0377358490566038,0,FALSE,FALSE,209,0,"ns","ns",0.8695,0.0787833623414118
"Coprobacillus",0.00150845888043777,0.00317116204421678,"Coprobacillus","Coprobacillus","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,1.50943396226415e-06,1.09888451158951e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,210,0,"ns","ns",0.8695,0.0787833623414118
"Raoultibacter",0.00148051009509662,0.0035895574637245,"Raoultibacter","Raoultibacter","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,3.77358490566038e-06,2.74721127897378e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,211,0,"ns","ns",0.8695,0.0787833623414118
"Aggregatibacter",0.00142594164851064,0.00399209051897909,"Aggregatibacter","Aggregatibacter","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,212,0,"ns","ns",0.8695,0.0787833623414118
"Propionimicrobium",0.00137906452562825,0.00275285531945398,"Propionimicrobium","Propionimicrobium","Malawi",1,0,68,0.0147058823529412,0,1.17647058823529e-06,9.70142500145332e-06,"UK",2,0,53,0.0377358490566038,0,6.0377358490566e-06,3.45487182575067e-05,0.580755608028335,1,NA,NA,NA,NA,-0.0230299667036626,0,FALSE,FALSE,213,0,"ns","ns",0.8695,0.0787833623414118
"Parasutterella",0.00128704284402154,0.00279426409878258,"Parasutterella","Parasutterella","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,9.81132075471698e-06,7.14274932533183e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,214,0,"ns","ns",0.8695,0.0787833623414118
"Haematobacter",0.00127035322017302,0.00306701705614958,"Haematobacter","Haematobacter","Malawi",1,0,68,0.0147058823529412,0,2.35294117647059e-06,1.94028500029066e-05,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,215,0,"ns","ns",0.8695,0.0787833623414118
"Moryella",0.0012579211499291,0.00314437531709694,"Moryella","Moryella","Malawi",3,0,68,0.0441176470588235,0,1.52941176470588e-05,0.000111869734856313,"UK",0,0,53,0,0,0,0,0.255371900826446,1,NA,NA,NA,NA,0.0441176470588235,0,TRUE,FALSE,216,0,"ns","ns",0.8695,0.0787833623414118
"Anaerotruncus",0.00125567071866636,0.00281060696943465,"Anaerotruncus","Anaerotruncus","Malawi",0,0,68,0,0,0,0,"UK",1,0,53,0.0188679245283019,0,1.50943396226415e-06,1.09888451158951e-05,0.43801652892562,1,NA,NA,NA,NA,-0.0188679245283019,0,FALSE,FALSE,217,0,"ns","ns",0.8695,0.0787833623414118
