"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Enterorhabdus",0.015410900527526,0.0304037659670451,"Enterorhabdus","Enterorhabdus","India",4,2,287,0.0139372822299652,0.00696864111498258,9.35191637630662e-05,0.00145665622656607,"Malawi",8,3,75,0.106666666666667,0.04,0.00121226666666667,0.00706869756980261,0.000590862609222675,0.0622663773563002,0.0013471667490277,1,NA,NA,-0.0927293844367015,-0.0330313588850174,FALSE,FALSE,88,0,"2","ns",0.848,0.0706821023736532
"Dietzia",0.0145918186321722,0.0309465350427124,"Dietzia","Dietzia","India",1,1,287,0.00348432055749129,0.00348432055749129,1.70034843205575e-05,0.000288057292017266,"Malawi",2,0,75,0.0266666666666667,0,1.06666666666667e-06,6.48768757648595e-06,0.110184774235676,1,NA,NA,NA,NA,-0.0231823461091754,0.00348432055749129,FALSE,TRUE,89,0,"ns","ns",0.848,0.0706821023736532
"unassigned_Weeksellaceae",0.0143324260337381,0.0292328630672579,"unassigned_Weeksellaceae","unassigned_Weeksellaceae","India",0,0,287,0,0,0,0,"Malawi",4,0,75,0.0533333333333333,0,6.93333333333333e-06,3.74156107517695e-05,0.00172717211556821,1,0.0035799567486323,1,NA,NA,-0.0533333333333333,0,FALSE,FALSE,90,0,"2","ns",0.848,0.0706821023736532
"unassigned_Saccharimonadaceae",0.0143281477033159,0.0296593112441818,"unassigned_Saccharimonadaceae","unassigned_Saccharimonadaceae","India",2,0,287,0.00696864111498258,0,1.39372822299652e-06,1.94543134080241e-05,"Malawi",4,1,75,0.0533333333333333,0.0133333333333333,1.97333333333333e-05,0.000139709866676791,0.0183582749359109,0.207182320441989,0.02828166679316,1,NA,NA,-0.0463646922183508,-0.0133333333333333,FALSE,FALSE,91,0,"2","ns",0.848,0.0706821023736532
"Paracoccus",0.0143276693044166,0.0292923716516178,"Paracoccus","Paracoccus","India",3,1,287,0.0104529616724739,0.00348432055749129,8.50174216027875e-06,0.000130239904365989,"Malawi",6,1,75,0.08,0.0133333333333333,2.88e-05,0.000199736042031694,0.00327482578908265,0.371895134754595,0.00666660964206111,1,NA,NA,-0.0695470383275261,-0.00984901277584204,FALSE,FALSE,92,0,"2","ns",0.848,0.0706821023736532
"Morganella",0.0140843068509762,0.0306899421974652,"Morganella","Morganella","India",13,6,287,0.0452961672473868,0.0209059233449477,0.000203066202090592,0.00153462655959688,"Malawi",4,4,75,0.0533333333333333,0.0533333333333333,0.000667733333333333,0.00461792499714745,0.761104188101664,0.22581554355928,0.833549393459441,0,0.301594926399462,0,-0.00803716608594657,-0.0324274099883856,FALSE,FALSE,93,0,"ns","ns",0.848,0.0706821023736532
"Empedobacter",0.0137320157397947,0.0288997329862713,"Empedobacter","Empedobacter","India",1,0,287,0.00348432055749129,0,2.78745644599303e-07,4.72225068880764e-06,"Malawi",4,1,75,0.0533333333333333,0.0133333333333333,3.2e-05,0.000237281905552663,0.00726570169286516,0.207182320441989,0.0125498483785853,1,NA,NA,-0.049849012775842,-0.0133333333333333,FALSE,FALSE,94,0,"2","ns",0.848,0.0706821023736532
"Lawsonella",0.0134520524755655,0.0261346890586249,"Lawsonella","Lawsonella","India",9,1,287,0.0313588850174216,0.00348432055749129,8.22299651567944e-06,7.48283286597427e-05,"Malawi",9,0,75,0.12,0,1.92e-05,9.30817716645758e-05,0.00436166275690912,1,0.00842761956419729,1,NA,NA,-0.0886411149825784,0.00348432055749129,FALSE,TRUE,95,0,"2","ns",0.848,0.0706821023736532
"Ruminococcaceae_UCG-014",0.0127524324048773,0.0249150431845685,"Ruminococcaceae_UCG-014","Ruminococcaceae_UCG-014","India",3,1,287,0.0104529616724739,0.00348432055749129,7.94425087108014e-06,0.000114554276200642,"Malawi",3,0,75,0.04,0,3.2e-06,1.70974946797572e-05,0.106174479776689,1,NA,NA,NA,NA,-0.0295470383275261,0.00348432055749129,FALSE,TRUE,96,0,"ns","ns",0.848,0.0706821023736532
"Aeromonas",0.0126266690922396,0.0237822365199271,"Aeromonas","Aeromonas","India",9,0,287,0.0313588850174216,0,8.50174216027875e-06,7.32095313908289e-05,"Malawi",5,0,75,0.0666666666666667,0,1.28e-05,6.71134577876614e-05,0.177760312654537,1,0.220268213506708,0,NA,NA,-0.0353077816492451,0,FALSE,FALSE,97,0,"ns","ns",0.848,0.0706821023736532
"Pseudoglutamicibacter",0.0125195916214117,0.0269997148503518,"Pseudoglutamicibacter","Pseudoglutamicibacter","India",1,1,287,0.00348432055749129,0.00348432055749129,1.39372822299652e-05,0.000236112534440382,"Malawi",6,1,75,0.08,0.0133333333333333,0.000237333333333333,0.00182536285421544,0.000392045351809309,0.371895134754595,0.000971590654483939,1,NA,NA,-0.0765156794425087,-0.00984901277584204,FALSE,FALSE,98,0,"2","ns",0.848,0.0706821023736532
"Sphingobium",0.0124270586787327,0.0251458050899509,"Sphingobium","Sphingobium","India",0,0,287,0,0,0,0,"Malawi",8,3,75,0.106666666666667,0.04,0.0001856,0.000931761250013665,2.49356340832772e-06,0.00861187207623597,1.35364870737791e-05,1,NA,NA,-0.106666666666667,-0.04,FALSE,FALSE,99,0,"2","ns",0.848,0.0706821023736532
"Solobacterium",0.0120909511483878,0.0249355710413443,"Solobacterium","Solobacterium","India",1,0,287,0.00348432055749129,0,5.57491289198606e-07,9.44450137761529e-06,"Malawi",8,7,75,0.106666666666667,0.0933333333333333,0.000472533333333333,0.00231950314654817,1.86665057403064e-05,1.30178677934756e-05,7.33786777377561e-05,1,8.78706076059603e-05,1,-0.103182346109175,-0.0933333333333333,FALSE,FALSE,100,0,"2","2",0.848,0.0706821023736532
"Ruminococcaceae_UCG-002",0.0117037170459487,0.0308754747467165,"Ruminococcaceae_UCG-002","Ruminococcaceae_UCG-002","India",2,2,287,0.00696864111498258,0.00696864111498258,7.62369337979094e-05,0.00108612729599557,"Malawi",4,0,75,0.0533333333333333,0,3.2e-06,1.57823027813143e-05,0.0183582749359109,1,0.02828166679316,1,NA,NA,-0.0463646922183508,0.00696864111498258,FALSE,TRUE,101,0,"2","ns",0.848,0.0706821023736532
"Coriobacteriaceae_UCG-003",0.0114940660611681,0.0241863054320951,"Coriobacteriaceae_UCG-003","Coriobacteriaceae_UCG-003","India",1,0,287,0.00348432055749129,0,1.39372822299652e-07,2.36112534440382e-06,"Malawi",5,3,75,0.0666666666666667,0.04,0.000580266666666667,0.00324179045179255,0.00171941507134231,0.00861187207623597,0.0035799567486323,1,NA,NA,-0.0631823461091754,-0.04,FALSE,FALSE,102,0,"2","ns",0.848,0.0706821023736532
"Anaerostipes",0.011232291691275,0.0249835492776256,"Anaerostipes","Anaerostipes","India",5,4,287,0.0174216027874564,0.0139372822299652,1.85365853658537e-05,0.000152615717484355,"Malawi",5,1,75,0.0666666666666667,0.0133333333333333,0.000129066666666667,0.000984541563414207,0.0356211694302765,1,0.050760166438144,1,NA,NA,-0.0492450638792102,0.000603948896631823,FALSE,TRUE,103,0,"2","ns",0.848,0.0706821023736532
"Varibaculum",0.0109003184743221,0.0236536976484978,"Varibaculum","Varibaculum","India",12,3,287,0.0418118466898955,0.0104529616724739,3.90243902439024e-05,0.000421935793798477,"Malawi",4,0,75,0.0533333333333333,0,1.76e-05,7.70370216370201e-05,0.751564767532087,1,0.831828966006388,0,NA,NA,-0.0115214866434379,0.0104529616724739,FALSE,TRUE,104,0,"ns","ns",0.848,0.0706821023736532
"Lachnoanaerobaculum",0.010759958793488,0.0258894687323752,"Lachnoanaerobaculum","Lachnoanaerobaculum","India",2,0,287,0.00696864111498258,0,1.25435540069686e-06,1.71733685573773e-05,"Malawi",3,0,75,0.04,0,3.2e-06,1.70974946797572e-05,0.0622663773563002,1,NA,NA,NA,NA,-0.0330313588850174,0,FALSE,FALSE,105,0,"ns","ns",0.848,0.0706821023736532
"Mitsuokella",0.0102835252446784,0.022975332235896,"Mitsuokella","Mitsuokella","India",2,1,287,0.00696864111498258,0.00348432055749129,2.06271777003484e-05,0.00031799792797415,"Malawi",5,3,75,0.0666666666666667,0.04,0.0006176,0.00392043704127417,0.00503783937017481,0.0292659719582392,0.00911609028888775,1,NA,NA,-0.0596980255516841,-0.0365156794425087,FALSE,FALSE,106,0,"2","ns",0.848,0.0706821023736532
"Proteus",0.0102270903908886,0.0243986938520382,"Proteus","Proteus","India",16,11,287,0.0557491289198606,0.0383275261324042,0.00037993031358885,0.00325109190834794,"Malawi",0,0,75,0,0,0,0,0.0510817899360433,0.129531711134663,0.0710161469842554,1,NA,NA,0.0557491289198606,0.0383275261324042,TRUE,TRUE,107,0,"1","ns",0.848,0.0706821023736532
"Prevotella_6",0.00985649154193585,0.0201045285735192,"Prevotella_6","Prevotella_6","India",7,0,287,0.024390243902439,0,4.3205574912892e-06,3.63088205542092e-05,"Malawi",2,0,75,0.0266666666666667,0,2.66666666666667e-06,1.6549135139755e-05,1,1,NA,NA,NA,NA,-0.00227642276422764,0,FALSE,FALSE,108,0,"ns","ns",0.848,0.0706821023736532
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.00982350718963781,0.0192511860581881,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","India",1,0,287,0.00348432055749129,0,6.96864111498258e-07,1.18056267220191e-05,"Malawi",7,1,75,0.0933333333333333,0.0133333333333333,7.36e-05,0.000420195064097488,8.66879984895105e-05,0.207182320441989,0.000267092752102816,1,NA,NA,-0.089849012775842,-0.0133333333333333,FALSE,FALSE,109,0,"2","ns",0.848,0.0706821023736532
"Microbacterium",0.00952240856569418,0.0198402878072053,"Microbacterium","Microbacterium","India",0,0,287,0,0,0,0,"Malawi",5,0,75,0.0666666666666667,0,8e-06,3.54126256306145e-05,0.000342539721243975,1,0.000887489277768481,1,NA,NA,-0.0666666666666667,0,FALSE,FALSE,110,0,"2","ns",0.848,0.0706821023736532
"Ruminiclostridium_5",0.00926857649069966,0.0218371463082157,"Ruminiclostridium_5","Ruminiclostridium_5","India",6,1,287,0.0209059233449477,0.00348432055749129,9.89547038327526e-06,0.000106657691524001,"Malawi",2,0,75,0.0266666666666667,0,1.17333333333333e-05,7.13645633413454e-05,0.672310950629187,1,NA,NA,NA,NA,-0.00576074332171893,0.00348432055749129,FALSE,TRUE,111,0,"ns","ns",0.848,0.0706821023736532
"Moryella",0.00882342906352228,0.0186469453799894,"Moryella","Moryella","India",0,0,287,0,0,0,0,"Malawi",5,1,75,0.0666666666666667,0.0133333333333333,2.66666666666667e-05,0.00019455655283812,0.000342539721243975,0.207182320441989,0.000887489277768481,1,NA,NA,-0.0666666666666667,-0.0133333333333333,FALSE,FALSE,112,0,"2","ns",0.848,0.0706821023736532
"Globicatella",0.0087539269967929,0.0176802689315662,"Globicatella","Globicatella","India",0,0,287,0,0,0,0,"Malawi",3,0,75,0.04,0,3.73333333333333e-06,2.09744589424359e-05,0.00861187207623597,1,NA,NA,NA,NA,-0.04,0,FALSE,FALSE,113,0,"ns","ns",0.848,0.0706821023736532
"Hungatella",0.00861464031673996,0.0166340580716773,"Hungatella","Hungatella","India",9,2,287,0.0313588850174216,0.00696864111498258,0.000288362369337979,0.00457859138349782,"Malawi",3,2,75,0.04,0.0266666666666667,0.000103466666666667,0.000609194180495472,0.718598194267705,0.191103576513114,NA,NA,NA,NA,-0.0086411149825784,-0.0196980255516841,FALSE,FALSE,114,0,"ns","ns",0.848,0.0706821023736532
"Nosocomiicoccus",0.00854084232690031,0.0203396347060796,"Nosocomiicoccus","Nosocomiicoccus","India",0,0,287,0,0,0,0,"Malawi",5,1,75,0.0666666666666667,0.0133333333333333,3.30666666666667e-05,0.000254207689792322,0.000342539721243975,0.207182320441989,0.000887489277768481,1,NA,NA,-0.0666666666666667,-0.0133333333333333,FALSE,FALSE,115,0,"2","ns",0.848,0.0706821023736532
"Prevotella_7",0.00827456484783998,0.0214730353673886,"Prevotella_7","Prevotella_7","India",9,1,287,0.0313588850174216,0.00348432055749129,0.000147317073170732,0.00244609138350466,"Malawi",4,1,75,0.0533333333333333,0.0133333333333333,2.24e-05,0.000175621214011323,0.482464315379618,0.371895134754595,0.550009319532764,0,NA,NA,-0.0219744483159117,-0.00984901277584204,FALSE,FALSE,116,0,"ns","ns",0.848,0.0706821023736532
"Akkermansia",0.00801869702176703,0.0175597986747889,"Akkermansia","Akkermansia","India",9,5,287,0.0313588850174216,0.0174216027874564,0.00257825783972125,0.0255003538388257,"Malawi",2,1,75,0.0266666666666667,0.0133333333333333,0.00143093333333333,0.0123828871860751,1,1,NA,NA,NA,NA,0.00469221835075493,0.00408826945412311,TRUE,TRUE,117,0,"ns","ns",0.848,0.0706821023736532
"Fusicatenibacter",0.00801807830594418,0.0171894102998427,"Fusicatenibacter","Fusicatenibacter","India",3,1,287,0.0104529616724739,0.00348432055749129,6.96864111498258e-06,8.89185751077688e-05,"Malawi",2,0,75,0.0266666666666667,0,1.06666666666667e-06,6.48768757648595e-06,0.276995042617656,1,NA,NA,NA,NA,-0.0162137049941928,0.00348432055749129,FALSE,TRUE,118,0,"ns","ns",0.848,0.0706821023736532
"Ruminococcaceae_UCG-005",0.00796472583162133,0.0230261319770771,"Ruminococcaceae_UCG-005","Ruminococcaceae_UCG-005","India",2,1,287,0.00696864111498258,0.00348432055749129,7.10801393728223e-06,9.78635351342819e-05,"Malawi",5,0,75,0.0666666666666667,0,4.8e-06,1.96839899273359e-05,0.00503783937017481,1,0.00911609028888775,1,NA,NA,-0.0596980255516841,0.00348432055749129,FALSE,TRUE,119,0,"2","ns",0.848,0.0706821023736532
"Rubrobacter",0.00778518140896115,0.0215907303826528,"Rubrobacter","Rubrobacter","India",0,0,287,0,0,0,0,"Malawi",1,0,75,0.0133333333333333,0,5.33333333333333e-07,4.61880215351701e-06,0.207182320441989,1,NA,NA,NA,NA,-0.0133333333333333,0,FALSE,FALSE,120,0,"ns","ns",0.848,0.0706821023736532
"Macrococcus",0.00763546048441302,0.0149665033824721,"Macrococcus","Macrococcus","India",7,2,287,0.024390243902439,0.00696864111498258,1.32404181184669e-05,0.000122800742736385,"Malawi",1,0,75,0.0133333333333333,0,3.73333333333333e-06,3.2331615074619e-05,1,1,NA,NA,NA,NA,0.0110569105691057,0.00696864111498258,TRUE,TRUE,121,0,"ns","ns",0.848,0.0706821023736532
"Dermacoccus",0.00733636637335103,0.0142684146757971,"Dermacoccus","Dermacoccus","India",0,0,287,0,0,0,0,"Malawi",2,0,75,0.0266666666666667,0,2.13333333333333e-06,1.45466011014121e-05,0.0424695061293828,1,NA,NA,NA,NA,-0.0266666666666667,0,FALSE,FALSE,122,0,"ns","ns",0.848,0.0706821023736532
"Dorea",0.0069946915044969,0.0313614207130596,"Dorea","Dorea","India",5,2,287,0.0174216027874564,0.00696864111498258,4.02787456445993e-05,0.000412028826900525,"Malawi",1,1,75,0.0133333333333333,0.0133333333333333,1.97333333333333e-05,0.000170895679680129,1,0.502750315014055,NA,NA,NA,NA,0.00408826945412311,-0.00636469221835076,TRUE,FALSE,123,0,"ns","ns",0.848,0.0706821023736532
"Methylobacterium",0.00645201837021481,0.0125507536515257,"Methylobacterium","Methylobacterium","India",1,0,287,0.00348432055749129,0,4.18118466898955e-07,7.08337603321146e-06,"Malawi",4,1,75,0.0533333333333333,0.0133333333333333,4.37333333333333e-05,0.000295930841689512,0.00726570169286516,0.207182320441989,0.0125498483785853,1,NA,NA,-0.049849012775842,-0.0133333333333333,FALSE,FALSE,124,0,"2","ns",0.848,0.0706821023736532
"Ruminococcus_2",0.00625347591321505,0.0126864918829728,"Ruminococcus_2","Ruminococcus_2","India",3,2,287,0.0104529616724739,0.00696864111498258,8.22299651567944e-05,0.0011698427555895,"Malawi",4,0,75,0.0533333333333333,0,3.73333333333333e-06,1.761244441292e-05,0.0361188556902256,1,0.0508339450455028,1,NA,NA,-0.0428803716608595,0.00696864111498258,FALSE,TRUE,125,0,"2","ns",0.848,0.0706821023736532
"Helcococcus",0.00606103528138184,0.0153636190358037,"Helcococcus","Helcococcus","India",0,0,287,0,0,0,0,"Malawi",2,0,75,0.0266666666666667,0,2.13333333333333e-06,1.29753751529719e-05,0.0424695061293828,1,NA,NA,NA,NA,-0.0266666666666667,0,FALSE,FALSE,126,0,"ns","ns",0.848,0.0706821023736532
"Alloprevotella",0.00603828025094746,0.0148812394024934,"Alloprevotella","Alloprevotella","India",3,2,287,0.0104529616724739,0.00696864111498258,2.00696864111498e-05,0.000225899898976502,"Malawi",2,0,75,0.0266666666666667,0,1.06666666666667e-06,6.48768757648595e-06,0.276995042617656,1,NA,NA,NA,NA,-0.0162137049941928,0.00696864111498258,FALSE,TRUE,127,0,"ns","ns",0.848,0.0706821023736532
"Roseburia",0.0058024873865939,0.0129266913959116,"Roseburia","Roseburia","India",2,2,287,0.00696864111498258,0.00696864111498258,1.11498257839721e-05,0.000133708802654546,"Malawi",3,1,75,0.04,0.0133333333333333,0.000431466666666667,0.00363480647216466,0.0622663773563002,0.502750315014055,NA,NA,NA,NA,-0.0330313588850174,-0.00636469221835076,FALSE,FALSE,128,0,"ns","ns",0.848,0.0706821023736532
"unassigned_Muribaculaceae",0.00578302745005408,0.0173374842732983,"unassigned_Muribaculaceae","unassigned_Muribaculaceae","India",3,3,287,0.0104529616724739,0.0104529616724739,8.85017421602787e-05,0.00118145112821208,"Malawi",3,1,75,0.04,0.0133333333333333,0.000633066666666667,0.00546381264105721,0.106174479776689,1,NA,NA,NA,NA,-0.0295470383275261,-0.00288037166085947,FALSE,FALSE,129,0,"ns","ns",0.848,0.0706821023736532
"Roseomonas",0.00554746200581955,0.0112517731315102,"Roseomonas","Roseomonas","India",1,0,287,0.00348432055749129,0,2.78745644599303e-07,4.72225068880764e-06,"Malawi",3,0,75,0.04,0,2.13333333333333e-06,1.11855762979436e-05,0.0292659719582392,1,NA,NA,NA,NA,-0.0365156794425087,0,FALSE,FALSE,130,0,"ns","ns",0.848,0.0706821023736532
"Lachnospiraceae_NK4A136_group",0.00549065302662868,0.0122754181898339,"Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group","India",2,0,287,0.00696864111498258,0,5.01742160278746e-06,6.00924379105052e-05,"Malawi",2,0,75,0.0266666666666667,0,4.26666666666667e-06,3.25980157468308e-05,0.191103576513114,1,NA,NA,NA,NA,-0.0196980255516841,0,FALSE,FALSE,131,0,"ns","ns",0.848,0.0706821023736532
"Scardovia",0.00548222131505164,0.0135537057247492,"Scardovia","Scardovia","India",6,2,287,0.0209059233449477,0.00696864111498258,4.01393728222997e-05,0.000564591548706615,"Malawi",1,0,75,0.0133333333333333,0,1.06666666666667e-06,9.23760430703401e-06,1,1,NA,NA,NA,NA,0.0075725900116144,0.00696864111498258,TRUE,TRUE,132,0,"ns","ns",0.848,0.0706821023736532
"Bacillus",0.00532534547070893,0.0100271070214222,"Bacillus","Bacillus","India",8,1,287,0.0278745644599303,0.00348432055749129,1.17073170731707e-05,0.000101607076295238,"Malawi",2,0,75,0.0266666666666667,0,2.13333333333333e-06,1.45466011014121e-05,1,1,NA,NA,NA,NA,0.00120789779326365,0.00348432055749129,TRUE,TRUE,133,0,"ns","ns",0.848,0.0706821023736532
"Variovorax",0.00520166339539806,0.0115949924399308,"Variovorax","Variovorax","India",0,0,287,0,0,0,0,"Malawi",5,2,75,0.0666666666666667,0.0266666666666667,4.74666666666667e-05,0.000225095135042541,0.000342539721243975,0.0424695061293828,0.000887489277768481,1,NA,NA,-0.0666666666666667,-0.0266666666666667,FALSE,FALSE,134,0,"2","ns",0.848,0.0706821023736532
"Bradyrhizobium",0.00494398779772741,0.0113280286265614,"Bradyrhizobium","Bradyrhizobium","India",4,0,287,0.0139372822299652,0,1.25435540069686e-06,1.12735273883265e-05,"Malawi",5,0,75,0.0666666666666667,0,1.17333333333333e-05,6.36793770624608e-05,0.0212280636905629,1,0.0314285618275866,1,NA,NA,-0.0527293844367015,0,FALSE,FALSE,135,0,"2","ns",0.848,0.0706821023736532
"Anaerovibrio",0.00490667978235863,0.0112663482573019,"Anaerovibrio","Anaerovibrio","India",1,0,287,0.00348432055749129,0,6.96864111498258e-07,1.18056267220191e-05,"Malawi",2,0,75,0.0266666666666667,0,1.6e-06,1.02719770985684e-05,0.110184774235676,1,NA,NA,NA,NA,-0.0231823461091754,0,FALSE,FALSE,136,0,"ns","ns",0.848,0.0706821023736532
"Achromobacter",0.00487654243307555,0.0102081922749733,"Achromobacter","Achromobacter","India",1,0,287,0.00348432055749129,0,2.78745644599303e-07,4.72225068880764e-06,"Malawi",4,0,75,0.0533333333333333,0,1.17333333333333e-05,6.01882931360462e-05,0.00726570169286516,1,0.0125498483785853,1,NA,NA,-0.049849012775842,0,FALSE,FALSE,137,0,"2","ns",0.848,0.0706821023736532
"Acetobacter",0.00485429897743144,0.01319829274593,"Acetobacter","Acetobacter","India",5,1,287,0.0174216027874564,0.00348432055749129,5.71428571428571e-06,7.02101882170282e-05,"Malawi",0,0,75,0,0,0,0,0.587953101795777,1,NA,NA,NA,NA,0.0174216027874564,0.00348432055749129,TRUE,TRUE,138,0,"ns","ns",0.848,0.0706821023736532
"Odoribacter",0.0046690677751239,0.0138981258434818,"Odoribacter","Odoribacter","India",3,1,287,0.0104529616724739,0.00348432055749129,0.000156655052264808,0.00263029790972082,"Malawi",3,3,75,0.04,0.04,0.000379733333333333,0.00228850356708845,0.106174479776689,0.0292659719582392,NA,NA,NA,NA,-0.0295470383275261,-0.0365156794425087,FALSE,FALSE,139,0,"ns","ns",0.848,0.0706821023736532
"unassigned_Prevotellaceae",0.00457199664932752,0.00887416303183383,"unassigned_Prevotellaceae","unassigned_Prevotellaceae","India",4,3,287,0.0139372822299652,0.0104529616724739,0.000190662020905923,0.002778270689068,"Malawi",5,3,75,0.0666666666666667,0.04,0.00141493333333333,0.00898497911281143,0.0212280636905629,0.106174479776689,0.0314285618275866,1,NA,NA,-0.0527293844367015,-0.0295470383275261,FALSE,FALSE,140,0,"2","ns",0.848,0.0706821023736532
"Moraxella",0.00406407627397058,0.00841607387380887,"Moraxella","Moraxella","India",3,1,287,0.0104529616724739,0.00348432055749129,1.61672473867596e-05,0.000264497041981989,"Malawi",1,1,75,0.0133333333333333,0.0133333333333333,0.000375466666666667,0.00325163671607597,1,0.371895134754595,NA,NA,NA,NA,-0.00288037166085947,-0.00984901277584204,FALSE,FALSE,141,0,"ns","ns",0.848,0.0706821023736532
"Janibacter",0.00386673514089792,0.010801803646588,"Janibacter","Janibacter","India",0,0,287,0,0,0,0,"Malawi",1,0,75,0.0133333333333333,0,5.33333333333333e-07,4.61880215351701e-06,0.207182320441989,1,NA,NA,NA,NA,-0.0133333333333333,0,FALSE,FALSE,142,0,"ns","ns",0.848,0.0706821023736532
"Buttiauxella",0.00378295671378595,0.00974613836957431,"Buttiauxella","Buttiauxella","India",4,2,287,0.0139372822299652,0.00696864111498258,1.40766550522648e-05,0.000170256186168469,"Malawi",2,0,75,0.0266666666666667,0,3.2e-06,2.05439541971368e-05,0.608036059859512,1,NA,NA,NA,NA,-0.0127293844367015,0.00696864111498258,FALSE,TRUE,143,0,"ns","ns",0.848,0.0706821023736532
"Ralstonia",0.0037392333748423,0.00776076549179189,"Ralstonia","Ralstonia","India",0,0,287,0,0,0,0,"Malawi",4,0,75,0.0533333333333333,0,7.46666666666667e-06,3.70205689113839e-05,0.00172717211556821,1,0.0035799567486323,1,NA,NA,-0.0533333333333333,0,FALSE,FALSE,144,0,"2","ns",0.848,0.0706821023736532
"Desulfovibrio",0.00371714554879363,0.00828384876036807,"Desulfovibrio","Desulfovibrio","India",4,1,287,0.0139372822299652,0.00348432055749129,6.55052264808362e-06,9.72719678286111e-05,"Malawi",3,1,75,0.04,0.0133333333333333,4.21333333333333e-05,0.000328461990615778,0.158716197841537,0.371895134754595,NA,NA,NA,NA,-0.0260627177700348,-0.00984901277584204,FALSE,FALSE,145,0,"ns","ns",0.848,0.0706821023736532
"Bosea",0.00345614277812943,0.00698226533393508,"Bosea","Bosea","India",0,0,287,0,0,0,0,"Malawi",2,0,75,0.0266666666666667,0,3.2e-06,2.34900784116142e-05,0.0424695061293828,1,NA,NA,NA,NA,-0.0266666666666667,0,FALSE,FALSE,146,0,"ns","ns",0.848,0.0706821023736532
"unassigned_Neisseriaceae",0.00310694000482182,0.0064273503796212,"unassigned_Neisseriaceae","unassigned_Neisseriaceae","India",0,0,287,0,0,0,0,"Malawi",1,0,75,0.0133333333333333,0,2.66666666666667e-06,2.3094010767585e-05,0.207182320441989,1,NA,NA,NA,NA,-0.0133333333333333,0,FALSE,FALSE,147,0,"ns","ns",0.848,0.0706821023736532
"Coprococcus_3",0.00309309550762132,0.0068923400945853,"Coprococcus_3","Coprococcus_3","India",2,1,287,0.00696864111498258,0.00348432055749129,1.07317073170732e-05,0.00014395689843323,"Malawi",5,2,75,0.0666666666666667,0.0266666666666667,9.49333333333333e-05,0.000602796127369089,0.00503783937017481,0.110184774235676,0.00911609028888775,1,NA,NA,-0.0596980255516841,-0.0231823461091754,FALSE,FALSE,148,0,"2","ns",0.848,0.0706821023736532
"unassigned_Erysipelotrichaceae",0.00306481910137077,0.00730340561360579,"unassigned_Erysipelotrichaceae","unassigned_Erysipelotrichaceae","India",7,6,287,0.024390243902439,0.0209059233449477,0.000151080139372822,0.0014749369610291,"Malawi",1,1,75,0.0133333333333333,0.0133333333333333,4.16e-05,0.000360266567974326,1,1,NA,NA,NA,NA,0.0110569105691057,0.0075725900116144,TRUE,TRUE,149,0,"ns","ns",0.848,0.0706821023736532
"Streptobacillus",0.0030419865507747,0.00627171828657528,"Streptobacillus","Streptobacillus","India",0,0,287,0,0,0,0,"Malawi",1,0,75,0.0133333333333333,0,1.06666666666667e-06,9.23760430703401e-06,0.207182320441989,1,NA,NA,NA,NA,-0.0133333333333333,0,FALSE,FALSE,150,0,"ns","ns",0.848,0.0706821023736532
"Serratia",0.00301914479896401,0.00783910527132248,"Serratia","Serratia","India",0,0,287,0,0,0,0,"Malawi",2,0,75,0.0266666666666667,0,9.06666666666667e-06,5.60205882359897e-05,0.0424695061293828,1,NA,NA,NA,NA,-0.0266666666666667,0,FALSE,FALSE,151,0,"ns","ns",0.848,0.0706821023736532
"Leptotrichia",0.00297800666688842,0.00760175778403692,"Leptotrichia","Leptotrichia","India",1,0,287,0.00348432055749129,0,1.39372822299652e-07,2.36112534440382e-06,"Malawi",1,0,75,0.0133333333333333,0,5.33333333333333e-07,4.61880215351701e-06,0.371895134754595,1,NA,NA,NA,NA,-0.00984901277584204,0,FALSE,FALSE,152,0,"ns","ns",0.848,0.0706821023736532
"Comamonas",0.0029096975673801,0.00597051077194989,"Comamonas","Comamonas","India",1,1,287,0.00348432055749129,0.00348432055749129,4.8780487804878e-06,8.26393870541337e-05,"Malawi",2,0,75,0.0266666666666667,0,8.53333333333333e-06,6.51960314936616e-05,0.110184774235676,1,NA,NA,NA,NA,-0.0231823461091754,0.00348432055749129,FALSE,TRUE,153,0,"ns","ns",0.848,0.0706821023736532
"Aquabacterium",0.00289793281295141,0.0060126185633114,"Aquabacterium","Aquabacterium","India",0,0,287,0,0,0,0,"Malawi",1,0,75,0.0133333333333333,0,5.33333333333333e-07,4.61880215351701e-06,0.207182320441989,1,NA,NA,NA,NA,-0.0133333333333333,0,FALSE,FALSE,154,0,"ns","ns",0.848,0.0706821023736532
