"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Agathobacter",0.0560504493336343,0.105435562273438,"Agathobacter","Agathobacter","India",3,2,287,0.0104529616724739,0.00696864111498258,8.05574912891986e-05,0.00102473450561493,"Malawi",10,3,75,0.133333333333333,0.04,0.0007408,0.00530013507222069,1.45335704695668e-05,0.0622663773563002,6.37241166742543e-05,1,NA,NA,-0.122880371660859,-0.0330313588850174,FALSE,FALSE,46,0,"2","ns",0.848,0.0706821023736532
"Finegoldia",0.0513096566310109,0.0934377771775831,"Finegoldia","Finegoldia","India",56,3,287,0.195121951219512,0.0104529616724739,4.94773519163763e-05,0.000322176935288863,"Malawi",19,0,75,0.253333333333333,0,2.72e-05,6.93319473180937e-05,0.26669890795594,1,0.320038689547128,0,NA,NA,-0.0582113821138212,0.0104529616724739,FALSE,TRUE,47,0,"ns","ns",0.848,0.0706821023736532
"Libanicoccus",0.0497588267260648,0.0931885955510873,"Libanicoccus","Libanicoccus","India",20,13,287,0.0696864111498258,0.0452961672473868,0.00124808362369338,0.0161679351629558,"Malawi",12,7,75,0.16,0.0933333333333333,0.0106133333333333,0.0595695737076547,0.0211471163439245,0.149976153009352,0.0314285618275866,1,0.231263664360768,0,-0.0903135888501742,-0.0480371660859466,FALSE,FALSE,48,0,"2","ns",0.848,0.0706821023736532
"Megasphaera",0.0480168866782946,0.08814640997354,"Megasphaera","Megasphaera","India",36,20,287,0.125435540069686,0.0696864111498258,0.00969728222996516,0.0608017488902447,"Malawi",9,4,75,0.12,0.0533333333333333,0.0115136,0.0607921968819168,1,0.796105082777032,1,0,0.842934793528623,0,0.00543554006968641,0.0163530778164924,TRUE,TRUE,49,0,"ns","ns",0.848,0.0706821023736532
"Clostridioides",0.0477256924774368,0.0939551056994291,"Clostridioides","Clostridioides","India",43,26,287,0.149825783972125,0.0905923344947735,0.00154745644599303,0.00827652431256762,"Malawi",3,2,75,0.04,0.0266666666666667,0.000204266666666667,0.00148655339931299,0.0103333759419087,0.0867303754549866,0.0170725341648927,1,0.141922432562705,0,0.109825783972125,0.0639256678281069,TRUE,TRUE,50,0,"1","ns",0.848,0.0706821023736532
"unassigned_Enterobacteriaceae",0.0469231531771849,0.087136138696789,"unassigned_Enterobacteriaceae","unassigned_Enterobacteriaceae","India",49,16,287,0.170731707317073,0.0557491289198606,0.00111052264808362,0.00837597559740962,"Malawi",13,4,75,0.173333333333333,0.0533333333333333,0.00131786666666667,0.00672697480164613,1,1,1,0,1,0,-0.00260162601626016,0.00241579558652729,FALSE,TRUE,51,0,"ns","ns",0.848,0.0706821023736532
"Granulicatella",0.0383610681815278,0.0692127206779137,"Granulicatella","Granulicatella","India",35,3,287,0.121951219512195,0.0104529616724739,0.000402090592334495,0.0061331246515756,"Malawi",12,1,75,0.16,0.0133333333333333,5.70666666666667e-05,0.000216125422378299,0.439658860247045,1,0.506273839072355,0,NA,NA,-0.0380487804878049,-0.00288037166085947,FALSE,FALSE,52,0,"ns","ns",0.848,0.0706821023736532
"Peptostreptococcus",0.0378040549527003,0.0731036519299095,"Peptostreptococcus","Peptostreptococcus","India",11,2,287,0.0383275261324042,0.00696864111498258,4.25087108013937e-05,0.000519638772220843,"Malawi",12,0,75,0.16,0,3.09333333333333e-05,0.000101783731155465,0.000536528002189704,1,0.00127425400520055,1,NA,NA,-0.121672473867596,0.00696864111498258,FALSE,TRUE,53,0,"2","ns",0.848,0.0706821023736532
"Blautia",0.0350958511806528,0.0668684152623976,"Blautia","Blautia","India",9,5,287,0.0313588850174216,0.0174216027874564,0.000101881533101045,0.000850323229312319,"Malawi",9,2,75,0.12,0.0266666666666667,0.0001392,0.000794667634076441,0.00436166275690912,0.637763662061178,0.00842761956419729,1,NA,NA,-0.0886411149825784,-0.00924506387921022,FALSE,FALSE,54,0,"2","ns",0.848,0.0706821023736532
"Raoultella",0.0350205361168757,0.0775925255366138,"Raoultella","Raoultella","India",16,6,287,0.0557491289198606,0.0209059233449477,9.04529616724739e-05,0.000570674490868403,"Malawi",7,4,75,0.0933333333333333,0.0533333333333333,0.00143413333333333,0.0111345514228184,0.284557593798276,0.22581554355928,0.337912142635453,0,0.301594926399462,0,-0.0375842044134727,-0.0324274099883856,FALSE,FALSE,55,0,"ns","ns",0.848,0.0706821023736532
"Citrobacter",0.0329726982847695,0.0711937607093769,"Citrobacter","Citrobacter","India",27,14,287,0.0940766550522648,0.0487804878048781,0.000488222996515679,0.00319927515486434,"Malawi",8,6,75,0.106666666666667,0.08,0.00782133333333333,0.0505236014779856,0.826154977672059,0.26967793597948,0.872052476431618,0,0.330968375974817,0,-0.0125900116144019,-0.031219512195122,FALSE,FALSE,56,0,"ns","ns",0.848,0.0706821023736532
"Sphingobacterium",0.0327296839936725,0.0633662200611525,"Sphingobacterium","Sphingobacterium","India",2,0,287,0.00696864111498258,0,2.50871080139373e-06,3.60939783552185e-05,"Malawi",8,2,75,0.106666666666667,0.0266666666666667,7.2e-05,0.000331483153540389,7.76313124860755e-05,0.0424695061293828,0.000252856274954646,1,NA,NA,-0.0996980255516841,-0.0266666666666667,FALSE,FALSE,57,0,"2","ns",0.848,0.0706821023736532
