"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.0757483764790429,0.138350765737189,"Acinetobacter","India",62,287,21.6,0,0.1,"UK",6,59,10.2,0,0.1,0.0479246637916964,0.101174290226915,11.4,TRUE,28,0,"ns",-0.713694387064477,-0.517591375222212,-1.50310272351512,-1.1844739391853,6.10867747418057,-0.173573099722001,0.40984908712096,0.233334974986534,0.394903317515529,0.095649373874701,0.223140498867397,0.02,0.029,-0.009,0.85,0.8,0.9
"2","Actinomyces",0.0850713575678962,0.152216575005756,"Actinomyces","India",58,287,20.2,0.1,1.1,"UK",18,59,30.5,0,0.1,0.0866543504337779,0.156803110308741,-10.3,FALSE,24,0,"ns",-0.604084219766753,-0.713433149603734,0.111751602513069,1.05292317454541,6.4165660276852,0.14641403492129,0.437913688480615,0.247959020081532,0.410571164332188,0.18931583858963,0.372310910782234,0.097,0.014,0.083,0.85,0.8,0.9
"3","Alistipes",0.0456752315595043,0.0968715533726084,"Alistipes","India",2,287,0.7,0,0.2,"UK",10,59,16.9,0.3,1.2,5.24901722610806e-07,8.6023273134209e-06,-16.2,FALSE,42,0,"3",-1.58015437416561,-1.67770208972733,-1.02609939132181,1.00020661386141,5.8342471046325,0.1533374124973,0.416468096874744,0.0464681182663744,0.115681016108546,0.113402154264207,0.232920252954034,0.013,0.258,-0.245,0.85,0.8,0.9
"4","Anaerococcus",0.0710108429923566,0.134929691942822,"Anaerococcus","India",56,287,19.5,0,0.1,"UK",7,59,11.9,0,0,0.197024176209134,0.305588518201922,7.6,TRUE,31,0,"ns",-0.537887866582155,-0.436182191181855,-1.03584093118292,-0.6073283116073,5.26013122922788,-0.109761762395927,0.445591739797409,0.329973943844917,0.485683703829643,0.275683185918931,0.459713098649641,0.013,0.002,0.011,0.85,0.8,0.9
"5","Anaerostipes",0.0197653022150634,0.0412041215642327,"Anaerostipes","India",5,287,1.7,0,0,"UK",3,59,5.1,0,0.1,0.13987963875299,0.231105490113635,-3.4,FALSE,56,0,"ns",-1.63558636386545,-1.60119211858884,-1.7831117282698,-0.0364539514963473,4.76872169160468,-0.00527377142695483,0.497086864423807,0.568542589026138,0.708892819293533,0.543010349618483,0.706376477999306,0.002,0.014,-0.012,0.85,0.8,0.9
"6","Atopobium",0.0718019853032554,0.134955999462411,"Atopobium","India",47,287,16.4,0,0.2,"UK",12,59,20.3,0,0.1,0.451158036586849,0.562098537386894,-3.9,FALSE,30,0,"ns",-0.899883502434784,-0.903335723860748,-0.876118478016654,0.26286659050168,6.38644977310916,0.0360966770218793,0.482128673654966,0.585276254378608,0.723789526823006,0.601685749818967,0.759189934698794,0.024,0.014,0.01,0.85,0.8,0.9
"7","Bacteroides",0.585209682714365,1.02030062082434,"Bacteroides","India",87,287,30.3,2.4,8.4,"UK",36,59,61,16.9,21.9,1.96414331514212e-05,0.000165860991056446,-30.7,FALSE,3,1,"3",0.261473014934886,-0.0765072145258703,12.2669217802571,5.37750373490706,13.5458906215104,0.493761569974828,0.305349577612056,2.22693090594405e-05,0.000245892419890754,1.04432929876927e-05,0.00012790970725772,2.39,17.136,-14.746,0.85,0.8,0.9
"8","Barnesiella",0.0121669242411686,0.0263140810312857,"Barnesiella","India",2,287,0.7,0,0.1,"UK",5,59,8.5,0.1,0.5,0.00197401775329344,0.00789607101317374,-7.8,FALSE,69,0,"3",-1.69470062356775,-1.71459341329243,-1.58676649656543,0.216798827361295,4.96491920473122,0.0369252881202125,0.478422028190884,0.318377353905854,0.479487317966322,0.480686851850632,0.651221781783618,0.004,0.117,-0.113,0.85,0.8,0.9
"9","Bifidobacterium",1.34648922494548,2.28563717229568,"Bifidobacterium","India",283,287,98.6,46.5,26,"UK",46,59,78,14.2,20.6,4.26479953532262e-08,1.08041588228173e-06,20.6,TRUE,1,1,"1",15.7151213915627,15.9934406190291,12.9730378641086,-2.83745093732889,4.80123148250122,-0.458349700879681,0.205983587480977,1.05602694303785e-06,2.24660687047791e-05,5.2411016296544e-12,3.52152651485913e-10,46.822,14.434,32.388,0.85,0.8,0.9
"10","Bilophila",0.0506649005027826,0.0947403597276149,"Bilophila","India",8,287,2.8,0,0,"UK",11,59,18.6,0.3,1.5,3.75188172175236e-05,0.000259220918957436,-15.8,FALSE,39,0,"3",-1.54158368037191,-1.60328598221246,-1.16864007736757,0.743184076706305,5.81576266264982,0.112376113376127,0.434586864795751,0.0848115007554464,0.186175117058895,0.250611070946851,0.3963953422692,0.003,0.347,-0.344,0.85,0.8,0.9
"11","Blautia",0.0337393570017977,0.0690821553528264,"Blautia","India",9,287,3.1,0,0.1,"UK",6,59,10.2,0.1,0.7,0.0273404080465404,0.0611138532805021,-7.1,FALSE,52,0,"ns",-1.55725970342841,-1.56356702966508,-1.52394417628674,0.231218538320205,5.3360443867707,0.0379414415377469,0.479608050966839,0.418877381263375,0.567347753842699,0.51202339192737,0.682125696635733,0.013,0.173,-0.16,0.85,0.8,0.9
