"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.Malawi","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",1.21813365867724,2.03339364099271,"Acinetobacter","Malawi",45,61,73.8,1,3,"UK",1,55,1.8,0,0,2.22335674176385e-17,2.51239311819315e-15,72,TRUE,1,1,"3",1.14023221940999,5.08082993171014,-1.32150217898889,-6.98692114221394,5.99665440570497,-1.11142541733101,0.117613642558893,1.2046112153235e-11,1.36121067331556e-09,9.32089027873996e-12,1.05326060149762e-09,1.075,0,1.075,0.9,0.85,0.95
"2","Actinomyces",0.111326688397852,0.199326150550479,"Actinomyces","Malawi",37,61,60.7,0.1,0.2,"UK",30,55,54.5,0.1,0.3,0.573943864958605,0.635839771963945,6.2,TRUE,23,0,"ns",3.64991096884188,3.58863900163509,3.73821624233241,0.0747627851513357,6.89272755850193,0.00830137173598929,0.496165861996805,0.746095155215012,0.818452058682087,0.831779956678891,0.885754777655239,0.088,0.07,0.018,0.9,0.85,0.95
"3","Aerococcus",0.0251025574860804,0.0525075996016807,"Aerococcus","Malawi",5,61,8.2,0,0,"UK",0,55,0,0,0,0.0587813335996185,0.107133720915434,8.2,TRUE,68,0,"ns",-1.48610477345661,-1.53812890651393,-1.43557546975545,-0.0250604517408064,4.62355018782899,-0.00448912609628819,0.497727272742559,0.476275518508899,0.587697050457932,0.496963785211187,0.615506317458228,0.001,0,0.001,0.9,0.85,0.95
"4","Akkermansia",0.0055602265839375,0.0113121312070414,"Akkermansia","Malawi",1,61,1.6,0.6,4.4,"UK",4,55,7.3,1.1,5.5,0.188492795737337,0.266246073978988,-5.7,FALSE,99,0,"ns",-1.4535053138641,-1.87341107017361,-0.941683358922516,1.03006419594685,4.90787683202185,0.164316724672467,0.401306447722388,0.181319798323622,0.277768389552328,0.169710525101374,0.259915042377688,0.567,1.18,-0.613,0.9,0.85,0.95
"5","Alistipes",0.022285644653081,0.043297877164982,"Alistipes","Malawi",3,61,4.9,0,0.1,"UK",7,55,12.7,0.2,1.1,0.188368243152491,0.266246073978988,-7.8,FALSE,72,0,"ns",-1.33523570386394,-1.68888997840663,-0.89013970284296,0.976537805974649,5.78350979374259,0.138589709823357,0.423579545980816,0.175758424208852,0.269752914160231,0.235799047147737,0.3370041530925,0.019,0.225,-0.206,0.9,0.85,0.95
"6","Alloprevotella",0.0121676320781541,0.0242651837211267,"Alloprevotella","Malawi",4,61,6.6,0.1,1,"UK",0,55,0,0,0,0.120514032690222,0.186549119095823,6.6,TRUE,87,0,"ns",-1.59578511715284,-1.66374440806312,-1.51180098115693,0.0787966442447345,4.73036726031794,0.0160908043403657,0.491621698437474,0.549386580665774,0.650201258442202,0.537426103489046,0.647828654706582,0.131,0,0.131,0.9,0.85,0.95
"7","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0230152978295898,0.0469893735448256,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Malawi",5,61,8.2,0,0,"UK",1,55,1.8,0,0,0.210272779257238,0.289766147025218,6.4,TRUE,70,0,"ns",-1.4292668868029,-1.49231128541406,-1.36972202699165,-0.0646404458275214,4.86752713862266,-0.0114393632317175,0.493750000042042,0.521265557862009,0.624656988207508,0.55385717036538,0.664329402280347,0.007,0,0.007,0.9,0.85,0.95
"8","Anaerococcus",0.087365418458701,0.166412884509884,"Anaerococcus","Malawi",20,61,32.8,0,0,"UK",9,55,16.4,0,0,0.0535661499350395,0.104361636942404,16.4,TRUE,37,0,"ns",0.193722269498574,0.945922024217372,-0.413507848246443,-1.08596840700832,5.66805175445713,-0.176790391212499,0.416477273305142,0.240556096975289,0.349767968605816,0.171944332546412,0.287526723667256,0.01,0.001,0.009,0.9,0.85,0.95
"9","Anaerostipes",0.0173912490003788,0.0336470859880355,"Anaerostipes","Malawi",4,61,6.6,0,0,"UK",4,55,7.3,0,0.1,1,1,-0.7,FALSE,78,0,"ns",-1.39123867775924,-1.68057441880727,-1.02691049143283,0.640086515454035,5.17046763482395,0.100828162932588,0.446306818547152,0.364314981622593,0.470734012847614,0.376748863899494,0.488557180938669,0.001,0.011,-0.01,0.9,0.85,0.95
"10","Anaerotruncus",0.00427073726203829,0.00906166658173247,"Anaerotruncus","Malawi",0,61,0,0,0,"UK",3,55,5.5,0.1,0.4,0.103507456797917,0.175252598393926,-5.5,FALSE,104,0,"ns",-1.58646293253444,-1.90702906967135,-1.1942816497952,0.806128056804837,4.77012929771654,0.152737334390195,0.413636364235076,0.225515357333203,0.321843865402902,0.2363448170311,0.339382122373347,0,0.055,-0.055,0.9,0.85,0.95
