"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.0708805935097807,0.138790078771914,"Acinetobacter","India",59,289,20.4,0,0.1,"UK",4,53,7.5,0,0,0.03227798547229,0.0695218148633939,12.9,TRUE,28,0,"ns",-0.759626402143303,-0.571382841588136,-1.6917114881794,-1.28449590943968,5.67905774989888,-0.201259276015374,0.402004126879741,0.0355235086856225,0.0933757505920659,0.0515932936905206,0.125312901434711,0.024,0.002,0.022,0.85,0.8,0.9
"2","Actinomyces",0.244794059107266,0.45993640069013,"Actinomyces","India",87,289,30.1,0.1,0.3,"UK",30,53,56.6,0.1,0.3,0.000429876844708028,0.00212409735032202,-26.5,FALSE,11,1,"3",0.483586850255261,0.0798131823719288,3.58139673395861,2.65543445219021,6.76450151862175,0.362499106318064,0.348172171022676,0.00248971053413243,0.0120012627209141,0.000762802116073442,0.00552591477247187,0.067,0.068,-0.001,0.85,0.8,0.9
"3","Akkermansia",0.0113832033462684,0.0272245129540519,"Akkermansia","India",13,289,4.5,0.3,2.6,"UK",3,53,5.7,0.7,4.9,0.722398590258895,0.777967712586502,-1.2,FALSE,69,0,"ns",-1.46317383863517,-1.38865955175664,-1.80209342730613,-0.437922234226681,5.10477154141987,-0.0704521907367965,0.457547170121031,0.57014269820695,0.69628999187688,0.404774006362381,0.555704953922221,0.301,0.693,-0.392,0.85,0.8,0.9
"4","Alistipes",0.0575530247021944,0.1054613961971,"Alistipes","India",6,289,2.1,0,0.7,"UK",11,53,20.8,0.2,1.2,2.80758396518497e-06,3.36910075822196e-05,-18.7,FALSE,40,0,"3",-1.48492010485733,-1.546601226765,-1.08476923417864,0.804336054561999,5.80293878787098,0.121012349300437,0.437500000459861,0.0888028923195247,0.194189087081614,0.198780005520809,0.337658144426825,0.047,0.217,-0.17,0.85,0.8,0.9
"5","Anaerococcus",0.0860243019765391,0.158696225078821,"Anaerococcus","India",67,289,23.2,0,0,"UK",11,53,20.8,0,0,0.8587759271112,0.869122625028203,2.4,TRUE,24,0,"ns",-0.347741787167157,-0.2820064935412,-0.717414238914666,-0.318641133280945,5.67245389689637,-0.0491540047913704,0.478478773741069,0.551357230797312,0.688269933143374,0.517383593905709,0.66845474741767,0.006,0.004,0.002,0.85,0.8,0.9
"6","Atopobium",0.0900391738921606,0.159767689954653,"Atopobium","India",67,289,23.2,0,0.2,"UK",20,53,37.7,0,0.1,0.0382295018768773,0.0764590037537545,-14.5,FALSE,22,0,"ns",-0.266423730031731,-0.432272678900743,1.15109669577476,1.09838435797181,6.81021600950714,0.147222713008009,0.432193396726727,0.236323014444237,0.385008050192537,0.144464279021914,0.294864114531498,0.038,0.021,0.017,0.85,0.8,0.9
"7","Bacteroides",0.438504437397323,0.771507496415313,"Bacteroides","India",96,289,33.2,2.6,8,"UK",33,53,62.3,16.9,21.9,9.52686718796125e-05,0.000615582187529804,-29.1,FALSE,4,1,"3",0.584411732727384,0.278459560198346,12.3797837017497,5.4536073306453,13.3284636097393,0.46884577250442,0.321344341105992,0.000157492127242173,0.00135274786480307,7.19251676405315e-05,0.000720799089468706,2.64,17.03,-14.39,0.85,0.8,0.9
"8","Barnesiella",0.0284075662269252,0.0567468428288086,"Barnesiella","India",2,289,0.7,0,0.2,"UK",6,53,11.3,0.2,1.5,0.000234148828902758,0.00140489297341655,-10.6,FALSE,56,0,"3",-1.59896614072351,-1.60623826615251,-1.55703065557419,0.213707746366932,5.06632152865887,0.0387135481493701,0.480542452971329,0.289551667070724,0.430647603039944,0.495285906654823,0.631960513622538,0.011,0.254,-0.243,0.85,0.8,0.9
"9","Bifidobacterium",1.13115882744057,1.95229600375407,"Bifidobacterium","India",289,289,100,45.5,24.2,"UK",47,53,88.7,14.5,16.9,1.07957050242837e-05,0.000113354902754979,11.3,TRUE,2,1,"1",15.8672231527245,16.1454356662135,13.6273707323371,-2.56161147194177,3.71935216799465,-0.536359703982035,0.195754720480343,1.25845909603529e-05,0.000187179070587233,4.05288277103716e-12,1.70221076383561e-10,45.542,14.54,31.002,0.85,0.8,0.9
"10","Bilophila",0.0479381718283673,0.0952059174189727,"Bilophila","India",6,289,2.1,0,0,"UK",10,53,18.9,0.1,0.4,1.38966240519518e-05,0.000129701824484884,-16.8,FALSE,45,0,"3",-1.41853739614941,-1.47671219289574,-1.03687069904583,0.78905813813471,5.8175718044884,0.117153310912023,0.437500000459861,0.0988064426658585,0.197404212631918,0.232604414181089,0.362115502624319,0.002,0.121,-0.119,0.85,0.8,0.9
