"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.107288945134346,0.202911846653659,"Acinetobacter","India",52,289,18,0,0.2,"Malawi",31,81,38.3,0.1,0.8,0.000246140508142883,0.000823297561719298,-20.3,FALSE,26,0,"2",0.265983450506697,0.0247444648248987,1.59364632070658,1.41614078954223,6.48626595435631,0.197874744554345,0.409918016706943,0.0636478049489605,0.150038164436631,0.0310992827047189,0.0804382240893287,0.032,0.132,-0.1,0.85,0.7875,0.9
"2","Actinomyces",0.0667538672959312,0.127022070534557,"Actinomyces","India",40,289,13.8,0,0.2,"Malawi",21,81,25.9,0,0.1,0.0166498607901683,0.0250734273059468,-12.1,FALSE,33,0,"2",-0.372850592545387,-0.347311210315816,-0.471833804351883,0.014691945799493,6.26012467112422,0.00237349267779111,0.499300139974337,0.620118185783673,0.770582042680465,0.62197070428126,0.735268112095863,0.025,0.017,0.008,0.85,0.7875,0.9
"3","Aerococcus",0.0110869829735586,0.0245451810584599,"Aerococcus","India",1,289,0.3,0,0,"Malawi",5,81,6.2,0,0,0.00225917605801919,0.00509628087506655,-5.9,FALSE,78,0,"2",-1.01594570871694,-0.921114799860009,-1.38323906832784,-0.390139244112603,4.53797989503082,-0.076902822839008,0.459600000135552,0.477911453718326,0.64523460316032,0.396775891942795,0.515759462721979,0,0.001,-0.001,0.85,0.7875,0.9
"4","Aeromonas",0.0288394213218916,0.0579900847508296,"Aeromonas","India",10,289,3.5,0,0.1,"Malawi",6,81,7.4,0,0.1,0.129243340590311,0.158691190345065,-3.9,FALSE,52,0,"ns",-0.952089954027425,-0.796727845245856,-1.48696320900636,-0.577104071659223,4.88007093116733,-0.103374237471042,0.447000000178674,0.310583004793995,0.489748374119882,0.213467935654047,0.32734238195591,0.006,0.011,-0.005,0.85,0.7875,0.9
"5","Agathobacter",0.0139920273677098,0.027454099439769,"Agathobacter","India",4,289,1.4,0,0.2,"Malawi",7,81,8.6,0.1,0.5,0.00294387837688828,0.00634569339018141,-7.2,FALSE,73,0,"2",-0.944222031917548,-0.846505227591894,-1.33149313887396,-0.330102129815951,4.829675130661,-0.0602829221398779,0.468306338838283,0.55674648272944,0.717179948249697,0.408881256836205,0.530470946280143,0.014,0.109,-0.095,0.85,0.7875,0.9
"6","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0106492945956166,0.0240755370624552,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","India",1,289,0.3,0,0,"Malawi",5,81,6.2,0,0,0.00225917605801919,0.00509628087506655,-5.9,FALSE,79,0,"2",-1.08284715236193,-0.944491962247779,-1.60170850817169,-0.548686474504575,4.80562732042112,-0.101684476879631,0.448600000173164,0.481131138686075,0.646083489414639,0.241886815411701,0.359994806798492,0,0.009,-0.009,0.85,0.7875,0.9
"7","Anaerococcus",0.140721286174384,0.271364469420501,"Anaerococcus","India",20,289,6.9,0,0,"Malawi",21,81,25.9,0,0,9.94001563602148e-06,6.02613447933802e-05,-19,FALSE,21,0,"2",-0.588977986268949,-0.615980215265898,-0.447749047596222,0.497749912484161,5.33060278457246,0.0776760315124257,0.46160000012876,0.355813779821001,0.523270029020374,0.412729337084022,0.541155675613645,0.001,0.006,-0.005,0.85,0.7875,0.9
"8","Anaerostipes",0.0130699087218226,0.0294580206258938,"Anaerostipes","India",9,289,3.1,0,0,"Malawi",6,81,7.4,0,0.1,0.106968118116187,0.134752044899612,-4.3,FALSE,75,0,"ns",-0.981621637416895,-0.834702166322979,-1.56335539401258,-0.602018261128247,4.92984962121506,-0.109490797543826,0.443400000191116,0.358673062203374,0.522051448579533,0.194491474649526,0.290414600702914,0.005,0.014,-0.009,0.85,0.7875,0.9
"9","Anaerovibrio",0.00726972169773993,0.0163335800851798,"Anaerovibrio","India",0,289,0,0,0,"Malawi",5,81,6.2,0.1,1,0.000455579702307738,0.00147304103746169,-6.2,FALSE,90,0,"2",-1.08879358905834,-0.981848263180277,-1.47194719899841,-0.392454656888915,4.71271022100684,-0.0676561409078697,0.462507498625931,0.576869035289951,0.732794391242739,0.372796967218966,0.491630815458543,0,0.15,-0.15,0.85,0.7875,0.9
"10","Atopobium",0.0181549640943717,0.0367186276488876,"Atopobium","India",1,289,0.3,0,0,"Malawi",7,81,8.6,0,0.1,0.000128472089706178,0.000445064025053544,-8.3,FALSE,63,0,"2",-1.03673411017201,-0.976151497598606,-1.25132776660527,-0.190243672183748,4.69164202488132,-0.0335724279153894,0.48260000005807,0.521164874534093,0.682563096533437,0.508731139465219,0.629892690238055,0,0.007,-0.007,0.85,0.7875,0.9
"11","Bacteroides",0.557753780232392,1.02629327681698,"Bacteroides","India",81,289,28,2.6,8.8,"Malawi",63,81,77.8,6.7,11.8,1.06511818958586e-15,5.16582321949143e-14,-49.8,FALSE,3,1,"2",1.33433642040228,0.506039890231763,8.78136675605066,6.60577174224559,9.70775787063979,0.636223994813511,0.260000001039501,9.77864703924643e-10,2.11747572250216e-08,8.35891301162915e-11,2.2584176328016e-09,2.594,6.75,-4.156,0.85,0.7875,0.9
"12","Bifidobacterium",0.752332884533749,1.31326728150559,"Bifidobacterium","India",282,289,97.6,37.2,24.9,"Malawi",58,81,71.6,14.6,22.1,2.51407374312689e-11,3.48378790119012e-10,26,TRUE,1,1,"1",15.9238308969914,16.3981528334716,12.4025438062765,-3.9129001288791,9.86824976523526,-0.519018177712669,0.198800001575855,3.16534257334506e-10,8.98149129245371e-09,9.86760162718649e-17,9.57157357837089e-15,37.528,14.662,22.866,0.85,0.7875,0.9
"13","Bilophila",0.0071433803194974,0.0152018434424152,"Bilophila","India",7,289,2.4,0,0,"Malawi",7,81,8.6,0,0,0.0170602701256957,0.0250734273059468,-6.2,FALSE,91,0,"2",-0.938055087237403,-0.805375191963103,-1.408893868675,-0.531999647306106,4.54096057779444,-0.105015920593791,0.442400000194583,0.26338721731768,0.409781325378318,0.20822647751144,0.315391244008747,0.004,0.001,0.003,0.85,0.7875,0.9
"14","Blautia",0.0455974004145486,0.084455990711874,"Blautia","India",15,289,5.2,0.1,0.5,"Malawi",10,81,12.3,0,0.1,0.0409707430159838,0.0575965517760932,-7.1,FALSE,41,0,"ns",-0.784831998736252,-0.706166950670225,-1.07139889837554,-0.334930740936692,5.39476334557891,-0.0538664476150146,0.469906018896879,0.568462225427633,0.729379757305462,0.469318895171165,0.596961138983928,0.078,0.037,0.041,0.85,0.7875,0.9
"15","Bradyrhizobium",0.0164260281904182,0.032479314978972,"Bradyrhizobium","India",6,289,2.1,0,0,"Malawi",6,81,7.4,0,0,0.0275305891662336,0.0392715757224214,-5.3,FALSE,67,0,"2",-1.05408394392954,-0.915199941159896,-1.56762220170236,-0.555576210964595,4.56111798468409,-0.106925749615156,0.444511097967638,0.252186899529528,0.419176485864258,0.203240232838801,0.319405194558694,0,0.001,-0.001,0.85,0.7875,0.9
"16","Brevundimonas",0.0104910204709397,0.022949163432347,"Brevundimonas","India",0,289,0,0,0,"Malawi",6,81,7.4,0,0,9.48604311654471e-05,0.000368058472921935,-7.4,FALSE,80,0,"2",-1.0988535279058,-1.00067629098351,-1.4783359250127,-0.401430782566617,4.66333826203881,-0.0716170057469625,0.461107778574689,0.521296730553815,0.68313341534847,0.37992235801938,0.507457800888137,0,0.001,-0.001,0.85,0.7875,0.9
"17","Butyricicoccus",0.0213895795110458,0.045351970060932,"Butyricicoccus","India",5,289,1.7,0,0.1,"Malawi",5,81,6.2,0.1,0.7,0.0446511084295951,0.0610022185587426,-4.5,FALSE,62,0,"ns",-1.01218916813679,-0.866223786281669,-1.50286521512283,-0.497435290855053,4.72009517735633,-0.0917950766063206,0.449510098150369,0.459009846856581,0.635168264300171,0.227830249415069,0.340151165167374,0.006,0.091,-0.085,0.85,0.7875,0.9
"18","Catenibacterium",0.029443917381469,0.0608862757512139,"Catenibacterium","India",10,289,3.5,0,0.5,"Malawi",15,81,18.5,0.2,0.8,2.01673466337297e-05,0.000102959611761673,-15,FALSE,51,0,"2",-0.799262596987177,-0.820167145891194,-0.714220034649594,0.362957775102915,5.38813198047039,0.0568597105974298,0.469506098882229,0.20541801488647,0.362897580045144,0.425022469434295,0.554883737049556,0.043,0.168,-0.125,0.85,0.7875,0.9
"19","Chryseobacterium",0.0130946582384851,0.0293105519170788,"Chryseobacterium","India",1,289,0.3,0,0,"Malawi",5,81,6.2,0.4,1.9,0.00225917605801919,0.00509628087506655,-5.9,FALSE,74,0,"2",-1.08763422291854,-0.945081765831103,-1.63377106067796,-0.580043920735728,4.84877436254419,-0.0955672362291838,0.445310937996868,0.621762642782634,0.764329146832953,0.233726922017549,0.340017850692931,0,0.399,-0.399,0.85,0.7875,0.9
"20","Citrobacter",0.0491523658786769,0.0911829248753107,"Citrobacter","India",34,289,11.8,0.1,0.7,"Malawi",9,81,11.1,0.6,4.9,1,1,0.700000000000001,TRUE,37,0,"ns",-0.668670119846814,-0.454368542518162,-1.37488973564909,-0.959670203045146,6.11510719043638,-0.132413866418337,0.423515297201565,0.214637964039821,0.379503057332443,0.105039090872435,0.184601846050455,0.107,0.581,-0.474,0.85,0.7875,0.9
"21","Clostridioides",0.11156450691684,0.254674168051036,"Clostridioides","India",60,289,20.8,0.2,0.8,"Malawi",1,81,1.2,0,0,2.08756744359711e-06,1.3499602801928e-05,19.6,TRUE,25,0,"1",-0.384512379419121,0.0953887193650065,-1.7634074254579,-2.29431480568994,5.94351893634304,-0.345879774360042,0.313737253270124,1.01635933820707e-06,9.32545261215825e-06,5.36188206036556e-05,0.000327979064389816,0.193,0.005,0.188,0.85,0.7875,0.9
"22","Clostridium_sensu_stricto_1",0.238805605119291,0.444467272557045,"Clostridium_sensu_stricto_1","India",85,289,29.4,0.6,2.8,"Malawi",38,81,46.9,3,7.6,0.0048335535719098,0.00919322934265198,-17.5,FALSE,14,1,"2",0.921139380589835,0.755967459120264,2.07508281716752,1.54421557798048,9.7049040804113,0.151489908730437,0.427314537339998,0.0403506892699534,0.123259686544033,0.0728084488561613,0.163865535694583,0.567,3.035,-2.468,0.85,0.7875,0.9
"23","Collinsella",0.522223315570063,0.908748617950866,"Collinsella","India",62,289,21.5,1.5,6.5,"Malawi",57,81,70.4,4.6,9.2,8.45926453319289e-16,5.16582321949143e-14,-48.9,FALSE,4,1,"2",0.854297438890395,0.230303206113973,8.62164027769206,6.28319854835345,9.79096792120452,0.632716626107714,0.260747851463836,4.66611079556373e-09,8.11215340628882e-08,6.87896143752727e-10,1.31247073132148e-08,1.51,4.6,-3.09,0.85,0.7875,0.9
