"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.0121421450273073,0.0248697804150369,"Abiotrophia","India",18,288,6.2,0,0,"UK",1,57,1.8,0,0,0.334863535326956,0.400339645586417,4.4,TRUE,109,0,"ns",-3.29838913496975,-3.34448970115811,-3.06217561921282,0.244654516834036,5.14083389390382,0.0416267539741264,0.478618421186767,0.535774125638784,0.595830493809709,0.499011090908956,0.566206144000594,0.001,0.002,-0.001,1,0.95,1
"2","Acidaminococcus",0.003485891019935,0.00783735473891419,"Acidaminococcus","India",53,288,18.4,0.1,0.6,"UK",7,57,12.3,0.9,3.8,0.339881326745707,0.401848640461776,6.1,TRUE,172,0,"ns",-2.67881819061194,-2.67016333083191,-2.7179635252853,-0.127003259652942,7.30811969393792,-0.0133807432557759,0.49328583177675,0.664988128239523,0.7250675500914,0.65528951020057,0.721030071964153,0.118,0.921,-0.803,1,0.95,1
"3","Acinetobacter",0.00665319708608489,0.01989908129502,"Acinetobacter","India",25,288,8.7,0,0.1,"UK",1,57,1.8,0,0.1,0.0959711736048135,0.132502136460839,6.9,TRUE,134,0,"ns",-3.09710215972336,-3.10656321223312,-3.05890551838656,-0.116220913607734,5.21419865775153,-0.0161460716399875,0.490679824619786,0.526014269092829,0.589757324449635,0.563396336395358,0.632020274590505,0.018,0.008,0.01,1,0.95,1
"4","Actinomyces",0.075046045689478,0.161280146803694,"Actinomyces","India",155,288,53.8,0,0,"UK",7,57,12.3,0,0,2.13137074610289e-09,1.11247156016102e-08,41.5,TRUE,34,0,"1",0.404459934466089,1.15198989853465,-1.98466659444237,-2.53391229166634,6.10505949655933,-0.366274927726691,0.335708414416579,0.000673228876866361,0.00150975540660821,0.000291141143157664,0.000642314028784313,0.021,0.002,0.019,1,0.95,1
"5","Adlercreutzia",0.0189152650041014,0.0381088279771061,"Adlercreutzia","India",69,288,24,0.1,0.3,"UK",36,57,63.2,0,0.1,2.23623081266993e-08,1.01819871044971e-07,-39.2,FALSE,79,0,"3",-1.8732076246495,-2.42265230355951,2.85329178697969,4.30151776210704,6.78174042024058,0.560722243757001,0.283168861321401,1.9940776740595e-05,5.22396300190567e-05,2.34045925352435e-06,6.60056305819891e-06,0.053,0.038,0.015,1,0.95,1
"6","Agathobacter",0.0299579965569838,0.0558962632896933,"Agathobacter","India",263,288,91.3,2.1,3,"UK",49,57,86,0.7,0.9,0.21917629517252,0.287752927404413,5.3,TRUE,63,0,"ns",7.91815409715564,8.01223224030162,7.52720381564353,-0.51073604558982,4.68699391167266,-0.0884210111138849,0.445875582694083,0.18961221822603,0.265131563498027,0.193154764680408,0.267057865181936,2.127,0.661,1.466,1,0.95,1
"7","Akkermansia",0.0161393883561243,0.0355778348437219,"Akkermansia","India",91,288,31.6,0.6,2.3,"UK",39,57,68.4,2.2,3.8,3.685165340669e-07,1.4604173757466e-06,-36.8,FALSE,89,0,"3",-1.03166395619216,-1.69961445898616,7.1772812306624,6.5815988118656,9.42810973024747,0.675651742253231,0.243695177615614,4.98367758636966e-07,1.49324413220221e-06,6.27123509163497e-09,2.62145698018842e-08,0.585,2.198,-1.613,1,0.95,1
"8","Alistipes",0.442059421166624,0.786040008320991,"Alistipes","India",209,288,72.6,0.3,0.7,"UK",54,57,94.7,4.6,4.1,0.000127959049034517,0.000342290456167334,-22.1,FALSE,4,1,"3",4.14578721436897,3.31979533259061,11.1590265605834,7.51404867465442,4.81993358167627,1.43388100981712,0.0501507410019806,5.689317031055e-25,2.04185440471716e-23,9.30710454785903e-27,1.99172037324183e-24,0.292,4.605,-4.313,1,0.95,1
"9","Allisonella",0.022696865296896,0.0506669041420385,"Allisonella","India",138,288,47.9,0,0.1,"UK",5,57,8.8,0,0,6.53049947711428e-09,3.10561530689435e-08,39.1,TRUE,72,0,"1",-0.417157559531049,0.604014856702342,-2.72995421154331,-3.23855978782729,6.23714221321403,-0.468992502076585,0.309673884648684,4.09147658024765e-05,0.00010648361602254,4.19379584424366e-05,9.8990258462065e-05,0.03,0.004,0.026,1,0.95,1
"10","Alloprevotella",0.107051422865989,0.211212022933087,"Alloprevotella","India",189,288,65.6,1.4,2.5,"UK",3,57,5.3,0.8,5.1,1.34028952992948e-18,1.79263724628069e-17,60.3,TRUE,24,0,"1",4.28413799017571,6.09331948771068,-2.93468992653407,-8.29436492171951,7.85378149060441,-0.871135613709059,0.204987670686574,4.10546395524293e-13,3.12083736460957e-12,5.41992694571308e-11,2.66426656015645e-10,1.401,0.816,0.585,1,0.95,1
"11","Anaeroplasma",0.00184737916445987,0.00522193408333614,"Anaeroplasma","India",15,288,5.2,0,0,"UK",3,57,5.3,0,0,1,1,-0.0999999999999996,FALSE,189,0,"ns",-3.13820545661096,-3.19650971334208,-2.81435111175567,0.358632248766376,4.98050579481058,0.0693464306259486,0.468750000196453,0.438945405459342,0.502478545715161,0.427301234667359,0.496646804929656,0.002,0.002,0,1,0.95,1
"12","Anaerosporobacter",0.000506804480999267,0.00190679593472716,"Anaerosporobacter","India",8,288,2.8,0,0,"UK",4,57,7,0,0,0.118409519208708,0.160377450067491,-4.2,FALSE,210,0,"ns",-3.33088953962813,-3.44328758370534,-2.76898938527224,0.638941445706994,5.09367640507228,0.120879746967232,0.433936403929809,0.199458560840004,0.250049900686893,0.187374182156061,0.237156347572997,0.001,0.004,-0.003,1,0.95,1
"13","Anaerostipes",0.0352294611625041,0.0679046358575488,"Anaerostipes","India",248,288,86.1,0.2,0.9,"UK",47,57,82.5,0,0.1,0.536025038276923,0.59744457391282,3.59999999999999,TRUE,54,0,"ns",4.5992630969573,4.70170643615112,4.16241430901079,-0.559121527926838,3.96561513855219,-0.104450433949961,0.436557961488779,0.284125892784465,0.365901244584135,0.0883634425899659,0.134067336257866,0.232,0.051,0.181,1,0.95,1
"14","Anaerotruncus",0.0644692247449805,0.136522977685298,"Anaerotruncus","India",12,288,4.2,0,0,"UK",34,57,59.6,0,0.1,6.82689045537923e-22,1.82619319681394e-20,-55.4,FALSE,36,0,"3",-2.85632310605641,-3.30162383580304,1.903762631934,5.03500602378079,5.56912322708485,0.82263781673023,0.188322371613099,8.78924658190235e-08,3.00061616986654e-07,3.10397808135023e-11,1.54869526169988e-10,0.001,0.03,-0.029,1,0.95,1
